"Home","Accueil"
"Go to Home Page","Aller à la page d'accueil"
"Catalog Advanced Search","Recherche avancée dans le catalogue"
"All","Tous"
"Yes","Oui"
"No","Non"
"Results","Résultats"
"Advanced Search Results","Résultat de recherche avancée"
"Grid","Grille"
"List","Liste"
"Search Weight","Poids dans la recherche"
"Relevance","Pertinence"
"Search results for: '%1'","Résultats de recherche pour : '%1'"
"Minimum Search query length is %1","Longueur minimale de requête recherche %1"
"Please specify at least one search term.","Spécifiez au moins un terme de recherche."
"%1 and greater","%1 et supérieur"
"up to %1","jusqu'à %1"
". "" which is inconsistent with state of scope resolver""",". « qui est incompatible avec un état de la plage du résolveur »"
"Category","Catégorie"
"%1 and above","%1 et plus"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Désolé, quelque chose a mal tourné. Vous en saurez plus dans le journal des erreurs."
"Bucket does not exist","L'ensemble n'existe pas"
"Product","Produit"
"Search Settings","Paramètres de recherche"
"Search","Chercher"
"Advanced Search","Recherche avancée"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 élément(s)</strong> ont été trouvés avec ces critères de recherche"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 éléments</strong> ont été trouvés avec ces critères de recherche"
"We can't find any items matching these search criteria.","Nous ne pouvons trouver aucun élément correspondant à ces critères de recherche."
"Modify your search.","Modifiez votre recherche."
"name","nom"
"Don't see what you're looking for?","Vous ne trouvez pas ce que vous cherchez ?"
"Your search returned no results.","Votre recherche n'a donné aucun résultat."
"Popular Search Terms","Termes de recherche populaires"
"Catalog Search","Recherche catalogue"
"Minimal Query Length","Longueur mini de requête"
"Maximum Query Length","Longueur maxi de requête"
"Rebuild Catalog product fulltext search index","Reconstruire l'index de recherche sur le texte complet du catalogue produit"
"Please enter a valid price range.","Veuillez saisir une fourchette de prix valide."
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
