"Home","Trang chủ"
"Go to Home Page","Đi đến trang chủ"
"Catalog Advanced Search","Danh mục tìm kiếm nâng cao"
"All","Tất Cả"
"Yes","Có"
"No","Không"
"Results","Kết quả"
"Advanced Search Results","Kết quả tìm kiếm nâng cao"
"Grid","Lưới"
"List","Danh sách"
"Search Weight","Tìm trọng lượng"
"Relevance","Mức độ liên quan"
"Search results for: '%1'","Kết quả tìm kiếm: '%1'"
"Minimum Search query length is %1","Chiều dài công cụ tìm kiếm tối thiểu là %1"
"Please specify at least one search term.","Hãy chỉ ra ít nhất một tìm kiếm."
"%1 and greater","%1 và cao hơn"
"up to %1","lên đến %1"
". "" which is inconsistent with state of scope resolver""",". ""nó không phù hợp với phạm vi giải quyết"""
"Category","Nhóm"
"%1 and above","%1 và cao hơn"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Xin lỗi, cái gì đã đi sai. Bạn có thể tìm hiểu thêm trong Nhật ký lỗi."
"Bucket does not exist","Nhóm không tồn tại"
"Product","Sản phẩm"
"Search Settings","Cài đặt tìm kiếm"
"Search","Tìm kiếm"
"Advanced Search","Tìm kiếm nâng cao"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 sản phẩm</strong> đã được tìm thấy bằng cách sử dụng các tiêu chí tìm kiếm sau đây"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 sản phẩm</strong> đã được tìm thấy bằng cách sử dụng các tiêu chí tìm kiếm sau đây"
"We can't find any items matching these search criteria.","Chúng tôi không thể tìm thấy bất kỳ khoản mục nào phù hợp với các tiêu chí tìm kiếm."
"Modify your search.","Thay đổi tìm kiếm của bạn."
"name","tên"
"Don't see what you're looking for?","Không tìm được những gì bạn đang tìm kiếm?"
"Your search returned no results.","Tìm kiếm của bạn không có kết quả."
"Popular Search Terms","Cụm từ Tìm kiếm phổ biến"
"Catalog Search","Tfm kiếm danh mục"
"Minimal Query Length","Chiều dài truy vấn tối thiểu"
"Maximum Query Length","Chiều dài truy vấn tối đa"
"Rebuild Catalog product fulltext search index","Xây dựng lại các chỉ mục tìm kiếm toàn văn danh mục sản phẩm"
"Please enter a valid price range.","Please enter a valid price range."
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
