"Home","නිවස"
"Go to Home Page","මුල් පිටුවට යන්න"
"Catalog Advanced Search","නාමාවලිය උසස් සෙවීම"
"All","සියලුම"
"Yes","ඔව්"
"No","නැත"
"Results","ප්රතිපල"
"Advanced Search Results","උසස් සෙවුම් ප්‍රතිඵල"
"Grid","ජාලකය"
"List","ලැයිස්තුව"
"Search Weight","සෙවුම් බර"
"Relevance","අදාළත්වය"
"Search results for: '%1'","සෙවුම් ප්‍රතිඵල: '%1'"
"Minimum Search query length is %1","අවම සෙවුම් විමසුම් දිග %1වේ"
"Search term is empty","සෙවුම් පදය හිස් ය"
"Enter a search term and try again.","සෙවුම් පදයක් ඇතුළත් කර නැවත උත්සාහ කරන්න."
"%1 and greater","%1 සහ ඊට වැඩි"
"up to %1","%1දක්වා"
"Default product collection strategy not found","පෙරනිමි නිෂ්පාදන එකතු කිරීමේ උපාය මාර්ගය සොයාගත නොහැකි විය"
"Category","වර්ගය"
"%1 and above","%1 සහ ඉහළ"
"%1 - %2","%1 - %2"
"An error occurred. For details, see the error log.","දෝෂයක් සිදු විය. විස්තර සඳහා, දෝෂ ලොගය බලන්න."
"The bucket doesn't exist.","බාල්දිය නොපවතී."
"Product","නිෂ්පාදන"
"Disable Notice","නිවේදනය අක්රිය කරන්න"
"Test Exception","පරීක්ෂණ ව්යතිරේකය"
"Search Settings","සෙවුම් සැකසුම්"
"Search","සොයන්න"
"Please enter a valid price range.","කරුණාකර වලංගු මිල පරාසයක් ඇතුළු කරන්න."
"Advanced Search","උසස් සෙවුම්"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 අයිතම</strong> පහත සෙවුම් නිර්ණායක භාවිතයෙන් සොයා ගන්නා ලදී"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 අයිතම</strong> පහත සෙවුම් නිර්ණායක භාවිතයෙන් සොයා ගන්නා ලදී"
"We can't find any items matching these search criteria.","මෙම සෙවුම් නිර්ණායකවලට ගැලපෙන අයිතම කිසිවක් අපට සොයාගත නොහැක."
"Modify your search.","ඔබගේ සෙවුම වෙනස් කරන්න."
"name","නාමය"
"Don't see what you're looking for?","ඔබ සොයන දේ නොපෙනේද?"
"Your search returned no results.","ඔබගේ සෙවුම ප්‍රතිඵලයක් ලබා දුන්නේ නැත."
"Catalog Section","නාමාවලි අංශය"
"Catalog Search","නාමාවලි සෙවීම"
"Popular Search Terms","ජනප්‍රිය සෙවුම් නියමයන්"
"Minimal Query Length","අවම විමසුම් දිග"
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","මෙම අගය වින්‍යාසගත සෙවුම් යන්ත්‍රයේ අනුරූප සැකසුම සමඟ අනුකූල විය යුතුය. දැනුවත් වන්න: අඩු විමසුම් දිග සීමාවක් කාර්ය සාධන බලපෑමට හේතු විය හැක."
"Maximum Query Length","උපරිම විමසුම් දිග"
"This value must be compatible with the corresponding setting in the configured search engine.","මෙම අගය වින්‍යාසගත සෙවුම් යන්ත්‍රයේ අනුරූප සැකසුම සමඟ අනුකූල විය යුතුය."
"Number of top search results to cache","හැඹිලිගත කිරීමට ඉහළම සෙවුම් ප්‍රතිඵල ගණන"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","වේගවත් ප්‍රතිචාරයක් සඳහා හැඹිලිගත කළ යුතු ජනප්‍රිය සෙවුම් පද ගණන. පදයක් දෙවන වරට සෙවූ පසු සියලුම ප්‍රතිඵල හැඹිලි කිරීමට “0” භාවිතා කරන්න."
"Autocomplete Limit","ස්වයං සම්පූර්ණ සීමාව"
"Enable EAV Indexer","EAV දර්ශක සක්‍රීය කරන්න"
"Rebuild Catalog product fulltext search index","නාමාවලි නිෂ්පාදන සම්පූර්ණ පෙළ සෙවුම් දර්ශකය නැවත ගොඩනඟන්න"
