"Home","Home"
"Go to Home Page","Go to Home Page"
"Catalog Advanced Search","Catalog Advanced Search"
"All","All"
"Yes","Yes"
"No","No"
"Results","Results"
"Advanced Search Results","Advanced Search Results"
"Grid","Grid"
"List","List"
"Search Weight","Search Weight"
"Relevance","Relevance"
"Search results for: '%1'","Search results for: '%1'"
"Minimum Search query length is %1","Minimum Search query length is %1"
"Search term is empty","Search term is empty"
"Enter a search term and try again.","Enter a search term and try again."
"%1 and greater","%1 and greater"
"up to %1","up to %1"
"Default product collection strategy not found","Default product collection strategy not found"
"Category","Category"
"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
"An error occurred. For details, see the error log.","An error occurred. For details, see the error log."
"The bucket doesn't exist.","The bucket doesn't exist."
"Product","Product"
"Disable Notice","Disable Notice"
"Test Exception","Test Exception"
"Search Settings","Search Settings"
"Search","Search"
"Please enter a valid price range.","Please enter a valid price range."
"Advanced Search","Advanced Search"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 item</strong> were found using the following search criteria"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 items</strong> were found using the following search criteria"
"We can't find any items matching these search criteria.","We can't find any items matching these search criteria."
"Modify your search.","Modify your search."
"name","name"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Your search returned no results.","Your search returned no results."
"Catalog Section","Catalog Section"
"Catalog Search","Catalog Search"
"Popular Search Terms","Popular Search Terms"
"Minimal Query Length","Minimal Query Length"
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact."
"Maximum Query Length","Maximum Query Length"
"This value must be compatible with the corresponding setting in the configured search engine.","This value must be compatible with the corresponding setting in the configured search engine."
"Number of top search results to cache","Number of top search results to cache"
"Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time.","Number of popular search terms to be cached for faster response. Use “0” to cache all results after a term is searched for the second time."
"Autocomplete Limit","Autocomplete Limit"
"Enable EAV Indexer","Enable EAV Indexer"
"Rebuild Catalog product fulltext search index","Rebuild Catalog product fulltext search index"
