"New Accounts","Clientes con nuevas cuentas"
"Customers by number of orders","Clientes por número de pedidos"
"Customers by Orders Total","Clientes por total de pedidos"
"Filter","Filtro"
"Date Used","Fecha utilizada"
"Day","Día"
"Month","Mes"
"Year","Año"
"Period","Período"
"From","Desde"
"To","Hasta"
"Yes","Sí"
"No","No"
"Empty Rows","Filas vacías"
"Invalid date specified","Fecha especificada no válida"
"Refresh","Actualizar"
"We can't find records for this period.","No encontramos registros durante este período."
"Show Reviews","Kundenrezensionen anzeigen"
"Products Report","Informe de productos"
"Downloads","Descargas"
"Product","Producto"
"Link","Enlace"
"SKU","Unidad de mantenimiento de existencias (SKU)"
"Purchases","Compras"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Ilimitado"
"Low stock","Existencia baja"
"Products Ordered","Artículos pedidos"
"Most Viewed","Más vistos"
"Show Report","Mostrar informe"
"Interval","Intervalo"
"Total","Total"
"Price","Precio"
"Views","Vistas"
"Refresh Statistics","Actualizar estadísticas"
"Customers Reviews","Reseñas de clientes"
"Reviews for %1","Reseñas para %1"
"Customer","Cliente"
"Title","Título"
"Detail","Detalle"
"Created","Creado"
"Products Reviews","Reseñas de artículos"
"Products Bestsellers Report","Informe de artículos más vendidos"
"Order Quantity","Cantidad de la orden"
"Coupons Usage Report","Informe acerca del uso de cupones"
"Subtotal","Subtotal"
"Coupon Code","Código de cupón"
"Price Rule","Regla de precio"
"Uses","Usos"
"Sales Subtotal","Subtotal de ventas"
"Sales Discount","Descuento de ventas"
"Sales Total","Total"
"Discount","Descuento"
"Total Invoiced vs. Paid Report","Total facturado vs. informe de pagos"
"Orders","Pedidos"
"Invoiced Orders","Pedidos facturados"
"Total Invoiced","Total facturado"
"Paid Invoices","Facturas pagadas"
"Unpaid Invoices","Facturas pendientes de pago"
"Total Refunded Report","Informe de todos las reembolsas"
"Refunded Orders","Pedidos reembolsados"
"Total Refunded","Total reembolsado"
"Online Refunds","Reembolsado en línea"
"Offline Refunds","Devoluciones fuera de línea"
"Total Ordered Report","Informe de todos los pedidos"
"Sales Items","Artículos vendidos"
"Items","Artículos"
"Revenue","Ingresos"
"Profit","Ganancia"
"Invoiced","Facturado"
"Paid","Pagado"
"Refunded","Reembolsado."
"Sales Tax","Impuesto de Ventas"
"Tax","Impuestos"
"Sales Shipping","Envíos"
"Shipping","Envío"
"Canceled","Cancelado"
"Total Shipped Report","Informe de todos los envíos"
"Carrier/Method","Transportista/Método"
"Total Sales Shipping","Gastos de envío"
"Total Shipping","Gastos de envío"
"Order Taxes Report Grouped by Tax Rate","Informe de impuestos - Pedidos por tasas de impuestos"
"Rate","Tasa"
"Tax Amount","Importe de impuestos"
"Abandoned carts","Carritos abandonados"
"Email","Correo electrónico"
"Products","Productos"
"Quantity","Cantidad"
"Applied Coupon","Cupón aplicado"
"Updated","Actualizado"
"IP Address","Dirección IP"
"Customers","Clientes"
"ID","Número de Identificación (ID)"
"First Name","Nombre"
"Last Name","Apellidos"
"Items in Cart","Artículos en el carrito"
"Products in carts","Artículos en carritos"
"Carts","Carritos"
"Name","Nombre"
"Wish Lists","Listas de deseo"
