"New Accounts","Nieuwe accounts:"
"Customers by number of orders","Klanten per totaal aantal bestellingen"
"Customers by Orders Total","Klanten o.b.v. orderwaarde"
"Filter","Filteren"
"Date Used","Datum gebruikt"
"Day","Dag"
"Month","Maand"
"Year","Jaar"
"Period","Periode"
"From","Van"
"To","Aan"
"Yes","Ja"
"No","Nee"
"Empty Rows","Lege regels"
"Invalid date specified","Ongeldige datum opgegeven"
"Refresh","Vernieuwen"
"We can't find records for this period.","We kunnen geen resultaten voor deze periode vinden."
"Show Reviews","Beoordelingen tonen"
"Products Report","Productenrapport"
"Downloads","Downloads"
"Product","Product"
"Link","link"
"SKU","Art.nr."
"Purchases","Aankopen"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Onbeperkt"
"Low stock","Lage voorraad"
"Products Ordered","Bestelde producten"
"Most Viewed","Meest bekeken"
"Show Report","Toon rapport"
"Interval","Interval"
"Total","Totaal"
"Price","prijs"
"Views","Weergaven"
"Refresh Statistics","Vernieuw Statistieken"
"Customers Reviews","Klanten-reviews"
"Reviews for %1","Reviews voor %s"
"Customer","Klant"
"Title","Titel"
"Detail","Detail"
"Created","Aangemaakt"
"Products Reviews","Reviews"
"Products Bestsellers Report","Rapportage Bestsellers"
"Order Quantity","Bestelaantal"
"Coupons Usage Report","Coupons gebruik-rapport"
"Subtotal","Subtotaal"
"Coupon Code","Tegoedbon code"
"Price Rule","Prijs regel"
"Uses","Gebruikt"
"Sales Subtotal","Verkoop subtotaal"
"Sales Discount","Kortingen"
"Sales Total","Verkooptotaal"
"Discount","Korting"
"Total Invoiced vs. Paid Report","Rapport: Totaal gefactureerd vs. Totaal betaald"
"Orders","Bestellingen"
"Invoiced Orders","Gefactureerde Orders"
"Total Invoiced","Totaal gefactureerd"
"Paid Invoices","Betaalde facturen"
"Unpaid Invoices","Onbetaalde facturen"
"Total Refunded Report","Rapportage Totaal Gerefund"
"Refunded Orders","Terugbetaalde bestellingen"
"Total Refunded","Totaal terugbetaald"
"Online Refunds","Online restituties"
"Offline Refunds","Off line restituties"
"Total Ordered Report","Rapportage Totaal Besteld"
"Sales Items","Bestelling artikelen"
"Items","Producten"
"Revenue","Omzet"
"Profit","Winst"
"Invoiced","Gefactureerd"
"Paid","Betaald"
"Refunded","Teruggestort"
"Sales Tax","BTW"
"Tax","BTW"
"Sales Shipping","Verkoop verzending"
"Shipping","Aflevering"
"Canceled","Geannuleerd"
"Total Shipped Report","Rapportage Totaal Verzonden"
"Carrier/Method","Vervoeder/Methode"
"Total Sales Shipping","Totaal verkoop verzending"
"Total Shipping","Totaal verzending"
