"New Accounts","Нови потребители"
"Customers by number of orders","Клиенти по номер на поръчките"
"Customers by Orders Total","Клиенти по обща сума на поръчките"
"Filter","Филтър"
"Date Used","Използвани данни"
"Day","Ден"
"Month","Месец"
"Year","Година"
"Period","Период"
"From","От"
"To","До"
"Yes","Да"
"No","Не"
"Empty Rows","Празни редове"
"Invalid date specified","Невалидни данни"
"Refresh","Обновяване"
"We can't find records for this period.","Не можем да намерим записи за този период."
"Show Reviews","Показване на коментари"
"Products Report","Доклад за продукти"
"Downloads","Изтегляния"
"Product","Продукт"
"Link","Връзка"
"SKU","Кат. номер"
"Purchases","Покупки"
"CSV","CSV"
"Excel XML","Excel XML"
"Unlimited","Неограничен"
"Low stock","Ограничено количество"
"Products Ordered","Поръчани продукти"
"Most Viewed","Най-гледани"
"Show Report","Покажи отчет"
"Interval","Интервал"
"Total","Общо"
"Price","Цена"
"Views","Преглеждания"
"Refresh Statistics","Обнови статистика"
"Customers Reviews","Отзиви от клиенти"
"Reviews for %1","Коментари за %1"
"Customer","Клиент"
"Title","Заглавиe"
"Detail","Детайл"
"Created","Създаден:"
"Products Reviews","Продукти отзиви"
"Products Bestsellers Report","Доклад за най-продавани продукти"
"Order Quantity","Количество за поръчка"
"Coupons Usage Report","Отчет за употреба на купони"
"Subtotal","Сума"
"Coupon Code","Ваучер код"
"Price Rule","Правило за цена"
"Uses","Ползвания"
"Sales Subtotal","Междинна сума за продажба"
"Sales Discount","Отстъпка при продажби"
"Sales Total","Продажби общо"
"Discount","Отстъпка"
"Total Invoiced vs. Paid Report","Доклад за обща стойност на фактури и платени"
"Orders","Поръчки"
"Invoiced Orders","Фактурани Поръчки"
"Total Invoiced","Общо фактурирани"
"Paid Invoices","Платени фактури"
"Unpaid Invoices","Неплатени фактури"
"Total Refunded Report","Общо възстановени доклад"
"Refunded Orders","Възстановени поръчки"
"Total Refunded","Общо възстановени"
"Online Refunds","Онлайн възстановявания"
"Offline Refunds","Офлайн възстановявания"
"Total Ordered Report","Доклад общо поръчани"
"Sales Items","Продажби елементи"
"Items","Артикули"
"Revenue","Приходи"
"Profit","Печалба"
"Invoiced","Фактурирани"
"Paid","Платен"
"Refunded","Възстановен"
"Sales Tax","Данък продажби"
"Tax","Данък"
"Sales Shipping","Продажби доставка"
