"Page not found.","Sidan kunde inte hittas."
"You can't send messages more than %1 times an hour.","Du kan inte skicka meddelande mer än %1 gång per timme."
"The link to a friend was sent.","Länken till en vän skickades."
"We found some problems with the data.","Vi hittade lite problem med dina data."
"Some emails were not sent.","Viss e-post skickades inte."
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"Please enter a sender name.","Vänligen ange ett avsändarnamn."
"Invalid Sender Email","Ogiltig avsändare Email"
"Please enter a message.","Fyll i meddelandetexten."
"Please specify at least one recipient.","Ange minst en mottagare."
"Please enter a correct recipient email address.","Vänligen ange en korrekt mottagares e-postadress."
"No more than %1 emails can be sent at a time.","Inte mer än %1 e-postmeddelanden kan skickas samtidigt."
"Please define a correct product instance.","Vänligen ange en korrekt produkt-instans."
"Invalid Sender Information","Ogiltig avsändarinformation"
"Please define the correct sender information.","Vänligen definiera rätt avsändarinformation."
"IP Address","IP-adress"
"Cookie (unsafe)","Cookie (osäkra)"
"No Product Exception.","Inget produkt undantag."
"No Category Exception.","Inget kategori undantag."
"Some error","Något gick fel"
"Localized Exception.","Lokaliserade undantag."
"Exception.","Undantag."
"Remove Recipent","Ta bort mottagare"
"Remove","Ta bort"
"Name","Namn"
"Email","E-post"
"* Required Fields","* Obligatoriska fält"
"Sender","Avsändare"
"Message","Meddelande"
"Invitee","Inbjudna"
"Maximum %1 email addresses allowed.","Maximala %1 e-postadresser tillåtna."
"Add Invitee","Lägg till inbjudna"
"Send Email","Skicka E-post"
"Back","Tillbaka"
"Welcome, %name","Välkommen, %name"
"%name,","%name"
"%sender_name wants to share this product with you:","%sender_name wants to share this product with you:"
"Message from %sender_name:","Meddelande från %sender_name:"
"Email to a Friend","E-posta till en vän"
"Email Templates","E-postmallar"
"Enabled","Aktiverad"
"Select Email Template","Välj E-postmall"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmallen valt baserat på tema reserv när ""Standard"" alternativet är valt."
"Allow for Guests","Tillåt för gäster"
"Max Recipients","Max antal mottagare"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
