"Page not found.","Página no encontrada."
"You can't send messages more than %1 times an hour.","No puedes enviar más de %1 mensajes por hora."
"The link to a friend was sent.","El enlace a un amigo fue enviado."
"We found some problems with the data.","Hemos encontrado algunos problemas con los datos."
"Some emails were not sent.","No se enviaron algunos mensajes de correo electrónico."
"You've met your limit of %1 sends in an hour.","Has alcanzado el límite de %1 envíos en una hora."
"Please enter a sender name.","Por favor, introduce un nombre de remitente."
"Invalid Sender Email","Correo electrónico de remitente inválido"
"Please enter a message.","Por favor, introduce el mensaje."
"Please specify at least one recipient.","Por favor especifica al menos un destinatario."
"Please enter a correct recipient email address.","Introduce una dirección de correo electrónico de destinatario correcta."
"No more than %1 emails can be sent at a time.","No se puede enviar más de %1 correos electrónicos a la vez."
"Please define a correct product instance.","Por favor, define una instancia de artículo correcta."
"Invalid Sender Information","Información del remitente inválida"
"Please define the correct sender information.","Por favor, define la información correcta del remitente."
"IP Address","Dirección IP"
"Cookie (unsafe)","Cookie (inseguro)"
"No Product Exception.","Ninguna excepción de producto."
"No Category Exception.","Sin excepción de categoría."
"Some error","Algún error"
"Localized Exception.","Excepción localizada."
"Exception.","Excepción."
"Remove Recipent","Eliminar destinatario"
"Remove","Eliminar"
"Name","Nombre"
"Email","Correo electrónico"
"* Required Fields","* Campos obligatorios"
"Sender","Remitente"
"Message","Mensaje"
"Invitee","Invitado"
"Maximum %1 email addresses allowed.","Máximo %1 direcciones de correo electrónico permitidas."
"Add Invitee","Añadir invitado"
"Send Email","Enviar correo electrónico"
"Back","Atrás"
"Welcome, %name","Bienvenido, %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name quiere compartir este producto contigo:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","Escribir correo electrónico a un amigo"
"Email Templates","Plantillas de correo electrónico"
"Enabled","Habilitado"
"Select Email Template","Elegir plantilla de correo electrónico"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Plantilla de correo electrónico elegida en función del tema cuando está seleccionada la opción ""Por defecto""."
"Allow for Guests","Permitir visitantes"
"Max Recipients","Máximos destinatarios."
"Max Products Sent in 1 Hour","Máximos artículos enviados en 1 hora"
"Limit Sending By","Límite de envío por"
