"Code","Kode"
"Country","Negara"
"State","Negara"
"Zip/Post Code","Kode Pos"
"Rate","Tarif"
"Zip/Post is Range","Zip / Post adalah Range"
"Range From","Berkisar dari"
"Range To","Rentang ke"
"Tax Zones and Rates","Zona dan Tarif Pajak"
"Import and Export Tax Rates","Tarif Pajak Impor dan Ekspor"
"The tax rate has been imported.","Tarif pajak telah diimpor."
"Invalid file upload attempt","Upaya upload unggahan tidak valid"
"Invalid file upload attempt.","Upaya upload unggahan tidak valid."
"Invalid file format.","Format file tidak valid."
"One of the countries has invalid code.","Salah satu negara memiliki kode yang tidak valid."
"Import Tax Rates","Tarif Pajak Impor"
"Export Tax Rates","Tarif Pajak Ekspor"
"CSV","Csv"
"Excel XML","Excel XML"
"Country code is invalid: %1","Kode Negara tidak valid: %1"
"Import/Export Tax Rates","Tarif Pajak Impor / Ekspor"
