"Code","Código"
"Country","País"
"State","Estado"
"Zip/Post Code","Código Postal"
"Rate","Rate"
"Zip/Post is Range","Código Postal está no Intervalo"
"Range From","Intervalo De"
"Range To","Intervalo Até"
"Tax Zones and Rates","Tax Zones and Rates"
"Import and Export Tax Rates","Importar e Exportar Taxas de Imposto"
"The tax rate has been imported.","The tax rate has been imported."
"Invalid file upload attempt","Tentativa de carregamento de arquivo inválido"
"Invalid file upload attempt.","Tentativa de carregamento de arquivo inválido."
"Invalid file format.","Invalid file format."
"Country code is invalid: %1","Country code is invalid: %1"
"Import Tax Rates","Taxas de Imposto de Importação"
"Export Tax Rates","Exportar Taxas de Imposto"
"Please select a file to import!","Please select a file to import!"
"Import/Export Tax Rates","Import/Export Tax Rates"
"CSV","CSV"
"Excel XML","XML Excel"
