"Code","کد"
"Country","كشور"
"State","استان"
"Zip/Post Code","کد پستی"
"Rate","نرخ"
"Zip/Post is Range","کد پستی هست در بازه‌ی"
"Range From","از بازه‌ی"
"Range To","تا بازه‌ی"
"Tax Zones and Rates","مالیات مناطق و نرخ"
"Import and Export Tax Rates","ورود و صدور نرخ‌های مالیات"
"The tax rate has been imported.","نرخ مالیات وارد شد."
"Invalid file upload attempt","کوشش برای آپلود فایل نامعتبر"
"Invalid file upload attempt.","کوشش برای آپلود فایل نامعتبر."
"Invalid file format.","فرمت فایل نامعتبر."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","ورود نرخ‌های مالیات"
"Export Tax Rates","صدور نرخ‌های مالیات"
"CSV","CSV"
"Excel XML","اکسل XML"
"Country code is invalid: %1","Country code is invalid: %1"
"Import/Export Tax Rates","ورودی / خروجی نرخ مالیات"
