"Country","Quốc gia"
"Region/State","Vùng/Khu vực"
"Zip/Postal Code","Mã bưu chính"
"Shipping Price","Giá vận chuyển"
"Export CSV","Xuất CSV"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"Store Pickup","Nhận từ cửa hàng"
"Weight vs. Destination","Trọng lượng so với điểm đến"
"Price vs. Destination","Giá so với điểm đến"
"# of Items vs. Destination","# của mặt hàng so với điểm đến"
"Weight (and above)","Trọng lượng (và ở trên)"
"Order Subtotal (and above)","Tổng phụ đơn hàng (và ở trên)"
"# of Items (and above)","# mục (và ở trên)"
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
"None","Không cái nào"
"Per Order","Một đơn đặt hàng"
"Per Item","Cho mỗi mục"
"Unable to import data","Không thể chuyển nhập dữ liệu"
"Something went wrong while importing table rates.","Một cái gì đó đã đi sai trong khi chuyển nhập bảng tỷ giá."
"We couldn't import this file because of these errors: %1","Chúng tôi không thể tích hợp tệp tin này vì các lỗi: %1"
"Requested column ""%1"" cannot be resolved","Yêu cầu cột ""%1"" không thể được giải quyết"
"Column ""%1"" not found","Cột ""%1"" không tìm thấy"
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"Please correct %1 ""%2"" in the Row #%3.","Xin vui lòng nhập chính xác %1 ""%2"" trong hàng #%3."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"Duplicate Row #%1 (duplicates row #%2)","Lặp lại hàng #%1 (bản sao hàng #%2)"
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"No","Không"
"For matching items only","Chỉ cho các mục phù hợp"
"For shipment with matching items","Đối với các lô hàng với phù hợp với mục"
"Field ","Trường "
" is required."," là bắt buộc."
"Flat Rate","Tỷ lệ cố định"
"Enabled","Cho phép"
"Method Name","Tên Phương pháp"
"Price","Giá"
"Calculate Handling Fee","Tính toán chi phí xử lý"
"Handling Fee","Lệ phí xử lý"
"Sort Order","Thứ tự sắp xếp"
"Title","Tiêu đề"
"Type","Loại"
"Ship to Applicable Countries","Vận chuyển đến quốc gia áp dụng"
"Ship to Specific Countries","Vận chuyển đến quốc gia cụ thể"
"Show Method if Not Applicable","Hiển thị Phương pháp nếu không áp dụng được"
"Displayed Error Message","Hiển thị Thông báo lỗi"
"Table Rates","Bảng tỷ giá"
"Condition","Điều kiện"
"Include Virtual Products in Price Calculation","Bao gồm các sản phẩm ảo trong tính toán giá"
"Export","Xuất"
"Import","Nhập"
"Free Shipping","Miễn phí vận chuyển"
"Minimum Order Amount","Số lượng đặt hàng tối thiểu"
"Include Tax to Amount","Include Tax to Amount"
"-- Please Select --","-- Vui lòng chọn --"
