"Country","كشور"
"Region/State","منطقه/استان"
"Zip/Postal Code","کد پستی"
"Shipping Price","هزینه ارسال"
"Export CSV","خروجی گرفتن از CSV"
"Store Pickup","پیکاپ فروشگاه"
"Weight vs. Destination","وزن در برابر مقصد"
"Price vs. Destination","قیمت در برابر مقصد"
"# of Items vs. Destination","تعداد موارد در برابر مقصد"
"Weight (and above)","وزن (و بیشتر)"
"Order Subtotal (and above)","مجموع سفارش (و بیشتر)"
"# of Items (and above)","تعداد موارد (و بیشتر)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","هیچ یک"
"Per Order","بر سفارش"
"Per Item","در هر مورد"
"Unable to import data","نمی توان داده را وارد کرد"
"Something went wrong while importing table rates.","هنگام وارد کردن نرخ های جدول خطایی رخ داد."
"We couldn't import this file because of these errors: %1","ما نمی توانیم این فایل را به دلیل این خطاها: %1 وارد کنیم"
"Requested column ""%1"" cannot be resolved","ستون درخواست شده ""%1"" قابل حل نیست"
"Column ""%1"" not found","ستون ""%1"" یافت نشد"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","لطفا %1 "" %2"" را در ردیف # %3 اصلاح کنید."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","ردیف تکراری #%1 (تکرار ردیف #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","خیر"
"For matching items only","تنها برای موارد مشابه"
"For shipment with matching items","برای ارسال با موارد مشابه"
"Field ","فیلد "
" is required."," الزامی است."
"Flat Rate","نرخ یکنواخت"
"Enabled","فعال"
"Method Name","نام روش"
"Price","قيمت"
"Calculate Handling Fee","محاسبه‌ هزینه‌ رسیدگی"
"Handling Fee","هزینه رسیدگی"
"Sort Order","ترتيب سفارش"
"Title","عنوان"
"Type","نوع"
"Ship to Applicable Countries","ارسال به کشورهای قابل قبول"
"Ship to Specific Countries","ارسال به کشورهای خاص"
"Show Method if Not Applicable","اگر روش اجرا شدنی نبود، آن را نمایش بده"
"Displayed Error Message","پیغام خطای نمایش داده شده"
"Table Rates","نرخ های جدول"
"Condition","شرط"
"Include Virtual Products in Price Calculation","شامل محصولات مجازی در محاسبه‌ قیمت"
"Export","خروجی گرفتن"
"Import","وارد کردن"
"Free Shipping","ارسال رایگان"
"Minimum Order Amount","حداقل مبلغ سفارش"
"-- Please Select --","-- لطفا انتخاب کنيد --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
