"Country","الدولة"
"Region/State","المنطقة / الولايه"
"Zip/Postal Code","الرمز البريدي"
"Shipping Price","سعر الشحن"
"Export CSV","تصدير ال CSV"
"Store Pickup","اختيار المتجر"
"Weight vs. Destination","الوزن vs. المسار"
"Price vs. Destination","سعر vs. مسار"
"# of Items vs. Destination","# للعناصر vs. مسار"
"Weight (and above)","الوزن (و ما فوق)"
"Order Subtotal (and above)","المجموع الإجمالي (واعلى)"
"# of Items (and above)","# للعناصر (و اعلى)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","لا شئ"
"Per Order","لكل طلب"
"Per Item","لكل منتج"
"Unable to import data","غير قادر على استيراد البيانات"
"Something went wrong while importing table rates.","Something went wrong while importing table rates."
"We couldn't import this file because of these errors: %1","لا يمكن استيراد هذا الملف بسبب هذه الأخطاء: %1"
"Requested column ""%1"" cannot be resolved","Requested column ""%1"" cannot be resolved"
"Column ""%1"" not found","Column ""%1"" not found"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Please correct %1 ""%2"" in the Row #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Duplicate Row #%1 (duplicates row #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","لا"
"For matching items only","للسلع المطابقة فقط"
"For shipment with matching items","للشحن مع السلع المطابقة"
"Field ","حقل "
" is required."," مطلوب."
"Flat Rate","تسعيرة موحدة"
"Enabled","تفعيل"
"Method Name","Method Name"
"Price","السعر"
"Calculate Handling Fee","حساب رسوم التوصيل"
"Handling Fee","رسوم التوصيل"
"Sort Order","الترتيب"
"Title","العنوان"
"Type","النوع"
"Ship to Applicable Countries","Ship to Applicable Countries"
"Ship to Specific Countries","Ship to Specific Countries"
"Show Method if Not Applicable","Show Method if Not Applicable"
"Displayed Error Message","رسالة الخطأ المعروضة"
"Table Rates","Table Rates"
"Condition","الشرط"
"Include Virtual Products in Price Calculation","Include Virtual Products in Price Calculation"
"Export","استخراج"
"Import","استيراد"
"Free Shipping","شحن مجاني"
"Minimum Order Amount","Minimum Order Amount"
"-- Please Select --","--الرجاء الاختيار-"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
