"Country","Țara"
"Region/State","Zonă/stat"
"Zip/Postal Code","Cod poștal"
"Shipping Price","Preț livrare"
"Export CSV","Exportă CSV"
"Store Pickup","Ridicare de la magazin"
"Weight vs. Destination","Greutate vs. Destinație"
"Price vs. Destination","Preț vs. Destinație"
"# of Items vs. Destination","# de articole vs. Destinație"
"Weight (and above)","Greutate (și peste)"
"Order Subtotal (and above)","Sub total comandă (și peste)"
"# of Items (and above)","# de articole (și peste)"
"Please correct Table Rate code type: %1.","Vă rugăm să corectați tipul codului tarifar: %1"
"Please correct Table Rate code for type %1: %2.","Vă rugăm să corectați codul tarifar din tabel pentru tipul %1: %2."
"None","Nici unul"
"Per Order","Pe comandă"
"Per Item","Pe articol"
"Unable to import data","Imposibil de importat date"
"Something went wrong while importing table rates.","A avut loc o eroare la importarea tabelelor de rate."
"We couldn't import this file because of these errors: %1","Nu s-a putut importa acest fișier din cauza acestor erori: %1"
"Requested column ""%1"" cannot be resolved","Coloana solicitată ""%1"" nu poate fi rezolvată"
"Column ""%1"" not found","Coloana ""%1"" nu a fost găsită"
"Please correct Table Rates format in the Row #%1.","Vă rugăm să corectați formatul tarifelor din tabel în rândul nr. %1."
"Please correct Country ""%1"" in the Row #%2.","Vă rugăm să corectați țara ""%1"" în rândul #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Vă rugăm să corectați regiunea/judeţul ""%1"" în rândul #%2."
"Please correct %1 ""%2"" in the Row #%3.","Corectați %1 ""%2"" în rândul #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Vă rugăm să corectați prețul de livrare ""%1"" în rândul #%2."
"Duplicate Row #%1 (duplicates row #%2)","Rând duplicat #%1 (duplicate rândul #%2)"
"Please correct Table Rates File Format.","Vă rugăm să corectați formatul fișierului cu tarifele din tabel."
"No","Nu"
"For matching items only","Numai pentru articolele care se potrivesc"
"For shipment with matching items","Pentru livrare cu articole care se potrivesc"
"Field ","Câmp "
" is required.","Obligatoriu."
"Flat Rate","Taxă forfetară"
"Enabled","Activat"
"Method Name","Nume modalitate"
"Price","Preț"
"Calculate Handling Fee","Calculare taxă manipulare"
"Handling Fee","Taxă manipulare"
"Sort Order","sortați comanda"
"Title","Titlu"
"Type","Tip"
"Ship to Applicable Countries","Livrare în țările aplicabile"
"Ship to Specific Countries","Livrare în țări specifice"
"Show Method if Not Applicable","Afișați metoda dacă nu este aplicabilă"
"Displayed Error Message","Mesaj eroare afișat"
"Table Rates","Rate tabel"
"Condition","Condiție"
"Include Virtual Products in Price Calculation","Includeți produsele virtuale la calcularea prețului"
"Export","Exportați"
"Import","Import"
"Free Shipping","Livrare gratuită"
"Minimum Order Amount","Cantitate minimă comandă"
"-- Please Select --","-- Selectați --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicat Rând #%1 (Țara ""%2"", Region/State ""%3"", ZIP ""%4"" și Valoarea ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Ne pare rău, dar nu putem livra în țara de destinație cu acest modul de livrare."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","Formatul fișierului cu tarifele de masă este incorect la rândul numărul „%1”. Verificați formatul și încercați din nou."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","Țara ""%1din rândul ""%2"" este incorectă. Verifică țara și încearcă din nou."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","Regiunea ""%1"" sau județul din rândul ""%2"" este incorectă. Verificați regiunea sau statul și încercați din nou."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","Prețul de transport ""%1"" în rândul ""%2"" este incorect. Verificați prețul de transport și încercați din nou."
"The Table Rates File Format is incorrect. Verify the format and try again.","Formatul fișierului cu tarifele de masă este incorect. Verificați formatul și încercați din nou."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","Tipul de cod „%1” pentru „Tarif tabelar” este incorect. Verificați tipul și încercați din nou."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","Tipul de cod „%1: %2” pentru „Tarif tabelar” este incorect. Verificați tipul și încercați din nou."
