"Country","País"
"Region/State","Región/Provincia"
"Zip/Postal Code","Código Postal"
"Shipping Price","Precio de envío"
"Export CSV","Exportar CSV"
"Store Pickup","Se recoge en tienda"
"Weight vs. Destination","Peso vs. destino"
"Price vs. Destination","Precio vs destino"
"# of Items vs. Destination","Nº de elementos vs. destino"
"Weight (and above)","Peso (y más)"
"Order Subtotal (and above)","Subtotal del pedido (y anteriores)"
"# of Items (and above)","Nº de elementos (o más)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","Ninguno"
"Per Order","Por pedido"
"Per Item","Pro Artikel"
"Unable to import data","No se puede importar datos"
"Something went wrong while importing table rates.","Algo salió mal al importar la tabla de tarifas."
"We couldn't import this file because of these errors: %1","No pudimos importar este archivo a causa de estos errores: %1"
"Requested column ""%1"" cannot be resolved","Columna solicitada ""%1"" no se puede resolver"
"Column ""%1"" not found","Columna ""%1"" no encontrada"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Por favor corrija %1 ""%2"" en la fila #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Fila duplicada #%1 (filas duplicadas #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","No"
"For matching items only","Sólo para artículos correspondientes"
"For shipment with matching items","Para envíos con artículos correspondientes"
"Field ","Campo "
" is required."," es requerido."
"Flat Rate","Tarifa plana"
"Enabled","Habilitado"
"Method Name","Nombre del método"
"Price","Precio"
"Calculate Handling Fee","Calcular el gastos de envío"
"Handling Fee","Gastos de tramitación"
"Sort Order","Orden de aparición"
"Title","Título"
"Type","Tipo"
"Ship to Applicable Countries","Envío a países aplicables"
"Ship to Specific Countries","Envío a países específicos"
"Show Method if Not Applicable","Mostrar el método de envío, incluso si no se aplica"
"Displayed Error Message","Mensaje de error mostrado"
"Table Rates","Tarifa basada en tablas"
"Condition","Condición"
"Include Virtual Products in Price Calculation","Includir artículos virtuales a la calculación del precio"
"Export","Exportar"
"Import","Importar"
"Free Shipping","Transporte gratuito"
"Minimum Order Amount","Pedido mínimo"
"-- Please Select --","--Seleccione--"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
