"Root","રુટ"
"Delete","કાઢી નાખો"
"Save","સાચવો"
"Use Config Settings","રૂપરેખા સેટિંગ્સનો ઉપયોગ કરો"
"Use All Available Attributes","બધા ઉપલબ્ધ લક્ષણોનો ઉપયોગ કરો"
"ID","આઈ.ડી."
"Name","નામ"
"SKU","એસક્યુ"
"Visibility","દૃશ્યતા"
"Status","સ્થિતિ"
"Price","કિંમત"
"Position","સ્થિતિ"
"Add Subcategory","ઉપકેટેગરી ઉમેરો"
"Add Root Category","રુટ કેટેગરી ઉમેરો"
"Day","દિવસ"
"Month","માસ"
"Year","વર્ષ"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[વૈશ્વિક]"
"[WEBSITE]","[વેબસાઈટ]"
"[STORE VIEW]","[સ્ટોર જુઓ]"
"WYSIWYG Editor","WYSIWYG સંપાદક"
"Add Product","ઉત્પાદન ઉમેરો"
"label","લેબલ"
"Product Attributes","ઉત્પાદનનાં લક્ષણો"
"Add New Attribute","નવું એટ્રિબ્યુટ ઉમેરો"
"Cancel","રદ કરો"
"Save Attribute","એટ્રિબ્યુટ સાચવો"
"Save in New Attribute Set","નવા એટ્રિબ્યુટ સેટમાં સાચવો"
"Enter Name for New Attribute Set","નવા એટ્રિબ્યુટ સેટ માટે નામ દાખલ કરો"
"Save and Continue Edit","સાચવો અને સંપાદન ચાલુ રાખો"
"Delete Attribute","એટ્રીબ્યુટ કા Deleteી નાખો"
"Edit Product Attribute ""%1""","ઉત્પાદન લક્ષણ ""%1"" સંપાદિત કરો"
"New Product Attribute","નવું ઉત્પાદન લક્ષણ"
"Advanced Attribute Properties","અદ્યતન એટ્રિબ્યુટ ગુણધર્મો"
"Attribute Code","એટ્રિબ્યુટ કોડ"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","આનો ઉપયોગ આંતરિક રીતે થાય છે. ખાતરી કરો કે તમે ખાલી જગ્યાઓ અથવા %1 થી વધુ પ્રતીકોનો ઉપયોગ નથી કરતા."
"Default Value","ડિફaultલ્ટ મૂલ્ય"
"Unique Value","અનન્ય મૂલ્ય"
"Unique Value (not shared with other products)","અનન્ય મૂલ્ય (અન્ય ઉત્પાદનો સાથે વહેંચાયેલું નથી)"
"Not shared with other products.","અન્ય ઉત્પાદનો સાથે શેર કરેલ નથી."
"Input Validation for Store Owner","સ્ટોર માલિક માટે ઇનપુટ માન્યતા"
"Add to Column Options","કumnલમ વિકલ્પોમાં ઉમેરો"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","પ્રોડક્ટ ગ્રીડમાં ક columnલમ વિકલ્પોની સૂચિમાં આ લક્ષણ ઉમેરવા માટે ""હા"" પસંદ કરો."
"Use in Filter Options","ફિલ્ટર વિકલ્પોમાં ઉપયોગ કરો"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","પ્રોડક્ટ ગ્રીડમાં ફિલ્ટર વિકલ્પોની સૂચિમાં આ લક્ષણ ઉમેરવા માટે ""હા"" પસંદ કરો."
"Store View","દુકાન દૃશ્ય"
"Website","વેબસાઇટ"
"Global","વૈશ્વિક"
"Scope","અવકાશ"
"Declare attribute value saving scope.","લક્ષણ મૂલ્ય બચાવ અવકાશ જાહેર કરો."
"Storefront Properties","સ્ટોરફ્રન્ટ ગુણધર્મો"
"Use in Search","શોધમાં વાપરો"
"Visible in Advanced Search","અદ્યતન શોધમાં દૃશ્યમાન"
"Comparable on Storefront","સ્ટોરફ્રન્ટ પર તુલનાત્મક"
"Use for Promo Rule Conditions","પ્રોમો નિયમની શરતો માટે ઉપયોગ કરો"
"Enable WYSIWYG","Enable WYSIWYG"
"Allow HTML Tags on Storefront","સ્ટોરફ્રન્ટ પર HTML ટ Tagsગ્સને મંજૂરી આપો"
"Visible on Catalog Pages on Storefront","સ્ટોરફ્રન્ટ પર કેટલોગ પૃષ્ઠો પર દૃશ્યમાન"
"Used in Product Listing","પ્રોડક્ટ લિસ્ટિંગમાં વપરાય છે"
"Depends on design theme.","ડિઝાઇન થીમ પર આધારીત છે."
"Used for Sorting in Product Listing","ઉત્પાદન સૂચિમાં સ inર્ટ કરવા માટે વપરાય છે"
"Media Image","મીડિયા છબી"
"Gallery","ગેલેરી"
"System Properties","સિસ્ટમ ગુણધર્મો"
"No","ના"
"Yes","હા"
"Data Type for Saving in Database","ડેટાબેસમાં સાચવવા માટે ડેટા પ્રકાર"
"Text","ટેક્સ્ટ"
"Varchar","વર્ચર"
"Static","સ્થિર"
"Datetime","તારીખ સમય"
"Decimal","દશાંશ"
"Integer","પૂર્ણાંક"
"Globally Editable","વૈશ્વિક સ્તરે સંપાદનયોગ્ય"
"Attribute Information","લક્ષણ માહિતી"
"Properties","ગુણધર્મો"
"Manage Labels","લેબલ્સ મેનેજ કરો"
"Visible","દૃશ્યમાન"
"Web Site","વેબ સાઇટ"
"Searchable","શોધી શકાય તેવું"
"Comparable","તુલનાત્મક"
"Delete Selected Group","પસંદ કરેલું જૂથ કા Deleteી નાખો"
"Add New","નવો ઉમેરો"
"Back","પાછળ"
"Reset","ફરીથી સેટ કરો"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","તમે આ એટ્રિબ્યુટ સમૂહના બધા ઉત્પાદનોને કા deleteી નાખવાના છો. શું તમે ખરેખર તે કરવા માંગો છો?"
"New Set Name","નવું સેટ નામ"
"Edit Attribute Set '%1'","એટ્રિબ્યુટ સેટ '%1' સંપાદિત કરો"
"Empty","ખાલી"
"Add Attribute","એટ્રિબ્યુટ ઉમેરો"
"Add New Group","નવું જૂથ ઉમેરો"
"Add Group","જૂથ ઉમેરો"
"Edit Attribute Set Name","એટ્રિબ્યુટ સેટ નામ સંપાદિત કરો"
"For internal use","આંતરિક ઉપયોગ માટે"
"Based On","પર આધારિત"
"Add New Attribute Set","નવું એટ્રિબ્યુટ સેટ ઉમેરો"
"Add Attribute Set","એટ્રિબ્યુટ સેટ ઉમેરો"
"Attribute Sets","એટ્રિબ્યુટ સમૂહો"
"Close Window","બારી બંધ કરો"
"New Product","નવું ઉત્પાદન"
"Save & Edit","સાચવો અને સંપાદિત કરો"
"Save & New","સાચવો અને નવું"
"Save & Duplicate","સાચવો અને ડુપ્લિકેટ"
"Save & Close","સાચવો અને બંધ કરો"
"Attributes","લક્ષણો"
"Change","બદલો"
"Advanced Inventory","અદ્યતન ઇન્વેન્ટરી"
"Websites","વેબસાઇટ્સ"
"Products Information","ઉત્પાદનો માહિતી"
"Create Category","કેટેગરી બનાવો"
"Category Name","વર્ગ નામ"
"Parent Category","પિતૃ વર્ગ"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","જો ત્યાં કોઈ કસ્ટમ પેરેન્ટ કેટેગરીઝ નથી, તો કૃપા કરીને ડિફોલ્ટ પિતૃ કેટેગરીનો ઉપયોગ કરો. તમે <a href=""%1"" target=""_blank""> ઉત્પાદનો > કેટેગરીઝ </a> માં કોઈપણ સમયે કેટેગરીને ફરીથી સોંપી શકો છો."
"Price Alert Subscriptions","ભાવ ચેતવણી સબ્સ્ક્રિપ્શન્સ"
"Stock Alert Subscriptions","સ્ટોક ચેતવણી સબ્સ્ક્રિપ્શન્સ"
"There are no customers for this alert.","આ ચેતવણી માટે કોઈ ગ્રાહકો નથી."
"First Name","પ્રથમ નામ"
"Last Name","છેલ્લું નામ"
"Email","ઇમેઇલ"
"Subscribe Date","સબ્સ્ક્રાઇબ તારીખ"
"Last Notified","છેલ્લે સૂચિત"
"Send Count","કાઉન્ટ મોકલો"
"New Attribute","નવું એટ્રિબ્યુટ"
"Type","પ્રકાર"
"Attribute Set","એટ્રિબ્યુટ સેટ"
"Add New Option","નવો વિકલ્પ ઉમેરો"
"Import Options","આયાત વિકલ્પો"
"Use Default","ડિફaultલ્ટનો ઉપયોગ કરો"
"Import","આયાત કરો"
"Add New Row","નવી પંક્તિ ઉમેરો"
"Delete Row","પંક્તિ કાી નાખો"
"Tier Pricing","ટાયર પ્રાઇસીંગ"
"Default Price","ડિફોલ્ટ ભાવ"
"All Websites","બધી વેબસાઇટ્સ"
"ALL GROUPS","બધા ગ્રુપ્સ"
"Add Price","ભાવ ઉમેરો"
"Default Values","ડિફaultલ્ટ મૂલ્યો"
"Related Products","સંબંધિત વસ્તુઓ"
"Up-sells","ઉપર વેચે છે"
"Cross-sells","ક્રોસ વેચે છે"
"Size for %1","%1 માટેનું કદ"
"Watermark File for %1","%1 માટે વ Waterટરમાર્ક ફાઇલ"
"Position of Watermark for %1","%1 માટે વ Waterટરમાર્કની સ્થિતિ"
"Name in %1","%1 માં નામ"
"Quantity","જથ્થો"
"Edit","સંપાદિત કરો"
"Are you sure?","શું તમને ખાતરી છે?"
"Change Status","સ્થિતિ બદલો"
"Update Attributes","લક્ષણો સુધારો"
"start typing to search category","શોધ કેટેગરીમાં ટાઇપ કરવાનું પ્રારંભ કરો"
"New Category","નવી કેટેગરી"
"Images (.gif, .jpg, .png)","છબીઓ (.gif, .jpg, .png)"
"Add New Images","નવી છબીઓ ઉમેરો"
"Inc. Tax","ઇન્ક. ટેક્સ"
"Does this have a weight?","શું આનું વજન છે?"
"Product","ઉત્પાદન"
"Notify Low Stock RSS","લો સ્ટોક આરએસએસને સૂચિત કરો"
"Low Stock Products","નીચા સ્ટોક ઉત્પાદનો"
"%1 has reached a quantity of %2.","%1 %2 ની માત્રામાં પહોંચી ગયું છે."
"Home","ખેર"
"Go to Home Page","હોમ પેજ પર જાઓ"
"Subscribe to RSS Feed","આરએસએસ ફીડ પર સબ્સ્ક્રાઇબ કરો"
"Products Comparison List","ઉત્પાદનો તુલના સૂચિ"
"N/A","એન / એ"
"AM","એ.એમ."
"PM","પી.એમ."
"-- Please Select --","-- કૃપા કરી પસંદ કરો --"
"None","કંઈ નહીં"
"New Products from %1","%1 થી નવા ઉત્પાદનો"
"New Products","નવા ઉત્પાદનો"
"%1 - Special Products","%1 - વિશેષ ઉત્પાદનો"
"Click for price","ભાવ માટે ક્લિક કરો"
"Special Expires On: %1","વિશેષ સમાપ્ત થાય છે:%1"
"Price: %1","ભાવ:%1"
"Special Price: %1","વિશેષ ભાવ:%1"
"Special Products","ખાસ ઉત્પાદનો"
"Manage Catalog Categories","કેટલોગ કેટેગરીઝનું સંચાલન કરો"
"Manage Categories","શ્રેણીઓ મેનેજ કરો"
"You deleted the category.","તમે કેટેગરી કા deletedી નાખી."
"Something went wrong while trying to delete the category.","કેટેગરીને કા deleteવાનો પ્રયાસ કરતી વખતે કંઈક ખોટું થયું."
"Categories","શ્રેણીઓ"
"Category is not available for requested store.","વિનંતી કરેલી સ્ટોર માટે કેટેગરી ઉપલબ્ધ નથી."
"There was a category move error.","એક કેટેગરીમાં ખસેડવાની ભૂલ હતી."
"You moved the category.","તમે કેટેગરી ખસેડી."
"Attribute ""%1"" is required.","Attribute ""%1"" is required."
"You saved the category.","તમે કેટેગરી સાચવી."
"Something went wrong while saving the category.","કેટેગરી સાચવતી વખતે કંઈક ખોટું થયું."
"Please select products for attributes update.","કૃપા કરીને લક્ષણો અપડેટ માટે ઉત્પાદનો પસંદ કરો."
"Please make sure to define SKU values for all processed products.","કૃપા કરીને બધા પ્રોસેસ્ડ પ્રોડક્ટ્સ માટે એસક્યુ મૂલ્યોને નિર્ધારિત કરવાની ખાતરી કરો."
"A total of %1 record(s) were updated.","A total of %1 record(s) were updated."
"Something went wrong while updating the product(s) attributes.","ઉત્પાદન (ઓ) વિશેષતાઓને અપડેટ કરતી વખતે કંઈક ખોટું થયું."
"Unable to add attribute","લક્ષણ ઉમેરવામાં અસમર્થ"
"Please, specify attributes","Please, specify attributes"
"Catalog","કેટલોગ"
"Manage Product Attributes","ઉત્પાદન લક્ષણો મેનેજ કરો"
"We can't delete the attribute.","અમે લક્ષણ કા deleteી શકતા નથી."
"You deleted the product attribute.","તમે ઉત્પાદન લક્ષણ કા deletedી નાખ્યો."
"We can't find an attribute to delete.","અમે કા deleteી નાખવાનું લક્ષણ શોધી શકતા નથી."
"This attribute no longer exists.","આ લક્ષણ હવે અસ્તિત્વમાં નથી."
"This attribute cannot be edited.","આ લક્ષણને સંપાદિત કરી શકાતા નથી."
"Edit Product Attribute","ઉત્પાદન લક્ષણ સંપાદિત કરો"
"An attribute set named '%1' already exists.","'%1' નામનો વિશેષ સમૂહ પહેલેથી અસ્તિત્વમાં છે."
"Something went wrong while saving the attribute.","લક્ષણ સાચવતી વખતે કંઈક ખોટું થયું."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"We can't update the attribute.","અમે લક્ષણ સુધારી શકતા નથી."
"You saved the product attribute.","તમે ઉત્પાદન લક્ષણ સાચવ્યો."
"An attribute with this code already exists.","આ કોડ સાથેનું એક લક્ષણ પહેલાથી અસ્તિત્વમાં છે."
"An attribute with the same code (%1) already exists.","સમાન કોડ (%1) સાથેનું લક્ષણ પહેલેથી અસ્તિત્વમાં છે."
"The value of Admin must be unique.","એડમિનનું મૂલ્ય અનન્ય હોવું આવશ્યક છે."
"The value of Admin scope can't be empty.","એડમિન અવકાશનું મૂલ્ય ખાલી હોઈ શકતું નથી."
"You duplicated the product.","તમે ઉત્પાદનની નકલ કરી."
"This product doesn't exist.","આ ઉત્પાદન અસ્તિત્વમાં નથી."
"Invalid product id. Should be numeric value greater than 0","અમાન્ય ઉત્પાદન ID 0 કરતા વધારે આંકડાકીય મૂલ્ય હોવું જોઈએ"
"Products","ઉત્પાદનો"
"A group with the same name already exists.","સમાન નામનો જૂથ પહેલેથી જ અસ્તિત્વમાં છે."
"Something went wrong while saving this group.","આ જૂથને સાચવતી વખતે કંઈક ખોટું થયું."
"A total of %1 record(s) have been deleted.","કુલ %1 રેકોર્ડ (ઓ) કા .ી નાખવામાં આવ્યા છે."
"A total of %1 record(s) have been updated.","કુલ %1 રેકોર્ડ (ઓ) ને અપડેટ કરવામાં આવ્યા છે."
"Something went wrong while updating the product(s) status.","ઉત્પાદન (ઓ) ની સ્થિતિને અપડેટ કરતી વખતે કંઈક ભૂલ થઈ."
"Unable to save product","Unable to save product"
"You saved the product.","તમે ઉત્પાદન સાચવ્યું."
"SKU for product %1 has been changed to %2.","%1 ઉત્પાદન માટે એસક્યુ બદલીને%2 કરી દેવામાં આવ્યો છે."
"The image cannot be removed as it has been assigned to the other image role","છબી દૂર કરી શકાતી નથી કારણ કે તે બીજી છબી ભૂમિકાને સોંપવામાં આવી છે"
"New Attribute Set","નવું એટ્રિબ્યુટ સેટ"
"The attribute set has been removed.","લક્ષણ સમૂહ દૂર કરવામાં આવ્યો છે."
"We can't delete this set right now.","અમે હમણાંથી આ સેટને કા deleteી શકતા નથી."
"New Set","નવો સેટ"
"Manage Product Sets","પ્રોડક્ટ સેટ્સ મેનેજ કરો"
"Manage Attribute Sets","એટ્રિબ્યુટ સેટ મેનેજ કરો"
"This attribute set no longer exists.","આ લક્ષણ સેટ હવે અસ્તિત્વમાં નથી."
"You saved the attribute set.","તમે લક્ષણ સમૂહ સાચવ્યો."
"Something went wrong while saving the attribute set.","એટ્રિબ્યુટ સેટને સાચવતી વખતે કંઈક ખોટું થયું."
"You added product %1 to the comparison list.","You added product %1 to the comparison list."
