"Root","Raiz"
"Delete","Eliminar"
"Save","Gravar"
"Use Config Settings","Usar Definições de Configuração"
"Use All Available Attributes","Usar Todos os Atributos Disponíveis"
"ID","Id."
"Name","Nome"
"SKU","REF"
"Visibility","Visibilidade"
"Status","Estado"
"Price","Preço"
"Position","Posição"
"Add Subcategory","Adicionar Subcategoria"
"Add Root Category","Adicionar Categoria Raiz"
"Day","Dia"
"Month","Mês "
"Year","Ano"
"<label class=""label""><span>from</span></label>","<label class=""label""><span>from</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>to</span></label>"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[VISTA DE LOJA]"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Adicionar Produto"
"label","etiqueta"
"Product Attributes","Atributos de Produto"
"Add New Attribute","Adicionar Novo Atributo"
"Cancel","Cancelar"
"Save Attribute","Gravar Atributo"
"Save in New Attribute Set","Gravar no Novo Conjunto de Atributos"
"Enter Name for New Attribute Set","Insira o Nome para o Novo Conjunto de Atributos"
"Save and Continue Edit","Gravar e Continuar Edição"
"Delete Attribute","Remover Atributo"
"Edit Product Attribute ""%1""","Editar Atributo de Produto ""%1"""
"New Product Attribute","Novo Atributo de Produto"
"Advanced Attribute Properties","Propriedades Avançadas de Atributo"
"Attribute Code","Código de Atributo"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Isto é usado internamente. Certifique-se que você não usa espaços ou mais do que %1 símbolos."
"Default Value","Valor Pré-definido"
"Unique Value","Valor Único"
"Unique Value (not shared with other products)","Valor único (não partilhado com outros produtos)"
"Not shared with other products.","Não partilhado com outros produtos."
"Input Validation for Store Owner","Validação de Input para o Dono da Loja"
"Add to Column Options","Adicionar às Opções de Coluna"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Selecione ""Sim"" para adicionar este atributo à lista de opções de coluna na grelha de produtos."
"Use in Filter Options","Usar nas Opções de Filtro"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Selecione ""Sim"" para adicionar este atributo à lista de opções de filtro na grelha de produtos."
"Store View","Vista da Loja"
"Website","Site"
"Global","Global"
"Scope","Escopo"
"Declare attribute value saving scope.","Declarar o valor do atributo ao gravar o escopo."
"Storefront Properties","Propriedades da Loja"
