"Root","Gyökér"
"Delete","Törlés"
"Are you sure you want to delete this category?","Biztos abban, hogy törölni szeretné a kategóriát?"
"Save","Mentés"
"Use Config Settings","Konfigurációs beállítások használata"
"Use All Available Attributes","Minden rendelkezésre álló jellemző használata"
"ID","Azonosító"
"Name","Név"
"SKU","Cikkszám"
"Visibility","Láthatóság"
"Status","Állapot"
"Price","Ár"
"Position","Pozició"
"Add Subcategory","Alkategória hozzáadása"
"Add Root Category","Gyökér kategória hozzáadása"
"Day","Nap"
"Month","Hónap"
"Year","Év"
"from","ettől"
"to","eddig"
"[GLOBAL]","[GLOBAL]"
"[WEBSITE]","[WEBSITE]"
"[STORE VIEW]","[BOLT NÉZET]"
"WYSIWYG Editor","WYSIWYG szerkesztő"
"Add Product","Termék hozzáadása"
"label","címke"
"Product Attributes","Termékjellemzők"
"Add New Attribute","Új jellemző hozzáadása"
"Cancel","Mégse"
"Save Attribute","Jellemző mentése"
"Save in New Attribute Set","Mentés új jellemző halmazként"
"Enter Name for New Attribute Set","Adja meg az új jellemző halmaz nevét"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Delete Attribute","Jellemző törlése"
"Edit Product Attribute ""%1""","""%1"" termék jellemző szerkesztése"
"New Product Attribute","Új termékjellemző"
"Advanced Attribute Properties","Haladó jellemző tulajdonságok"
"Attribute Code","Jellemző kód"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","Belső használatra. Bizonyosodjon meg, hogy nem használ szóközt vagy több mint %1 szibólumot."
"Default Value","Alapértelmezett érték"
"Unique Value","Egyedi érték"
"Unique Value (not shared with other products)","Egyedi érték (nincs megosztva más termékekkel)"
"Not shared with other products.","Nincs megosztva más termékkel."
"Input Validation for Store Owner","A bolt tulajdonosa ellenőrizze a beírt adatokat"
"Add to Column Options","Hozzáadás az oszlopopciókhoz"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Válassza az ""igen""-t a jellemző új oszlopként való hozzáadásához."
"Use in Filter Options","Használja szűrőlehetőségként"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Válassza az ""igen""-t a jellemző új szűrőként való hozzáadásához."
"Store View","Bolt nézet"
"Website","Honlap"
"Global","Globális"
"Scope","Hatókör"
"Declare attribute value saving scope.","Állítsa be meg az jellemző érvényességi hatályát."
"The default date is invalid.","Az alapértelmezett dátum érvénytelen."
"Storefront Properties","Vásárlói felület tulajdonságai"
"Use in Search","Használat keresésben"
"Visible in Advanced Search","Látható a Részletes keresésben"
"Comparable on Storefront","Összehasonlítható a Storefronton"
"Use for Promo Rule Conditions","Használja a promóciós feltételeket"
"Allow HTML Tags on Storefront","HTML tag-ek engedése a Storefronton"
"Visible on Catalog Pages on Storefront","Megjelenik a katalógus oldalakon"
"Used in Product Listing","Terméklistában mutatás"
"Depends on design theme.","A design témától függ."
"Used for Sorting in Product Listing","Termék listában sorba rendezésre használható"
"Media Image","Média kép"
"Gallery","Galéria"
"System Properties","Rendszer tulajdonságai"
"No","Nem "
"Yes","Igen"
"Data Type for Saving in Database","Adattípus az adatbázisba mentéshez"
"Text","Szöveg"
"Varchar","Varchar"
"Static","Statikus"
"Datetime","Dátum és idő"
"Decimal","Decimális"
"Integer","Egész szám"
"Globally Editable","Globálisan szerkeszthető"
"Attribute Information","Jellemző-információk"
"Properties","Tulajdonságok"
"Manage Labels","Feliratok kezelése"
"Visible","Látható"
"Web Site","Weboldal"
"Searchable","Kereshető"
"Comparable","Összehasonlítható"
"Delete Selected Group","Kijelölt csoport törlése"
"Add New","Új hozzáadása"
"Back","Vissza"
"Reset","Alaphelyzet"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Biztosan törölni szeretne minden terméket ebben a jellemző halmazban?"
"New Set Name","Új csoport neve"
"Edit Attribute Set '%1'","'%1' jellemző halmaz szerkesztése"
"Empty","Üres"
"Add Attribute","Jellemző hozzáadása"
"Add New Group","Új csoport hozzáadása"
"Add Group","Csoport hozzáadása"
"For internal use","Belső használatra"
"Based On","Ez alapján"
"Edit Attribute Set Name","Jellemző halmaz nevének szerkesztése"
"Attribute Set Information","Jellemző halmaz információ"
"Add New Attribute Set","Új jellemző halmaz létrehozása"
"Add Attribute Set","Jellemző halmaz hozzáadása"
"Attribute Sets","Jellemző halmazok"
"Close Window","Ablak bezárása"
"New Product","Új termék"
"Save & Edit","Mentés & szerkesztés"
"Save & New","Mentés & új"
"Save & Duplicate","Mentés & duplikálás"
"Save & Close","Mentés & bezárás"
"Attributes","Jellemzők"
"Change","Módosítás"
"Advanced Inventory","Továbbfejlesztett raktárkészlet"
"Websites","Weboldalak"
"Products Information","Termék információk"
"Create Category","Kategória létrehozása"
"Category Name","Kategória neve"
"Parent Category","Szülőkategória"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Ha nincsenek egyéni szülő kategóriák, kérjük használja az alapértelmezett szülő kategóriát. A <a href=""%1"" target=""_blank""> Termékek > Kategóriák</a> útvonalon bármikor újra összerendezheti a kategóriát."
"Price Alert Subscriptions","Ár értesítés feliratkozások"
"Stock Alert Subscriptions","Készlet figyelmeztetést kérők listája"
"There are no customers for this alert.","Ehhez a figyelmeztetéshez nincs vevő hozzárendelve."
"First Name","Keresztnév"
"Last Name","Vezetéknév"
"Email","E-mail"
"Subscribe Date","Feliratkozás dátuma"
"Last Notified","Utoljára értesített"
"Send Count","Számlálás küldése"
"New Attribute","Új jellemző"
"Type","Típus"
"Attribute Set","Jellemző halmaz"
"Add New Option","Új választási lehetőség hozzáadása"
"Import Options","Választási lehetőségek importálása"
"Use Default","Alapértelmezés használata"
"Import","Importálás"
"Add New Row","Új sor hozzáadása"
