"Tax Rate Information","ತೆರಿಗೆ ದರದ ಮಾಹಿತಿ"
"Tax Identifier","Tax Identifier"
"Zip/Post is Range","ಪಿನ್ ಕೋಡ್ ನ ಶ್ರೇಣಿ"
"Zip/Post Code","ಪಿನ್ ಕೋಡ್"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1."
"Range From","ಶ್ರೇಣಿಯಿಂದ"
"Range To","ಶ್ರೇಣಿವರೆಗೆ"
"State","ರಾಜ್ಯ"
"Country","ದೇಶ"
"Rate Percent","ದರ ಶತಾಂಶ"
"Tax Titles","ತೆರಿಗೆ ಶೀರ್ಷಿಕೆ"
"Add New Tax Rate","ಹೊಸ ತೆರಿಗೆ ದರವನ್ನು ಸೇರಿಸಿ"
"Back","ಹಿಂದೆ"
"Reset","ಮರುಹೊಂದಿಸಿ"
"Delete Rate","ದರ ಅಳಿಸಿ"
"Are you sure you want to do this?","ಇದನ್ನು ಮಾಡಲು ನೀವು ಖಚಿತವಾಗಿ ಬಯಸುವಿರಾ?"
"Save Rate","ದರವನ್ನು ಉಳಿಸಿ"
"Manage Tax Rules","ತೆರಿಗೆ ನಿಯಮಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"Add New Tax Rule","ಹೊಸ ತೆರಿಗೆ ನಿಯಮವನ್ನು ಸೇರಿಸಿ"
"Save Rule","ನಿಯಮವನ್ನು ಉಳಿಸಿ"
"Delete Rule","ನಿಯಮವನ್ನು ಅಳಿಸಿ"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Tax Rule Information","ತೆರಿಗೆ ನಿಯಮದ ಮಾಹಿತಿ"
"Name","ಹೆಸರು"
"Customer Tax Class","ಗ್ರಾಹಕರ ತೆರಿಗೆ ವರ್ಗ"
"Product Tax Class","ಉತ್ಪನ್ನದ ತೆರಿಗೆ ವರ್ಗ"
"Tax Rate","ತೆರಿಗೆ ದರ"
"Priority","ಆದ್ಯತೆ"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Calculate Off Subtotal Only","Calculate Off Subtotal Only"
"Sort Order","ವಿಂಗಡಣಾ ಕ್ರಮ"
"Do you really want to delete this tax class?","Do you really want to delete this tax class?"
"Add New Tax Class","ಹೊಸ ತೆರಿಗೆ ವರ್ಗವನ್ನು ಸೇರಿಸಿ"
"Shipping Incl. Tax (%1)","ರವಾನೆ ತೆರಿಗೆ ಸಹಿತ (%1)"
"Shipping Excl. Tax (%1)","ರವಾನೆ ತೆರಿಗೆ ರಹಿತ (%1)"
"Subtotal (Excl.Tax)","ಉಪ ಮೊತ್ತ (ತೆರಿಗೆ ರಹಿತ)"
"Subtotal (Incl.Tax)","ಉಪ ಮೊತ್ತ (ತೆರಿಗೆ ಸಹಿತ)"
"Shipping & Handling (Excl.Tax)","ಸಾಗಾಣಿಕೆ & ನಿರ್ವಹಣೆ (ತೆರಿಗೆ ರಹಿತ)"
"Shipping & Handling (Incl.Tax)","ಸಾಗಾಣಿಕೆ & ನಿರ್ವಹಣೆ (ತೆರಿಗೆ ಸಹಿತ)"
"Grand Total (Excl.Tax)","ಒಟ್ಟು ಮೊತ್ತ (ತೆರಿಗೆ ರಹಿತ)"
"Grand Total (Incl.Tax)","ಒಟ್ಟು ಮೊತ್ತ (ತೆರಿಗೆ ಸಹಿತ)"
"Sales","ವ್ಯಾಪಾರಗಳು"
"Tax","ತೆರಿಗೆ"
"Manage Tax Rates","ತೆರಿಗೆ ದರಗಳನ್ನು ನಿರ್ವಹಿಸಿ"
"New Tax Rate","ಹೊಸ ತೆರಿಗೆ ದರ"
