"Add New Template","Nieuw sjabloon toevoegen"
"Transactional Emails","Transactionele e-mails"
"Back","Terug"
"Reset","Resetten"
"Delete Template","Sjabloon verwijderen"
"Convert to Plain Text","Omzetten naar platte tekst"
"Return Html Version","Geef HTML-versie terug"
"Preview Template","Voorbeeld Sjabloon"
"Save Template","Sjabloon Opslaan"
"Load Template","Sjabloon Laden"
"Edit Email Template","E-mail-sjabloon bewerken"
"New Email Template","Nieuwe e-mail-sjabloon"
"Default Config","Standaard configuratie"
"Template Information","Template informatie"
"Currently Used For","Momenteel gebruikt voor"
"Template Name","Template naam"
"Template Subject","Template onderwerp"
"Insert Variable...","Variabele waarde invoegen..."
"Template Content","Template inhoud"
"Template Styles","Template Stijl"
"Preview","Voorbeeld"
"Unknown","Onbekend"
"You deleted the email template.","Je hebt het e-mail sjabloon verwijderd."
"The email template is currently being used.","Het e-mail sjabloon wordt momenteel gebruikt."
"We can't delete email template data right now. Please review log and try again.","Wij kunnen de e-mail sjabloongegevens nu niet verwijderen. Controleer het logboek en probeer het opnieuw."
"We can't find an email template to delete.","We vinden kunnen het e-mail sjabloon om te verwijderen niet vinden."
"Edit Template","Template bewerken"
"Edit System Template","Systeem-sjabloon bewerken"
"New Template","Nieuw sjabloon"
"New System Template","Nieuw systeem-sjabloon"
"Email Templates","E-mailsjablonen"
"Email Preview","Voorvertoning E-mail"
"An error occurred. The email template can not be opened for preview.","Er is een fout opgetreden. De e-mailtemplate kan niet worden geopend als voorvertoning."
"This email template no longer exists.","Dit e-mail-sjabloon bestaat niet meer."
"You saved the email template.","Je hebt het e-mailtemplate opgeslagen."
"Area is already set","Gebied is al ingesteld"
"Design config must have area and store.","Ontwerp configuratie moet een land en winkel hebben."
"Base Unsecure URL","Onveilige basis-URL"
"Base Secure URL","Veilige basis-URL"
"General Contact Name","Algemeen contact naam"
"General Contact Email","Algemeen contact e-mail"
"Sales Representative Contact Name","Verkoop vertegenwoordiger contact naam"
"Sales Representative Contact Email","Verkoop vertegenwoordiger contact e-email"
"Custom1 Contact Name","Custom1 contact naam"
"Custom1 Contact Email","Custom1 contact e-mail"
"Custom2 Contact Name","Custom2 contact naam"
"Custom2 Contact Email","Custom2 contact e-mail"
"Store Name","Winkelnaam"
"Store Phone Number","Winkel telefoonnummer"
"Store Hours","Winkeluren"
"Country","Land"
"Region/State","Provincie"
"Zip/Postal Code","Postcode"
"City","Plaatsnaam"
"Street Address 1","Adresregel 1"
"Street Address 2","Adresregel 1"
"VAT Number","BTW nummer"
"Store Contact Information","Contactinformatie"
"%1","%1"
"Template Variables","Templatevariabelen"
"Please enter a template name.","Voer een sjabloonnaam in."
"Duplicate Of Template Name","Kopie van sjabloon-naam"
"Invalid transactional email code: %1","Ongeldige transactionele email code: %1"
"Requested invalid store ""%1""","Ongeldige winkel opgevraagd ""%s1"
"""file"" parameter must be specified","""bestand"" parameter moet worden opgegeven"
"Contents of %s could not be loaded or is empty","Inhoud van %s kan niet worden geladen of is leeg "
"""file"" parameter must be specified and must not be empty","""bestand"" parameter moet worden opgegeven en kan niet leeg zijn"
"Design params must be set before calling this method","Ontwerp params moet worden ingesteld voordat je deze methode aanroept"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS inlining fout:"
"Error filtering template: %s","Fout filteren sjabloon: %s"
"We're sorry, an error has occurred while generating this content.","Er is een fout opgetreden bij het genereren van deze content."
"Invalid sender data","Ongeldige gegevens afzender"
"Title","Titel"
"Load default template","Standaard-sjabloon laden"
"Template","Template"
"Are you sure you want to strip tags?","Weet je zeker dat je tags wilt strippen?"
"Are you sure you want to delete this template?","Weet je zeker dat je dit sjabloon wilt verwijderen?"
"The template did not load. Please review the log for details.","De sjabloon niet is geladen. Controleer het logboek voor meer informatie."
"Footer","onderschrift"
"Thank you, %store_name","Dank u, %store_name"
"Header","Header"
"Communications","Communicatie"
"No Templates Found","Geen sjablonen gevonden"
"ID","ID"
"Added","Toegevoegd"
"Updated","Bijgewerkt"
"Subject","Onderwerp"
"Template Type","Template soort"
"Action","Actie"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Toegestane bestand types: jpg, jpeg, gif, png. Om een logo te optimalizeren voor hoge resolutie schermen, upload een afbeelding die 3x zo groot is en specifieer vervolgens 1x de dimensies in de breedte/hoogte velden."
"Logo Image","Logo afbeelding"
"Logo Image Alt","Alt-tekst logo"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Enkel verplicht als je hierboven een afbeelding hebt geupload. Geeft het aantal pixels in, zonder ""px"" toe te voegen."
"Logo Width","Logo breedte"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Enkel verplicht als je hierboven een afbeelding hebt geupload. Geeft het aantal pixels in, zonder ""px"" toe te voegen."
"Logo Height","Logo hoogte"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"Header Template","Koptekst sjabloon"
"Footer Template","Voettekst sjabloon"
"We're sorry, an error has occurred while generating this email.","Er is een fout opgetreden bij het genereren van deze e-mail."
"Emails","E-mails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Toegestane bestand types: jpg, jpeg, gif, png. Om een logo te optimalizeren voor hoge resolutie schermen, upload een afbeelding die 3x zo groot is en specifieer vervolgens 1x de dimensies in de breedte/hoogte velden."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Enkel verplicht als je hierboven een afbeelding hebt geüpload. Voer het aantal pixels in, zonder ""px"" toe te voegen."
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail sjabloon dat gekozen wordt op basis van thema fallback als de optie ""Standaard"" is geselecteerd."
"<pre>' . . . . '</pre>","<pre>'. . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","De ontwerpconfiguratie heeft een gebied en een winkel nodig. Controleer of beide zijn ingesteld en probeer het opnieuw."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Als je het logo wilt optimaliseren voor displays met een hoge resolutie upload je een afbeelding met de normale grootte van 3x en geef je vervolgens 1x-afmetingen op in de onderstaande velden voor breedte / hoogte."
