"Add New Template","إضافة قالب جديد"
"Transactional Emails","معاملات رسائل البريد الالكتروني"
"Back","رجوع"
"Reset","اعادة ضبط"
"Delete Template","حذف القالب"
"Convert to Plain Text","تحويل إلى نص عادي"
"Return Html Version","إرجاع إصدار Html"
"Preview Template","معاينة القالب"
"Save Template","حفظ القالب"
"Load Template","تحميل قالب"
"Edit Email Template","تعديل قالب البريد الإلكتروني"
"New Email Template","قالب بريد إلكتروني جديد"
"Default Config","اعداد افتراضي"
"Template Information","معلومات القالب"
"Currently Used For","المستخدم حاليا ل"
"Template Name","اسم القالب"
"Template Subject","موضوع القالب"
"Insert Variable...","إدراج متغير..."
"Template Content","محتوى القالب"
"Template Styles","أنماط قالب"
"Preview","اعادة المشاهدة"
"Unknown","غير معروف"
"You deleted the email template.","لقد حذفت قالب البريد الإلكتروني."
"The email template is currently being used.","قالب البريد الإلكتروني مستخدم حاليا."
"We can't delete email template data right now. Please review log and try again.","لا يمكن حذف بيانات قالب البريد الإلكتروني الآن. الرجاء مراجعة السجل وحاول مرة أخرى."
"We can't find an email template to delete.","لا يمكن أن نجد قالب بريد إلكتروني لحذفه."
"Edit Template","تعديل قالب"
"Edit System Template","تعديل قالب النظام"
"New Template","قالب جديد"
"New System Template","قالب جديد للنظام"
"Email Templates","قوالب البريد الإلكتروني"
"Email Preview","معاينة البريد الالكتروني"
"An error occurred. The email template can not be opened for preview.","حدث خطأ. لا يمكن فتح قالب البريد الإلكتروني للمعاينة."
"This email template no longer exists.","قالب البريد الإلكتروني هذا لم يعد موجوداً."
"You saved the email template.","يمكنك حفظ قالب البريد الإلكتروني."
"Area is already set","Area is already set"
"Design config must have area and store.","Design config must have area and store."
"Base Unsecure URL","Base Unsecure URL"
"Base Secure URL","Base Secure URL"
"General Contact Name","General Contact Name"
"General Contact Email","General Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Store Name","Store Name"
"Store Phone Number","Store Phone Number"
"Store Hours","Store Hours"
"Country","Country"
"Region/State","Region/State"
"Zip/Postal Code","Zip/Postal Code"
"City","City"
"Street Address 1","Street Address 1"
"Street Address 2","Street Address 2"
"VAT Number","VAT Number"
"Store Contact Information","Store Contact Information"
"%1","%1"
"Template Variables","Template Variables"
"Please enter a template name.","Please enter a template name."
"Duplicate Of Template Name","Duplicate Of Template Name"
"Invalid transactional email code: %1","Invalid transactional email code: %1"
"Requested invalid store ""%1""","Requested invalid store ""%1"""
"""file"" parameter must be specified","""file"" parameter must be specified"
"Contents of %s could not be loaded or is empty","Contents of %s could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","""file"" parameter must be specified and must not be empty"
"Design params must be set before calling this method","Design params must be set before calling this method"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS inlining error:"
"Error filtering template: %s","Error filtering template: %s"
"We're sorry, an error has occurred while generating this content.","We're sorry, an error has occurred while generating this content."
"Invalid sender data","إرسال"
"Title","العنوان"
"Load default template","Load default template"
"Template","قالب"
"Are you sure you want to strip tags?","Are you sure you want to strip tags?"
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"The template did not load. Please review the log for details.","The template did not load. Please review the log for details."
"Footer","ذيل الصفحة"
"Thank you, %store_name","شكرا لك، %store_name"
"Header","الترويسة"
"Communications","الاتصالات"
"No Templates Found","لا يوجد قوالب"
"ID","التعريف"
"Added","تمت الاضافه"
"Updated","محدث"
"Subject","العنوان"
"Template Type","نوع القالب"
"Action","إجراء"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","صورة الشعار"
"Logo Image Alt","Alt صورة الشعار"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px""."
"Logo Width","Logo Width"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px""."
"Logo Height","Logo Height"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Email template chosen based on theme fallback, when the ""Default"" option is selected."
"Header Template","Header Template"
"Footer Template","Footer Template"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
