"Add New Template","Aggiungi nuovo template"
"Transactional Emails","Email Transazionali"
"Back","Indietro"
"Reset","Reimposta"
"Delete Template","Elimina template"
"Convert to Plain Text","Converti in testo normale"
"Return Html Version","Restituisci la versione Html"
"Preview Template","Anteprima template"
"Save Template","Salva Template"
"Load Template","Carica Template"
"Edit Email Template","Modifica Template Email"
"New Email Template","Nuovo template email"
"Default Config","Configurazione predefinita"
"Template Information","Informazioni Template"
"Currently Used For","Attualmente utilizzato per"
"Template Name","Nome template"
"Template Subject","Oggetto Template"
"Insert Variable...","Inserire la variabile..."
"Template Content","Contenuto Template"
"Template Styles","Stili Template"
"Preview","Anteprima"
"Unknown","Sconosciuto"
"You deleted the email template.","Hai eliminato il template email."
"The email template is currently being used.","Il template email è attualmente in uso."
"We can't delete email template data right now. Please review log and try again.","Non è possibile eliminare i dati dell'email template. Controlla i log e riprova."
"We can't find an email template to delete.","Non è possibile trovare un template email da eliminare."
"Edit Template","Modifica Template"
"Edit System Template","Modifica Template di Sistema"
"New Template","Nuovo Template"
"New System Template","Nuovo Template di Sistema"
"Email Templates","Email Templates"
"Email Preview","Anteprima email"
"An error occurred. The email template can not be opened for preview.","Si è verificato un errore. Il template email non può essere aperto per l'anteprima."
"This email template no longer exists.","Questo template email non esiste più."
"You saved the email template.","Hai salvato il template email."
"Area is already set","Area già impostata"
"Design config must have area and store.","Config design deve avere un'area e un negozio."
"Base Unsecure URL","Base URL non sicura"
"Base Secure URL","Base URL sicura"
"General Contact Name","Nome generale di contatto"
"General Contact Email","Email generale di contatto"
"Sales Representative Contact Name","Nome di contatto Rappresentante Vendite"
"Sales Representative Contact Email","Email di contatto Rappresentante Vendite"
"Custom1 Contact Name","Nome Contatto Personalizzato1"
"Custom1 Contact Email","Email di contatto Custom1"
"Custom2 Contact Name","Nome di contatto Personalizzato2"
"Custom2 Contact Email","Email di contatto Personalizzata2"
"Store Name","Nome Negozio"
"Store Phone Number","Numero di telefono Negozio"
"Store Hours","Orario Negozio"
"Country","Nazione"
"Region/State","Provincia"
"Zip/Postal Code","CAP"
"City","Città"
"Street Address 1","Indirizzo 1"
"Street Address 2","Indirizzo 2"
"VAT Number","Partita Iva"
"Store Contact Information","Informazioni di contatto Negozio"
"%1","%1"
"Template Variables","Variabili Template"
"Please enter a template name.","Inserisci un nome al template."
"Duplicate Of Template Name","Duplicato del nome del template"
"Invalid transactional email code: %1","Codice email transazionale non valido: %1"
"Requested invalid store ""%1""","Negozio ""%1"" richiesto non valido"
"""file"" parameter must be specified","il parametro ""file"" deve essere specificato"
"Contents of %s could not be loaded or is empty","Contenuto di %s non può essere caricato o è vuoto"
"""file"" parameter must be specified and must not be empty","il parametro ""file"" deve essere specificato e non deve essere vuoto"
"Design params must be set before calling this method","Parametri Design devono essere impostati prima di chiamare questo metodo"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","Errore CSS Inline:"
"Error filtering template: %s","Errore sul filtro template: %s"
"We're sorry, an error has occurred while generating this content.","Siamo spiacenti, si è verificato un errore durante la generazione di questo contenuto."
"Invalid sender data","Dati mittente non validi"
"Title","Titolo"
"Load default template","Carica template predefinito"
"Template","Template"
"Are you sure you want to strip tags?","Sei sicuro di che voler rimuovere i tag?"
"Are you sure you want to delete this template?","Sei sicuro di voler eliminare questo template?"
"The template did not load. Please review the log for details.","Il template non è stato caricato. Consulta i log per i dettagli."
"Footer","Piè di pagina"
"Thank you, %store_name","Grazie, %store_name"
"Header","Intestazione"
"Communications","Comunicazioni"
"No Templates Found","Nessun template trovato"
"ID","ID"
"Added","Aggiunto"
"Updated","Aggiornato"
"Subject","Oggetto"
"Template Type","Tipo di template"
"Action","Azione"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Tipi di file consentiti: jpg, jpeg, gif, png. Per ottimizzare il logo per schermi ad alta risoluzione, caricare un'immagine che sia 3x le dimensioni normali e quindi specificare le dimensioni 1x nei campi larghezza/altezza qui sotto."
"Logo Image","Immagine logo"
"Logo Image Alt","Alt Immagine Logo"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Necessario solo se l'immagine è stata caricata sopra. Immettere il numero di pixel, senza aggiungere ""px""."
"Logo Width","Larghezza logo"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Necessario solo se l'immagine è stata caricata sopra. Inserire l'altezza dell'immagine in pixel senza aggiungere ""px""."
"Logo Height","Altezza del logo"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Il modello di email basato sul tema scelto, ritorna quando è selezionata l'opzione ""Predefinito""."
"Header Template","Template Header"
"Footer Template","Template Footer"
"We're sorry, an error has occurred while generating this email.","Siamo spiacenti, si è verificato un errore durante la generazione di questa email."
"Emails","Email"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Tipi di file consentiti: jpg, jpeg, gif, png. Per ottimizzare il logo per schermi ad alta risoluzione, caricare un'immagine di 3 volte le dimensioni normali e quindi specificare le dimensioni normali nei campi larghezza/altezza qui sotto."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Necessario solo se l'immagine è stata caricata sopra. Immettere il numero di pixel, senza aggiungere ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Il template email scelto basato su fallback del tema quando è selezionata l'opzione ""Predefinito""."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
