"Add New Template","Thêm mẫu mới"
"Transactional Emails","Email giao dịch"
"Back","Trở lại"
"Reset","Thiết lập lại"
"Delete Template","Xóa mẫu"
"Convert to Plain Text","Chuyển đổi sang văn bản thuần"
"Return Html Version","Trở lại phiên bản Html"
"Preview Template","Xem trước mẫu"
"Save Template","Lưu mẫu"
"Load Template","Tải Mẫu"
"Edit Email Template","Chỉnh sửa mẫu Email"
"New Email Template","Mẫu Email mới"
"Default Config","Cấu hình mặc định"
"Template Information","Thông tin mẫu"
"Currently Used For","Hiện đang được sử dụng cho"
"Template Name","Tên mẫu"
"Template Subject","Chủ đề mẫu"
"Insert Variable...","Chèn biến..."
"Template Content","Nội dung bản mẫu"
"Template Styles","Mẫu phong cách"
"Preview","Xem trước"
"Unknown","Không xác định"
"You deleted the email template.","Bạn đã xóa email mẫu."
"The email template is currently being used.","Mẫu thư điện tử hiện nay đang được sử dụng."
"We can't delete email template data right now. Please review log and try again.","Không thể xóa dữ liệu mẫu email. Vui lòng xem lại nhật ký và thử lại."
"We can't find an email template to delete.","Không thể tìm thấy email mẫu để xóa."
"Edit Template","Chỉnh sửa mẫu"
"Edit System Template","Chỉnh sửa hệ thống mẫu"
"New Template","Mẫu mới"
"New System Template","Mẫu hệ thống mới"
"Email Templates","Mẫu email"
"Email Preview","Xem trước email"
"An error occurred. The email template can not be opened for preview.","Một lỗi đã xảy ra. Email mẫu có thể không được mở ra cho xem trước."
"This email template no longer exists.","Mẫu email này không còn tồn tại."
"You saved the email template.","Bạn đã lưu email mẫu."
"Area is already set","Khu vực đã được thiết lập"
"Design config must have area and store.","Cấu hình thiết kế phải có diện tích và lưu trữ."
"Base Unsecure URL","URL cơ sở không an toàn"
"Base Secure URL","URL cơ sở an toàn"
"General Contact Name","Tên liên hệ chung"
"General Contact Email","Email liên hệ chung"
"Sales Representative Contact Name","Tên liên hệ của đại diện bán hàng"
"Sales Representative Contact Email","Email liên hệ đại diện bán hàng"
"Custom1 Contact Name","Tên liên lạc Custom1"
"Custom1 Contact Email","Email liên hệ Custom1"
"Custom2 Contact Name","Tên liên lạc Custom2"
"Custom2 Contact Email","Email liên hệ Custom2"
"Store Name","Tên cửa hàng"
"Store Phone Number","Số điện thoại cửa hàng"
"Store Hours","Giờ mở cửa"
"Country","Quốc gia"
"Region/State","Vùng/Khu vực"
"Zip/Postal Code","Mã bưu chính"
"City","Thành phố"
"Street Address 1","Địa chỉ đường phố 1"
"Street Address 2","Địa chỉ đường phố 2"
"VAT Number","Số VAT"
"Store Contact Information","Thông tin liên lạc của cửa hàng"
"%1","%1"
"Template Variables","Mẫu biến"
"Please enter a template name.","Xin vui lòng nhập tên mẫu."
"Duplicate Of Template Name","Bản sao của tên mẫu"
"Invalid transactional email code: %1","Mã email giao dịch không hợp lệ: %1"
"Requested invalid store ""%1""","Cửa hàng yêu cầu không hợp lệ ""%1"""
"""file"" parameter must be specified","Tham số ""file"" phải được xác định"
"Contents of %s could not be loaded or is empty","Nội dung của %s không tải được hoặc trống rỗng"
"""file"" parameter must be specified and must not be empty","Tham số ""file"" phải được xác định và không phải là sản phẩm nào"
"Design params must be set before calling this method","Thiết kế chủ phải được thiết lập trước khi gọi phương pháp này"
"<pre> %1 </pre>","<pre>%1</pre>"
"CSS inlining error:","CSS inlining lỗi:"
"Error filtering template: %s","Lỗi lọc mẫu: %s"
"We're sorry, an error has occurred while generating this content.","We're sorry, an error has occurred while generating this content."
"Invalid sender data","Dữ liệu gửi không hợp lệ"
"Title","Tiêu đề"
"Load default template","Tải mẫu mặc định"
"Template","Mẫu"
"Are you sure you want to strip tags?","Bạn có chắc bạn muốn dải tags?"
"Are you sure you want to delete this template?","Bạn có chắc muốn xóa bỏ mẫu này?"
"The template did not load. Please review the log for details.","Các mẫu không tải được. Xin vui lòng xem lại Nhật ký để biết chi tiết."
"Footer","Chân trang"
"Thank you, %store_name","Cảm ơn bạn, %store_name"
"Header","Tiêu đề"
"Communications","Thông tin liên lạc"
"No Templates Found","Không có bản mẫu được tìm thấy"
"ID","ID"
"Added","đã thêm"
"Updated","Đã cập nhật"
"Subject","Chủ đề"
"Template Type","Loại mẫu"
"Action","Thao tác"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Loại tập tin cho phép: jpg, jpeg, gif, png. Để tối ưu hóa các biểu tượng cho màn hình độ phân giải cao, tải lên một hình ảnh 3x có kích thước bình thường và sau đó chỉ định 1x có kích thước chiều rộng/chiều cao như vùng dưới đây."
"Logo Image","Hình ảnh biểu tượng"
"Logo Image Alt","Hình ảnh Logo thay thế"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Nếu chỉ cần một hình ảnh đã được tải lên trên. Nhập vào số lượng điểm ảnh, mà không phụ thêm ""px""."
"Logo Width","Chiều rộng của biểu tượng"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Nếu chỉ cần một hình ảnh đã được tải lên trên. Nhập kích thước chiều cao hình ảnh điểm ảnh mà không cần phụ thêm ""px""."
"Logo Height","Chiều cao của logo"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Mẫu email được lựa chọn dựa trên chủ đề dự phòng, khi ""Mặc định"" tùy chọn được chọn."
"Header Template","Tiêu đề mẫu"
"Footer Template","Mẫu chân trang"
"We're sorry, an error has occurred while generating this email.","Chúng tôi rất tiếc, đã xảy ra lỗi trong khi tạo ra các email này."
"Emails","Email"
