"Add New Template","Додати новий шаблон"
"Transactional Emails","Транзакційні листи"
"Back","Назад"
"Reset","Очистити"
"Delete Template","Видалити шаблон"
"Convert to Plain Text","Перетворити на звичайний текст"
"Return Html Version","Повернути html-версію"
"Preview Template","Попередній перегляд шаблону"
"Save Template","Зберегти шаблон"
"Load Template","Завантажити шаблон"
"Edit Email Template","Редагувати шаблон листа"
"New Email Template","Новий шаблон листа"
"Default Config","Типова конфігурація"
"Template Information","Інформація про шаблон"
"Currently Used For","Зараз використовується для"
"Template Name","Назва шаблону"
"Template Subject","Тема шаблону"
"Insert Variable...","Вставити змінну..."
"Template Content","Вміст шаблону"
"Template Styles","Стилі шаблону"
"Preview","Перегляд"
"Unknown","Невідомо"
"You deleted the email template.","Ви видалили шаблон листа."
"The email template is currently being used.","Шаблон листа зараз використовується."
"We can't delete email template data right now. Please review log and try again.","Наразі ми не можемо видалити дані шаблону листа. Будь ласка, перегляньте журнал і повторіть спробу."
"We can't find an email template to delete.","Ми не можемо знайти шаблон листа для видалення."
"Edit Template","Редагувати шаблон"
"Edit System Template","Редагувати системний шаблон"
"New Template","Новий шаблон"
"New System Template","Новий системний шаблон"
"Email Templates","Шаблони листів"
"Email Preview","Попередній перегляд листа"
"An error occurred. The email template can not be opened for preview.","Сталася помилка. Не вдається відкрити шаблон листа для попереднього перегляду."
"This email template no longer exists.","Цього шаблону більше не існує."
"You saved the email template.","Ви зберегли шаблон листа."
"Area is already set","Area is already set"
"Design config must have area and store.","Design config must have area and store."
"Base Unsecure URL","Base Unsecure URL"
"Base Secure URL","Base Secure URL"
"General Contact Name","General Contact Name"
"General Contact Email","General Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Store Name","Store Name"
"Store Phone Number","Store Phone Number"
"Store Hours","Store Hours"
"Country","Country"
"Region/State","Region/State"
"Zip/Postal Code","Zip/Postal Code"
"City","City"
"Street Address 1","Street Address 1"
"Street Address 2","Street Address 2"
"VAT Number","VAT Number"
"Store Contact Information","Store Contact Information"
"%1","%1"
"Template Variables","Змінні шаблону"
"Please enter a template name.","Будь ласка, введіть назву шаблону."
"Duplicate Of Template Name","Дублювати назву шаблону"
"Invalid transactional email code: %1","Неправильний код транзакційної пошти: %1"
"Requested invalid store ""%1""","Запитано недійсний магазин ""%1"""
"""file"" parameter must be specified","Необхідно вказати параметр ""file"""
"Contents of %s could not be loaded or is empty","Contents of %s could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","Параметр ""file"" повинен бути вказаним і не повинен бути пустим"
"Design params must be set before calling this method","Design params must be set before calling this method"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS inlining error:"
"Error filtering template: %s","Error filtering template: %s"
"We're sorry, an error has occurred while generating this content.","We're sorry, an error has occurred while generating this content."
"Invalid sender data","Invalid sender data"
"Title","Назва"
"Load default template","Load default template"
"Template","Шаблон"
"Are you sure you want to strip tags?","Are you sure you want to strip tags?"
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"The template did not load. Please review the log for details.","The template did not load. Please review the log for details."
"Footer","Нижній колонтитул"
"Thank you, %store_name","Thank you, %store_name"
"Header","Верхній колонтитул"
"Communications","Зв'язок"
"No Templates Found","No Templates Found"
"ID","Ідентифікатор"
"Added","Додано"
"Updated","Оновлено"
"Subject","Тема"
"Template Type","Template Type"
"Action","Дія"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Logo Image"
"Logo Image Alt","Logo Image Alt"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px""."
"Logo Width","Logo Width"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px""."
"Logo Height","Logo Height"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Email template chosen based on theme fallback, when the ""Default"" option is selected."
"Header Template","Header Template"
"Footer Template","Footer Template"
"We're sorry, an error has occurred while generating this email.","We're sorry, an error has occurred while generating this email."
"Emails","Emails"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px""."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
