"Add New Template","Přidat novou šablonu"
"Transactional Emails","Transakční e-maily"
"Back","Zpět"
"Reset","Obnovit"
"Delete Template","Odstranit šablonu"
"Convert to Plain Text","Převést na prostý text"
"Return Html Version","Vrátit HTML verzi"
"Preview Template","Náhled šablony"
"Save Template","Uložit šablonu"
"Load Template","Načíst šablonu"
"Edit Email Template","Upravit šablonu e-mailu"
"New Email Template","Nová šablona e-mailu"
"Default Config","Výchozí nastavení"
"Template Information","Nastavení šablony"
"Currently Used For","Aktuálně použita pro"
"Template Name","Název šablony"
"Template Subject","Předmět šablony"
"Insert Variable...","Vložit proměnnou..."
"Template Content","Obsah šablony"
"Template Styles","Styly šablony"
"Preview","Náhled"
"Unknown","Neznámý"
"You deleted the email template.","Šablona e-mailu byla odstraněna."
"The email template is currently being used.","Šablona e-mailu se momentálně používá."
"We can't delete email template data right now. Please review log and try again.","Šablonu e-mailu momentálně nelze odstranit. Zkontrolujte protokol a zkuste to znovu."
"We can't find an email template to delete.","Šablonu e-mailu k odstranění nelze najít."
"Edit Template","Upravit šablonu"
"Edit System Template","Upravit systémovou šablonu"
"New Template","Nová šablona"
"New System Template","Nová systémová šablona"
"Email Templates","Šablony e-mailů"
"Email Preview","Náhled e-mailu"
"An error occurred. The email template can not be opened for preview.","Došlo k chybě. Šablonu e-mailu nelze otevřít k náhledu."
"This email template no longer exists.","Tato šablona e-mailu již neexistuje."
"You saved the email template.","Šablona e-mailu byla uložena."
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"%1","%1"
"Template Variables","Proměnné šablon"
"Please enter a template name.","Zadejte název šablony."
"Duplicate Of Template Name","Duplicitní název šablony"
"Invalid transactional email code: %1","Neplatný kód transakčního e-mailu: %1"
"Requested invalid store ""%1""","Požadován neplatný obchod ""%1"""
"Contents of %1 could not be loaded or is empty","Contents of %1 could not be loaded or is empty"
"""file"" parameter must be specified","parametr ""soubor"" musí být zadán"
"Contents of the specified CSS file could not be loaded or is empty","Contents of the specified CSS file could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","parametr ""soubor"" musí být zadán a nesmí být prázdný"
"Design params must be set before calling this method","Parametry vzhledu musí být nastaveny před voláním této metody"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","Inline CSS chyba:"
"Error filtering template: %s","Chyba filtrování šablony: %s"
"We're sorry, an error has occurred while generating this content.","We're sorry, an error has occurred while generating this content."
"Invalid sender data","Neplatné údaje odesílatele"
"Unable to send mail. Please try again later.","Unable to send mail. Please try again later."
"Title","Název"
"expectedResult","expectedResult"
"Load Default Template","Load Default Template"
"Template","Šablona"
"Are you sure you want to strip tags?","Skutečně chcete odebrat tagy?"
"Are you sure you want to delete this template?","Skutečně chcete tuto šablonu odstranit?"
"The template did not load. Please review the log for details.","Šablona nebyla načtena. Více informací naleznete v protokolu."
"Footer","Zápatí"
"Thank you, %store_name","Děkujeme, %store_name"
"Header","Záhlaví"
"Communications","Komunikace"
"No Templates Found","Nebyly nalezeny žádné šablony"
"ID","ID"
"Added","Přidáno"
"Updated","Upraveno"
"Subject","Předmět"
"Template Type","Typ šablony"
"Action","Akce"
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Obrázek loga"
"Logo Image Alt","Alternativní text loga"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Nezbytné, pouze pokud byl obrázek výše nahrán. Zadejte počet pixelů bez ""px""."
"Logo Width","Šířka loga"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Nezbytné, pouze pokud byl obrázek výše nahrán. Zadejte počet pixelů výšky obrázku bez ""px""."
"Logo Height","Výška loga"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Je-li zvolena volba ""Výchozí"", e-mailová šablona je postavena na záložním tématu."
"Header Template","Šablona záhlaví"
"Footer Template","Šablona zápatí"
