"Add New Template","Pridať novú šablónu"
"Transactional Emails","Transakčné emaily"
"Back","Späť"
"Reset","Resetovať"
"Delete Template","Odstrániť šablónu"
"Convert to Plain Text","Konvertovať na obyčajný Text"
"Return Html Version","Vráti Html verziu"
"Preview Template","Náhľad šablóny"
"Save Template","Uložiť šablónu"
"Load Template","Načítať šablóny"
"Edit Email Template","Upraviť šablónu e-mailu"
"New Email Template","Nová šablóna e-mailu"
"Default Config","Predvolená konfigurácia"
"Template Information","Informácie o šablóne"
"Currently Used For","V súčasnosti použítá pre"
"Template Name","Názov šablóny"
"Template Subject","Predmet šablóny"
"Insert Variable...","Vložiť premenú..."
"Template Content","Obsah šablóny"
"Template Styles","Štýly šablóny"
"Preview","Náhľad"
"Unknown","Neznámy"
"You deleted the email template.","Odstranili ste šablónu e-mailu."
"The email template is currently being used.","Šablóna e-mailu sa momentálne používa."
"We can't delete email template data right now. Please review log and try again.","We can't delete email template data right now. Please review log and try again."
"We can't find an email template to delete.","We can't find an email template to delete."
"Edit Template","Upraviť šablónu"
"Edit System Template","Upraviť systémovú šablónu"
"New Template","Nová šablóna"
"New System Template","Nová systémová šablóna"
"Email Templates","Šablóny emailov"
"Email Preview","Náhľad e-mailu"
"An error occurred. The email template can not be opened for preview.","Vyskytla sa chyba. E-mailovú šablónu nemožno otvoriť pre náhľad."
"This email template no longer exists.","Táto e-mailová šablóna už neexistuje."
"You saved the email template.","Uložili ste šablónu e-mailu."
"Area is already set","Oblasť je už nastavená"
"Design config must have area and store.","Konfigurácia dizajnu musí obsahovať plochu a obchod."
"Base Unsecure URL","Základná nezabezpečená URL adresa"
"Base Secure URL","Základná zabezpečená URL adresa"
"General Contact Name","Hlavné kontaktné meno"
"General Contact Email","Hlavný kontatkný e-mail"
"Sales Representative Contact Name","Kontaktné meno obchodného zástupcu"
"Sales Representative Contact Email","Kontaktný e-mail obchodného zástupcu"
"Custom1 Contact Name","1 dalšie kontaktné meno"
"Custom1 Contact Email","1 další kontatkný e-mail"
"Custom2 Contact Name","2 dalšie kontaktné meno"
"Custom2 Contact Email","2 další kontaktný e-mail"
"Store Name","Názov obchodu"
"Store Phone Number","Telefonícký kontakt obchodu"
"Store Hours","Otváracie hodiny"
"Country","Krajina"
"Region/State","Kraj/štát"
"Zip/Postal Code","Poštové smerovacie číslo"
"City","Mesto"
"Street Address 1","Ulica prvý riadok"
"Street Address 2","Ulica druhý riadok"
"VAT Number","DIČ"
"Store Contact Information","Kontaktné informácie"
"%1","%1"
"Template Variables","Premené šablóny"
"Please enter a template name.","Zadajte názov šablóny."
"Duplicate Of Template Name","Duplicitný názov šablóny"
"Invalid transactional email code: %1","Neplatný kód trasakčného e-mailu: %1"
"Requested invalid store ""%1""","Požadovaný neplatný obchod ""%1"""
"""file"" parameter must be specified","musí byť zadaný parameter ""súbor"""
"Contents of %s could not be loaded or is empty","Obsah %s nemôže byť nahraný alebo je prázdny"
"""file"" parameter must be specified and must not be empty","parameter ""súbor"" musia byť zadaný a súbor nesmie byť prázdny"
"Design params must be set before calling this method","Parametre dizajnu musia byť zadefinované pred volaním tejto motódy"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS inlining error:"
"Error filtering template: %s","Error filtering template: %s"
"We're sorry, an error has occurred while generating this content.","We're sorry, an error has occurred while generating this content."
"Invalid sender data","Neplatné údaje odosieľateľa"
"Title","Titulok"
"Load default template","Načítať predvolenú šablónu"
"Template","Šablóna"
"Are you sure you want to strip tags?","Naozaj chcete odstrániť Tagy?"
"Are you sure you want to delete this template?","Naozaj chcete odstrániť túto šablónu?"
"The template did not load. Please review the log for details.","Šablóna nebola načítaná. Viac informácii sa dozviete zo systémoveho zapisu."
"Footer","Pätička"
"Thank you, %store_name","Ďakujeme Vám, %store_name"
"Header","Záhlavie"
"Communications","Komunikácie"
"No Templates Found","Nenašli sa žiadne šablóny"
"ID","ID"
"Added","Pridané"
"Updated","Aktualizované"
"Subject","Predmet"
"Template Type","Typ šablóny"
"Action","Akcia"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","Povolené typy súborov: jpg, jpeg, gif, png. Pre optimalne zobrazenie loga aj na displejoch s vysokým rozlíšením, nahrajte obrázok v 3-násobnej veľkosti a potom nastavte správny rozmer v políčkach výška/šírka nižšie."
"Logo Image","Obrázok loga"
"Logo Image Alt","Alternativný text loga"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Je potrebné len v prípade, že bol nahraný obrázok vyššie. Zadajte rozmer v pixeloch (bez ""px"")."
"Logo Width","Šírka loga"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Je potrebné len v prípade, že bol nahraný obrázok vyššie. Zadajte rozmer obrázku v pixeloch (bez ""px"")."
"Logo Height","Výška loga"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Vybratá šablóna e-mailu v závislosti na záložnom motíve ak je vybratá možnosť ""Predvolený""."
"Header Template","Šablóna hlavičky stránky"
"Footer Template","Šablóna pätičky stránky"
"We're sorry, an error has occurred while generating this email.","Je nám ľuto, ale pri vytváraní tohoto e-mailu došlo k chybe."
"Emails","E-maily"
"Allowed file types: jpg, jpeg, gif, png. To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in width/height fields below.","Povolené typy súborov: jpg, jpeg, gif, png. Pre optimalne zobrazenie loga aj na displejoch s vysokým rozlíšením, nahrajte obrázok v 3-násobnej veľkosti a potom nastavte správny rozmer v políčkach výška/šírka nižšie."
"Only necessary if image has been uploaded above. Enter number of pixels, without appending ""px"".","Je potrebné len v prípade, že bol nahraný obrázok vyššie. Zadajte rozmer v pixeloch (bez ""px"")."
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šablóna pre e-mail zvolená spätnou kompatibilitou motívu keď ""Predvolená"" možnosť je nastavená."
"<pre>' . . . . '</pre>","<pre>' . . . . '</pre>"
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
