"Add New Template","Tambah template baru"
"Transactional Emails","Email Transaksional"
"Back","Kembali"
"Reset","Set ulang"
"Delete Template","Hapus Template"
"Convert to Plain Text","Konversikan ke Teks Biasa"
"Return Html Version","Kembalikan Versi Html"
"Preview Template","Pratinjau Template"
"Save Template","Simpan Template"
"Load Template","Memuat Template"
"Edit Email Template","Edit Template Email"
"New Email Template","Template Email Baru"
"Default Config","Konfigurasi bawaan"
"Template Information","Informasi Template"
"Currently Used For","Saat ini Digunakan Untuk"
"Template Name","Nama template"
"Template Subject","Subjek Template"
"Insert Variable...","Sisipkan Variabel..."
"Template Content","Konten Template"
"Template Styles","Gaya Template"
"Preview","Pratinjau"
"Unknown","Tidak diketahui"
"You deleted the email template.","Anda menghapus template email."
"The email template is currently being used.","Template email saat ini sedang digunakan."
"We can't delete email template data right now. Please review log and try again.","Kami tidak dapat menghapus data template email sekarang juga. Silakan tinjau log dan coba lagi."
"We can't find an email template to delete.","Kami tidak dapat menemukan template email yang akan dihapus."
"Edit Template","Edit Template"
"Edit System Template","Edit Template Sistem"
"New Template","Template Baru"
"New System Template","Template Sistem Baru"
"Email Templates","Template Email"
"Email Preview","Pratinjau Email"
"An error occurred. The email template can not be opened for preview.","Terjadi kesalahan. Template email tidak dapat dibuka untuk pratinjau."
"This email template no longer exists.","Kerangka email ini sudah tidak ada lagi."
"You saved the email template.","Anda menyimpan template email."
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"%1","% 1"
"Template Variables","Variabel Template"
"Please enter a template name.","Silahkan masukkan nama template."
"Duplicate Of Template Name","Duplikat Nama Template"
"Invalid transactional email code: %1","Kode email transaksional tidak valid: %1"
"Requested invalid store ""%1""","Meminta toko tidak sah ""%1"""
"Contents of %1 could not be loaded or is empty","Contents of %1 could not be loaded or is empty"
"""file"" parameter must be specified","Parameter ""file"" harus ditentukan"
"Contents of the specified CSS file could not be loaded or is empty","Contents of the specified CSS file could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","Parameter ""file"" harus ditentukan dan tidak boleh kosong"
"Design params must be set before calling this method","Paruh desain harus ditetapkan sebelum memanggil metode ini"
"<pre> %1 </pre>","<pre>%1</pre>"
"CSS inlining error:","Kesalahan inlining CSS:"
"Error filtering template: %s","Kesalahan menyaring template: %s"
"We're sorry, an error has occurred while generating this content.","Mohon maaf, telah terjadi kesalahan saat membuat konten ini."
"Invalid sender data","Data pengirim tidak valid"
"Unable to send mail. Please try again later.","Unable to send mail. Please try again later."
"Title","Judul"
"expectedResult","expectedResult"
"Load Default Template","Load Default Template"
"Template","Template"
"Are you sure you want to strip tags?","Yakin ingin strip tag?"
"Are you sure you want to delete this template?","Anda yakin ingin menghapus template ini?"
"The template did not load. Please review the log for details.","Template tidak dimuat. Silakan tinjau log untuk rinciannya."
"Footer","Bagian Kaki"
"Thank you, %store_name","Terima kasih, %store_name"
"Header","Tajuk"
"Communications","Komunikasi"
"No Templates Found","Tidak ada Template yang Ditemukan"
"ID","Id"
"Added","Ditambahkan"
"Updated","Diperbarui"
"Subject","Subyek"
"Template Type","Jenis template"
"Action","Tindakan"
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Gambar logo"
"Logo Image Alt","Gambar Logo Alt"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Diperlukan hanya jika gambar telah diunggah di atas. Masukkan jumlah piksel, tanpa menambahkan ""px""."
"Logo Width","Lebar Logo"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Diperlukan hanya jika gambar telah diunggah di atas. Masukkan ukuran tinggi gambar dalam piksel tanpa menambahkan ""px""."
"Logo Height","Tinggi Logo"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","Template email dipilih berdasarkan fallback tema, saat opsi ""Default"" dipilih."
"Header Template","Memuat Template"
"Footer Template","Template Footer"
