"Add New Template","Dodaj nowy szablon"
"Transactional Emails","E-maile sprzedażowe"
"Back","Powrót"
"Reset","Resetuj"
"Delete Template","Usuń szablon"
"Convert to Plain Text","Konwertuj na tekst niesformatowany"
"Return Html Version","Zwróć wersję HTML"
"Preview Template","Podgląd szablonu"
"Save Template","Zapisz szablon"
"Load Template","Załaduj szablon"
"Edit Email Template","Edycja szablonu e-mail"
"New Email Template","Nowy szablon e-mail"
"Default Config","Domyślna konfiguracja"
"Template Information","Informacje o szablonie"
"Currently Used For","Obecnie wykorzystywane do"
"Template Name","Nazwa szablonu"
"Template Subject","Temat szablonu"
"Insert Variable...","Wstaw zmienną..."
"Template Content","Zawartość szablonu"
"Template Styles","Style szablonu"
"Preview","Podgląd"
"Unknown","Nieznany"
"You deleted the email template.","Usunąłeś szablon wiadomości email."
"The email template is currently being used.","Szablon wiadomości e-mail jest aktualnie używany."
"We can't delete email template data right now. Please review log and try again.","Nie można usunąć szablonu e-mail teraz. Przejrzyj logi i spróbuj ponownie."
"We can't find an email template to delete.","Nie możemy znaleźć szablonu wiadomości e-mail do usunięcia."
"Edit Template","Edycja szablonu"
"Edit System Template","Edycja szablonu systemowego"
"New Template","Nowy szablon"
"New System Template","Nowy szablon systemowy"
"Email Templates","Szablony e-mail"
"Email Preview","Podgląd e-mail"
"An error occurred. The email template can not be opened for preview.","Wystąpił błąd. Nie można otworzyć szablonu wiadomości e-mail do podglądu."
"This email template no longer exists.","Taki szablon e-mail już nie istnieje."
"You saved the email template.","Zapisane w szablonie wiadomości e-mail."
"Area is already set","Area is already set"
"Design config must have area and store.","Design config must have area and store."
"Base Unsecure URL","Base Unsecure URL"
"Base Secure URL","Base Secure URL"
"General Contact Name","General Contact Name"
"General Contact Email","General Contact Email"
"Sales Representative Contact Name","Sales Representative Contact Name"
"Sales Representative Contact Email","Sales Representative Contact Email"
"Custom1 Contact Name","Custom1 Contact Name"
"Custom1 Contact Email","Custom1 Contact Email"
"Custom2 Contact Name","Custom2 Contact Name"
"Custom2 Contact Email","Custom2 Contact Email"
"Store Name","Store Name"
"Store Phone Number","Store Phone Number"
"Store Hours","Store Hours"
"Country","Country"
"Region/State","Region/State"
"Zip/Postal Code","Zip/Postal Code"
"City","City"
"Street Address 1","Street Address 1"
"Street Address 2","Street Address 2"
"VAT Number","VAT Number"
"Store Contact Information","Store Contact Information"
"%1","%1"
"Template Variables","Zmienne szablonów"
"Please enter a template name.","Podaj nazwę szablonu."
"Duplicate Of Template Name","Duplikuj nazwę szablonu"
"Invalid transactional email code: %1","Nieprawidłowy kod e-maila sprzedażowego: %1"
"Requested invalid store ""%1""","Wywołano nieprawidłowy sklep ""%1"""
"""file"" parameter must be specified","""plik"" parametr musi być określony"
"Contents of %s could not be loaded or is empty","Contents of %s could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","""plik"" parametr musi być określony i nie może być pusty"
"Design params must be set before calling this method","Parametry projektu muszą być zestawem przed wywołaniem tej metody"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","Inline błąd CSS:"
"Error filtering template: %s","Błąd filtrowania szablonu: %s"
"We're sorry, an error has occurred while generating this content.","Przepraszamy. Wystąpił błąd podczas generowania treści."
"Invalid sender data","Nieprawidłowe dane nadawcy"
"Title","Tytuł"
"Load default template","Load default template"
"Template","Szablon"
"Are you sure you want to strip tags?","Czy na pewno chcesz usunąć znaczniki?"
