"Add New Template","Lägg till ny mall"
"Transactional Emails","Transaktionella mail"
"Back","Tillbaka"
"Reset","Återställ"
"Delete Template","Ta bort mallen"
"Convert to Plain Text","Konvertera till oformaterad Text"
"Return Html Version","Återställ Html-version"
"Preview Template","Förhandsgranska mall"
"Save Template","Spara mall"
"Load Template","Hämta mall"
"Edit Email Template","Redigera e-postmall"
"New Email Template","Ny e-postmall"
"Default Config","Standardinställningar"
"Template Information","Information om mallar"
"Currently Used For","Nuvarande använd"
"Template Name","Mallens namn"
"Template Subject","Mall ämne"
"Insert Variable...","Infoga variabel..."
"Template Content","Mallinnehåll"
"Template Styles","Mallstilar"
"Preview","Förhandsgranska"
"Unknown","Okänd"
"You deleted the email template.","Du tog bort e-postmallen."
"The email template is currently being used.","E-postmallen används för närvarande."
"We can't delete email template data right now. Please review log and try again.","Vi kan inte ta bort e-post malldata just nu. Vänligen Granska loggen och försök igen."
"We can't find an email template to delete.","Vi kan inte hitta en e-postmall ta bort."
"Edit Template","Redigera mall"
"Edit System Template","Redigera systemmall"
"New Template","Ny mall"
"New System Template","Ny system mall"
"Email Templates","E-postmallar"
"Email Preview","Förhandsgranskning av E-post"
"An error occurred. The email template can not be opened for preview.","Ett fel uppstod. E-postmallen kan inte öppnas för förhandsgranskning."
"This email template no longer exists.","Detta e-postmallen finns inte längre."
"You saved the email template.","Du har sparat e-postmallen."
"The design config needs an area and a store. Verify that both are set and try again.","The design config needs an area and a store. Verify that both are set and try again."
"%1","%1"
"Template Variables","Mallvariabler"
"Please enter a template name.","Vänligen ange ett Mallnamn."
"Duplicate Of Template Name","Dubblett av Mallnamn"
"Invalid transactional email code: %1","Ogiltig transaktionell epost-kod: %1"
"Requested invalid store ""%1""","Begärde ogiltig webbshop ""%1"""
"Contents of %1 could not be loaded or is empty","Contents of %1 could not be loaded or is empty"
"""file"" parameter must be specified","""fil"" parameter måste anges"
"Contents of the specified CSS file could not be loaded or is empty","Contents of the specified CSS file could not be loaded or is empty"
"""file"" parameter must be specified and must not be empty","""fil""-parametern måste anges och får inte vara tom"
"Design params must be set before calling this method","Design parametrarna måste anges innan du anropar den här metoden"
"<pre> %1 </pre>","<pre> %1 </pre>"
"CSS inlining error:","CSS inlining error:"
"Error filtering template: %s","Fel filtrering på mall: %s"
"We're sorry, an error has occurred while generating this content.","Vi beklagar, ett fel har uppstått vid generering av detta innehåll."
"Invalid sender data","Ogiltiga avsändar data"
"Unable to send mail. Please try again later.","Unable to send mail. Please try again later."
"Title","Titel"
"expectedResult","expectedResult"
"Load Default Template","Load Default Template"
"Template","Mall"
"Are you sure you want to strip tags?","Är du säker du vill rensa Taggar?"
"Are you sure you want to delete this template?","Är du säker på att du vill ta bort den här mallen?"
"The template did not load. Please review the log for details.","Det gick inte att läsa in mallen. Vänligen Granska loggen för detaljer."
"Footer","Sidfot"
"Thank you, %store_name","Tack, %store_name"
"Header","Sidhuvud"
"Communications","Kommunikation"
"No Templates Found","Inga mallar hittade"
"ID","ID"
"Added","Tillagd"
"Updated","Uppdaterad"
"Subject","Ämne"
"Template Type","Malltyp"
"Action","Åtgärd"
"To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below.","To optimize logo for high-resolution displays, upload an image that is 3x normal size and then specify 1x dimensions in the width/height fields below."
"Logo Image","Logotypbild"
"Logo Image Alt","Logo bild Alt"
"Necessary only if an image has been uploaded above. Enter number of pixels, without appending ""px"".","Behövs endast om en bild har laddats ovan. Ange antalet pixlar, utan att lägga till ""px""."
"Logo Width","Logotyp bredd"
"Necessary only if an image has been uploaded above. Enter image height size in pixels without appending ""px"".","Behövs endast om en bild har laddats ovan. Ange bildstorlek höjd i pixlar utan att lägga till ""px""."
"Logo Height","Logotyphöjd"
"Email template chosen based on theme fallback, when the ""Default"" option is selected.","E-postmallen valt baserat på temafallback när ""Standard"" alternativet är valt."
"Header Template","Header mall"
"Footer Template","Sidfot-mall"
