"Downloadable Information","ダウンロード情報"
"Add New Link","新しいリンク追加"
"Upload Files","ファイルアップロード"
"All Files","全てのファイル"
"Unlimited","無制限"
"Something went wrong while getting the requested content.","リクエストされたコンテントを入手中に問題が発生しました"
"My Downloadable Products","ダウンロード可能な商品"
"We can't find the link you requested.","リクエストされたリンクが見つかりませんでした"
"Please sign in to download your product or purchase <a href=""%1"">%2</a>.","サインインして商品か購入 <a href=""%1"">%2</a>をダウンロードしてください。"
"Please sign in to download your product.","サインインしてあなたの商品をダウンロードしてください。"
"The link has expired.","リンクは有効期限切れです。"
"The link is not available.","リンクは利用できません。"
"Sorry, there was an error getting requested content. Please contact the store owner.","申し訳ございません。コンテンツのダウンロード中にエラーが発生しました。担当者にお問い合わせください。"
"Please set resource file and link type.","ファイルとリンク形式をセットしてください。"
"Invalid download link type.","不正なダウンロードリンクです。"
"Something went wrong while saving the file(s).","ファイル保存中に問題が発生しました"
"Provided content must be valid base64 encoded data.","提供されたコンテントは有効なbase64エンコードのデータでなければなりません"
"Provided file name contains forbidden characters.","提供されたファイル名には禁則文字が含まれています"
"Link file not provided","リンク ファイルは提供されません。"
"Link price must have numeric positive value.","リンクの値段は正の数値でなければなりません"
"Number of downloads must be a positive integer.","ダウンロード数は正の数字でなければなりません"
"Sort order must be a positive integer.","ソート順は性の数字でなければなりません"
"Link URL must have valid format.","リンクURLは有効なフォーマットでなければなりません"
"Provided file content must be valid base64 encoded data.","提供されたファイルコンテントは有効なbase64エンコードのデータでなければなりません"
"Sample URL must have valid format.","サンプルURLは有効なフォーマットでなければなりません"
"Order id cannot be null","注文IDにnullは使用できません"
"Order item id cannot be null","商品IDにnullは使用できません"
"Provided product must be type 'downloadable'.","Provided product must be type 'downloadable'."
"Provided link information is invalid.","Provided link information is invalid."
"Invalid link type.","Invalid link type."
"Link title cannot be empty.","Link title cannot be empty."
"There is no downloadable link with provided ID.","There is no downloadable link with provided ID."
"Provided downloadable link is not related to given product.","Provided downloadable link is not related to given product."
"Cannot delete link with id %1","Cannot delete link with id %1"
"Please specify product link(s).","商品リンクを指定してください。"
"Sample file not provided","サンプル ファイルは提供されません。"
"Provided sample information is invalid.","Provided sample information is invalid."
"Invalid sample type.","Invalid sample type."
"Sample title cannot be empty.","Sample title cannot be empty."
"There is no downloadable sample with provided ID.","There is no downloadable sample with provided ID."
"Provided downloadable sample is not related to given product.","Provided downloadable sample is not related to given product."
"Cannot delete sample with id %1","Cannot delete sample with id %1"
"Yes","Yes"
"No","No"
"Use config","設定を使用する"
"Upload File","ファイルをアップロード"
"URL","URL"
"attachment","添付ファイル"
"inline","インライン"
"Pending","処理待ち"
"Invoiced","請求済"
"To enable the option set the weight to no","このオプションを有効にするには、商品の重量をNoにしてください。"
"Is this downloadable Product?","これはダウンロード商品ですか？"
"Links","リンク"
"Title","タイトル"
"Links can be purchased separately","リンクは個別に購入可能"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with '_'.","半角英数字、ハイフン、アンダーバーがファイル名に使用する文字として推奨されます。不正な文字は '_' に置き換えられます。"
"Add Link","リンクを追加"
"Price","価格"
"File","ファイル"
"Sample","サンプル"
"Shareable","共有可能"
"Max. Downloads","最大ダウンロード"
"Samples","サンプル"
"Use Default Value","標準の値を使用"
"sample","サンプル"
"Is this a downloadable Product?","これはダウンロード商品ですか？"
"Add links to your product files here.","ここの製品ファイルへのリンクを追加"
"[STORE VIEW]","[ストアビュー]"
"[GLOBAL]","[グローバル]"
"Sort Order","表示順"
"Attach File or Enter Link","ファイル添付かリンク入力"
"Sort Variations","並べ替えバリエーション"
"Browse Files...","ファイルを選択...."
"Delete","削除"
"Add product preview files here.","ここに製品プレヴューファイルを追加"
"SKU","商品番号"
"U","U"
"Select all","全て選択"
"Unselect all","全選択解除"
"Availability","在庫あり"
"In stock","在庫あり"
"Out of stock","在庫切れ"
"Go to <a href=""%1"">My Downloadable Products</a>"," <a href=""%1"">ダウンロード商品</a>に移動"
"Downloadable Products","ダウンロード商品"
"Order #","注文 #"
"Date","日付"
"Status","ステータス"
"Remaining Downloads","残りのダウンロード"
"View Order","注文の詳細を表示"
"Start Download","ダウンロード開始"
"You have not purchased any downloadable products yet.","まだダウンロード商品をご購入いただいていません。"
"Back","戻る"
"download","ダウンロード"
"Gift Message","ギフトメッセージ"
"From:","開始:"
"To:","終了:"
"Message:","メッセージ:"
"Product Name","商品名"
"Qty","個数"
"Subtotal","小計"
"Discount Amount","割引価格"
"Row Total","行合計"
"Qty Invoiced","請求済個数"
"Ordered","注文済"
"Shipped","荷送り人"
"Canceled","キャンセル済"
"Refunded","返金"
"We could not detect a size.","サイズが不明でした。"
"Downloadable Product Section","ダウンロード商品セクション"
"Downloads","ダウンロード"
"Downloadable Product Options","ダウンロード商品オプション"
"Order Item Status to Enable Downloads","ダウンロード可能になる注文ステータス"
"Default Maximum Number of Downloads","ダウンロードの初期最大数"
"Default Sample Title","標準サンプルタイトル"
"Default Link Title","標準リンクタイトル"
"Open Links in New Window","新しいウインドウでリンクを開く"
"Use Content-Disposition","Content-Dispositionを使用する"
"Disable Guest Checkout if Cart Contains Downloadable Items","ダウンロード商品がカートにある場合はゲスト購入を無効にする"
"Guest checkout will only work with shareable.","ゲスト購入は共有できる形でしか動作しません。"
"Product type of the product must be 'downloadable'.","Product type of the product must be 'downloadable'."
"The product needs to be the downloadable type. Verify the product and try again.","その商品はダウンロード可能なタイプである必要があります。商品を確認して再度お試し下さい。"
"The link information is invalid. Verify the link and try again.","リンク情報が無効です。リンクを確認して再度お試し下さい。"
"The link type is invalid. Verify and try again.","リンクタイプが無効です。確認して再度お試し下さい。"
"The link title is empty. Enter the link title and try again.","リンクタイトルが空です。リンクタイトルを入力して再度お試し下さい。"
"No downloadable link with the provided ID was found. Verify the ID and try again.","提供されたIDのダウンロード可能なリンクが見つかりませんでした。 IDを確認して、再度お試し下さい。"
"The downloadable link isn't related to the product. Verify the link and try again.","ダウンロード可能なリンクはその商品に関連がありません。リンクを確認して再度試して下さい。"
"The link with ""%1"" ID can't be deleted.","ID ""%1"" のリンクは削除できません。"
"The sample information is invalid. Verify the information and try again.","サンプル情報が無効です。情報を確認して再度お試し下さい。"
"The sample type is invalid. Verify the sample type and try again.","サンプルタイプが無効です。サンプルタイプを確認して再度お試し下さい。"
"The sample title is empty. Enter the title and try again.","サンプルタイトルが空です。タイトルを入力して再度お試し下さい。"
"No downloadable sample with the provided ID was found. Verify the ID and try again.","提供されたIDのダウンロード可能なサンプルが見つかりませんでした。 IDを確認して、再度お試し下さい。"
"The downloadable sample isn't related to the product. Verify the link and try again.","ダウンロード可能なサンプルはその商品に関連がありません。リンクを確認して再度試して下さい。"
"The sample with ""%1"" ID can't be deleted.","ID ""%1"" のサンプルは削除できません。"
