"No","Nie"
"Filterable (with results)","Filtrowalne (z wynikami)"
"Filterable (no results)","Filtrowalne (bez wyników)"
"Use in Layered Navigation","Zastosuj w warstwowej nawigacji"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Może być użyte tylko z polem typu rozwijana lista, wielokrotny wybór i cena"
"Can be used only with catalog input type Dropdown, Multiple Select and Price.","Może być użyte tylko z polem typu rozwijana lista, wielokrotny wybór i cena."
"Use in Search Results Layered Navigation","Używane w warstwowej nawigacji wyników wyszukiwania"
"Position","Pozycja"
"Position in Layered Navigation","Pozycja w warstwowej nawigacji"
"Position of attribute in layered navigation block.","Pozycja cechy w bloku warstwowej nawigacji."
"item","produkt"
"items","produkty"
"Now Shopping by","Kupuj przez"
"Previous","Poprzednie"
"Remove","Usuń"
"Remove This Item","Usuń ten element"
"Shop By","Kupuj wg"
"Clear All","Wyczyść wszystko"
"Shopping Options","Opcje zakupów"
"Layered Navigation","Nawigacja warstwowa"
"Display Product Count","Pokazuj ilość produktów"
"Price Navigation Step Calculation","Oblicznani kroku cenowego nawigacji"
"Default Price Navigation Step","Domyślny krok cenowy w nawigacji"
"Maximum Number of Price Intervals","Maksymalna ilość przedziałów cenowych"
"Maximum number of price intervals is 100","Maksymalna ilość przedziałów cenowych to 100"
"Display Price Interval as One Price","Pokazuj przedział cenowy jako jedną cenę"
"This setting will be applied when all prices in the specific price interval are equal.","Ustawienie zostanie zastosowane kiedy wszystkie ceny w okreslonym przedziale są równe."
"Interval Division Limit","Limit wewnętrznego podziału"
"Please specify the number of products, that will not be divided into subintervals.","Prosimy sprecyzowac ilość produktów, które nie będą dzielona na podprzedziały."
"Position of attribute in layered navigation block","Pozycja cechy w bloku warstwowej nawigacji"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price","Może być użyte tylko z polem typu Tak/Nie, rozwijaną listą, polem wielokrotnego wyboru i ceną"
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.
                    <br>Price is not compatible with <b>'Filterable (no results)'</b> option - 
                     it will make no affect on Price filter.","Może być użyte tylko z polem typu Tak/Nie, rozwijaną listą, polem wielokrotnego wyboru i ceną.
                    <br>Cena nie jest kompatybilna z opcją <b>'Filtrowalne (bez wyników)'</b> - 
                     nie wpłynie to na filtr cenowy."
"Can be used only with catalog input type Yes/No, Dropdown, Multiple Select and Price.","Może być użyte tylko z polem typu Tak/Nie, rozwijaną listą, polem wielokrotnego wyboru i ceną."
"Can be used only with catalog input type Yes/No (Boolean), Dropdown, Multiple Select and Price.","Może być użyte tylko z polem typu Tak/Nie (Boolean), rozwijaną listą, polem wielokrotnego wyboru i ceną."
