"Cancel","Cancelar"
"Preview","Vista previa"
"Done","Hecho"
"Remove from Update","Eliminar de la actualización"
"Save","Guardar"
"Schedule New Update","Programar nueva actualización"
"View Specific Date","Ver fecha específica"
"Date & Time","Fecha y hora"
"This update not exists.","Esta actualización no existe."
"Content Staging Dashboard","Panel contenido puesta en escena"
"The Start Time of this Update cannot be changed. It's been already started.","La hora de inicio de esta actualización no se puede cambiar. Ya ha comenzado."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","La actualización futura en este rango de tiempo ya existe. 
                            Seleccione un rango diferente para agregar una nueva actualización futura."
"Cannot save Update.","No se puede guardar la actualización."
"Edit Existing Update","Editar actualización existente"
"Assign to Another Update","Asignar a otra actualización"
"Save as a New Update","Guardar como una nueva actualización"
"Assign to Existing Update","Asignar a actualización vigente"
"You removed this %1 from the update and saved it in the other one.","Ha removido este %1 de la actualización y lo guardo en el otro."
"%1 is required parameter.","%1 es parámetro necesario."
"You removed this %1 from the update.","Ha removido este %1 de la actualización."
"You removed this %1 from the update and saved it in a new one.","Removiste este %1 de la actualización y lo guardaste en una nueva."
"Invalid action type %1.","Acción no válida tipo %1."
"Invalid action.","Acción inválida."
"Invalid parameter %1.","Parámetro inválido %1."
"Something went wrong while removing the %1.","Algo salió mal al remover el %1."
"The 'mode' value is unexpected.","El valor de 'mode' es inesperado."
"You saved this %1 update.","Has guardado esta actualización %1."
"Something went wrong while saving the %1.","Algo salió mal al guardar el %1."
"Requested type does not have corresponding implementation","El tipo solicitado no tiene la implementación correspondiente"
"Repository should return instance of %s","Repositorio debe devolver instancia de %s"
"Can not be rescheduled","No puede ser reprogramado"
"Action class must implement ActionDataProviderInterface","Action class debe implementar ActionDataProviderInterface"
"entity_type","entity_type"
"Delete Update","Eliminar actualización"
"View/Edit","Ver/Editar"
"Active","Activo"
"Upcoming","Próximos"
"Please select Name for Future Update.","Seleccione nombre para actualización futura."
"Please select Start Time for Future Update.","Seleccione Hora de inicio para la actualización futura."
"Future Update Start Time cannot be earlier than current time.","Hora de inicio de actualización programada no puede ser anterior a la hora actual."
"Future Update End Time cannot be equal or earlier than Start Time.","En una actualización futura el tiempo de finalización no puede ser anterior o igual al tiempo de inicio."
"Future Update End Time cannot be earlier than current time.","El tiempo de finalización de la actualización futura no puede ser anterior a la hora actual."
"Update with id ""%1"" does not exist.","Actualización con el id ""%1"" no existe."
"Active update can not be deleted","No se puede eliminar la actualización activa"
"Start time could not be changed while update active","La hora de inicio no se pudo cambiar con la actualización activa"
"Unable to save Future Update.","No se puede guardar actualización futura."
"Test","Prueba"
"Error","Error"
"Test Exception","Excepción de la prueba"
"This action is unavailable","Esta acción no esta disponible"
"Magento Admin Panel","Panel de administración de Magento"
"Calendar","Calendario"
"Share","Compartir"
"Close","Cerrar"
"Scope","Alcance"
"Scheduled Changes","Cambios programados"
"Start","Comenzar"
"End","Fin"
"Belongs to ","Pertenece a "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Por favor, confirme el cambio en el campo. Todos los datos que no se haya guardado se perderá."
"Share Preview Link","Compartir enlace de previzualización"
"Staging","Puesta en escena"
"Create New Update","Crear nueva actualización"
"Back","Atrás"
"General","General"
"Status","Estatus"
"Update Name","Actualizar nombre"
"Includes","Incluye"
"Start Time","Hora de inicio"
"End Time","Hora de finalización"
"Description","Descripción"
