"Wish List","Lista życzeń"
"Wish List Sharing","Udostępnianie listy życzeń"
"My Wish List","Moja lista życzeń"
"%1's Wish List","Lista życzeń %1"
"Page not found.","Nie znaleziono strony."
"We can't specify a product.","Nie możemy określić produktu."
"We can't add the item to Wish List right now: %1.","Aktualnie nie możemy dodać elementu do listy życzeń: %1."
"We can't add the item to Wish List right now.","Aktualnie nie możemy dodać elementu do listy życzeń."
"This product(s) is out of stock.","Ten produkt jest niedostępny na magazynie."
"We can't add the item to the cart right now.","Nie można teraz dodać produktu do koszyka."
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"We can't configure the product right now.","Nie można teraz skonfigurować produktu."
"The cart item doesn't exist.","The cart item doesn't exist."
"%1 has been moved to your wish list.","%1 został przeniesiony do Twojej listy życzeń."
"We can't move the item to the wish list.","Nie możemy przenieść elementu do listy życzeń."
"You must login or register to add items to your wishlist.","Musisz być zalogowany aby dodać przedmioty do Twojej listy życzeń."
"We can't delete the item from Wish List right now because of an error: %1.","Nie możemy usunąć elementu z listy życzeń. Wystąpił błąd: %1."
"We can't delete the item from the Wish List right now.","Aktualnie nie możemy usunąć elementu z listy życzeń."
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Message length must not exceed %1 symbols","Długość komunikatu nie może przekraczać %1 znaków"
"Please enter an email address.","Podaj adres e-mail."
"Maximum of %1 emails can be sent.","Maximum of %1 emails can be sent."
"Please enter a valid email address.","Prosimy wpisać poprawny adres e-mail"
"Your wish list has been shared.","Schowek został udostępniony."
"We can't delete item from Wish List right now.","Nie można teraz usunąć produktu z listy życzeń."
"%1 has been updated in your Wish List.","%1 został zaktualizowany na liście życzeń."
"Can't save description %1","Nie można zapisać opisu %1"
"Can't update wish list","Nie można zaktualizować listy życzeń"
"We can't update your Wish List right now.","Nie można teraz zaktualizować listy życzeń."
"You added %1 to your shopping cart.","Dodałeś %1 do koszyka."
"The requested Wish List doesn't exist.","Żądana lista życzeń nie istnieje."
"We can't create the Wish List right now.","Nie możemy teraz stworzyć listy życzeń."
"%1 items","%1 elementów"
"1 item","1 element"
"Comment","Komentarz"
"Display number of items in wish list","Wyświetl liczbę elementów na liście życzeń"
"Display item quantities","Wyświetlaj ilości produktów"
"An item option with code %1 already exists.","Opcja produktu z kodem %1 już istnieje."
"We can't specify a wish list.","Nie możemy dokładnie określić listy życzeń."
"Cannot specify product.","Nie można ustalić produktu."
"Product is not salable.","Produkt nie jest chodliwy."
"Invalid item option format.","Nieprawidłowy format opcji elementu."
"%1 for ""%2"".","%1 na ""%2""."
"We can't add this item to your shopping cart right now.","Teraz nie ma możliwości dodania tego produktu do Twojego koszyka."
"We couldn't add the following product(s) to the shopping cart: %1.","Nie udało się dodać następującego produktu (następujących produktów) do koszyka: %1."
"We can't update the Wish List right now.","Nie możemy teraz stworzyć listy życzeń."
"%1 product(s) have been added to shopping cart: %2.","%1 produkt(y) został dodany do koszyka: %2."
"Comment:","Komentarz:"
"We cannot retrieve the Wish List.","Nie możemy pobrać listy życzeń."
"%1's Wishlist","Schowek %1"
"Cannot add product without stock to wishlist.","Cannot add product without stock to wishlist."
"We can't specify a wish list item.","Nie możemy dokładnie określić elementów listy życzeń."
"The product does not exist.","Produkt nie istnieje."
"Could not find a product with SKU ""%sku""","Could not find a product with SKU ""%sku"""
"The quantity of a wish list item cannot be 0","The quantity of a wish list item cannot be 0"
"The product is disabled","The product is disabled"
