"Wish List","Liste d'achats"
"Wish List Sharing","Partager ma liste d'achats"
"My Wish List","Ma liste d'achats"
"%1's Wish List","Liste d'achats de %1"
"Page not found.","Page introuvable."
"We can't specify a product.","Impossible de spécifier le produit."
"We can't add the item to Wish List right now: %1.","Nous ne pouvons pas ajouter l'élément à la liste d'achats maintenant : %1."
"We can't add the item to Wish List right now.","Nous ne pouvons pas ajouter l'élément à la liste d'achats pour le moment."
"You added %1 to your shopping cart.","Vous avez ajouté %1 à votre panier."
"This product(s) is out of stock.","Produit(s) en rupture de stock."
"We can't add the item to the cart right now.","Impossible d'ajouter l’article au panier pour le moment."
"We can't load the Wish List item right now.","Chargement impossible des articles de votre liste d'envies pour le moment."
"We can't configure the product right now.","Nous ne pouvons pas configurer l'article maintenant."
"The requested cart item doesn't exist.","L'article du panier demandé n'existe pas."
"%1 has been moved to your wish list.","%1 a été déplacé dans votre liste d'achats."
"We can't move the item to the wish list.","Nous ne pouvons pas déplacer l'élément dans la liste d'achats."
"We can't delete the item from Wish List right now because of an error: %1.","Nous ne pouvons pas supprimer l'élément de la liste d'achats maintenant à cause d'une erreur : %1."
"We can't delete the item from the Wish List right now.","Nous ne pouvons pas supprimer l'élément de la liste d'achats pour le moment."
"Message length must not exceed %1 symbols","La longueur du message ne doit pas dépasser %1 symboles"
"Please enter an email address.","Veuillez saisir une adresse email."
"This wish list can be shared %1 more times.","Cette liste d'achats peut être partagée encore %1 fois."
"Please enter a valid email address.","Saisissez un email valide."
"Your wish list has been shared.","Votre liste d'achats a été partagée."
"We can't delete item from Wish List right now.","Nous ne pouvons pas supprimer l'élément de la liste d'achats pour le moment."
"Can't save description %1","Impossible d'enregistrer la description %1"
"Can't update wish list","Impossible de mettre à jour la liste d'achats"
"%1 has been updated in your Wish List.","%1 a été mis à jour dans votre liste d'achats."
"We can't update your Wish List right now.","Nous ne pouvons pas mettre à jour votre liste d'achats maintenant."
"The requested Wish List doesn't exist.","La liste d'achats demandée n'existe pas."
"We can't create the Wish List right now.","Nous ne pouvons pas créer la liste d'achats en ce moment."
"%1 items","%1 articles"
"1 item","1 article"
"Comment","Commentaire"
"Display number of items in wish list","Afficher le nombre de produits dans la liste d'achats"
"Display item quantities","Afficher la quantité d'articles"
"An item option with code %1 already exists.","Une option article avec le code %1 existe déjà."
"We can't specify a wish list.","Nous ne pouvons pas spécifier une liste d'achats."
"Cannot specify product.","Impossible de spécifier le produit"
"Product is not salable.","Produit non vendable."
"Invalid item option format.","Format d'option d'élément invalide."
"%1 for ""%2"".","%1 pour ""%2""."
"We can't add this item to your shopping cart right now.","Nous ne pouvons pas ajouter cet article à votre panier dès maintenant."
