"Wish List","Wishlist"
"Wish List Sharing","שיתוף wishlist"
"My Wish List","המועדפים שלי"
"%1's Wish List","ה-wishlist של %1"
"Page not found.","העמוד לא נמצא."
"We can't specify a product.","המוצר אינו זמין כעת."
"We can't add the item to Wish List right now: %1.","לא ניתן להוסיף את הפריט ל-wishlist כעת: %1."
"We can't add the item to Wish List right now.","לא ניתן להוסיף את המוצר למועדפים כעת."
"This product(s) is out of stock.","המוצר(ים) לא במלאי."
"We can't add the item to the cart right now.","לא ניתן להוסיף את הפריט לעגלה כעת."
"The Wish List item can't load at this time. Please try again later.","The Wish List item can't load at this time. Please try again later."
"We can't configure the product right now.","לא ניתן להגדיר עתה את המוצר."
"The cart item doesn't exist.","The cart item doesn't exist."
"%1 has been moved to your wish list.","%1 הועבר ל-wishlist שלך."
"We can't move the item to the wish list.","לא ניתן להעביר את הפריט ל-wishlist."
"You must login or register to add items to your wishlist.","You must login or register to add items to your wishlist."
"We can't delete the item from Wish List right now because of an error: %1.","לא ניתן למחוק את הפריט מהמועדפים בשל שגיאה: %1."
"We can't delete the item from the Wish List right now.","לא ניתן למחוק את הפריט מהמועדפים כעת."
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Message length must not exceed %1 symbols","אורך ההודעה מוגבל ל-%1 תווים"
"Please enter an email address.","נא להזין כתובת אימייל."
"Maximum of %1 emails can be sent.","Maximum of %1 emails can be sent."
"Please enter a valid email address.","נא להזין כתובת אימייל תקינה."
"Your wish list has been shared.","ה-wishlist שלך שותף."
"We can't delete item from Wish List right now.","לא ניתן למחוק את הפריט מה-wishlist כעת."
"%1 has been updated in your Wish List.","%1 עודכן ב-wishlist."
"Can't save description %1","התיאור בלתי ניתן לשמירה %1"
"Can't update wish list","לא ניתן לעדכן את ה-wishlist"
"We can't update your Wish List right now.","לא ניתן לעדכן את ה-wishlist כעת."
"You added %1 to your shopping cart.","%1 נוסף לעגלת הקניות."
"The requested Wish List doesn't exist.","רשימת המועדפים המבוקשת איננה קיימת."
"We can't create the Wish List right now.","לא ניתן ליצור את רשימת המועדפים כעת."
"%1 items","%1 פריטים"
"1 item","פריט אחד"
"Comment","הערה"
"Display number of items in wish list","הצגת מספר הפריטים ב-wishlist"
"Display item quantities","הצגת כמויות פריטים"
"An item option with code %1 already exists.","אופציית הפריט עם קוד %1 כבר קיימת."
"We can't specify a wish list.","לא ניתן לציין רשימת מועדפים."
"Cannot specify product.","אין אפשרות לציין מוצר."
"Product is not salable.","המוצר אינו למכירה."
"Invalid item option format.","הפורמט של הפריט אינו חוקי."
"%1 for ""%2"".","%1 עבור ""%2""."
"We can't add this item to your shopping cart right now."," לא ניתן להוסיף פריט זה לסל הקניות שלך כרגע."
"We couldn't add the following product(s) to the shopping cart: %1.","הוספת המוצר(ים) לעגלת הקניות נכשלה: %1."
"We can't update the Wish List right now.","לא ניתן לעדכן את רשימת המועדפים כעת."
"%1 product(s) have been added to shopping cart: %2.","%1 מוצרים נוספו לסל הקניות: %2."
"Comment:","הערה:"
"We cannot retrieve the Wish List.","לא ניתן לשחזר את רשימת המועדפים."
"%1's Wishlist","המועדפים של %1"
"Cannot add product without stock to wishlist.","Cannot add product without stock to wishlist."
"We can't specify a wish list item.","לא ניתן לציין פריט מרשימת המועדפים."
"The product does not exist.","המוצר אינו קיים."
"Could not find a product with SKU ""%sku""","Could not find a product with SKU ""%sku"""
"The quantity of a wish list item cannot be 0","The quantity of a wish list item cannot be 0"
"The product is disabled","The product is disabled"
"Could not add the product with SKU ""%sku"" to the wishlist:: %message","Could not add the product with SKU ""%sku"" to the wishlist:: %message"
"Wrong format of the entered option data","Wrong format of the entered option data"
"Required fields are not present EnteredOption.uid, EnteredOption.value","Required fields are not present EnteredOption.uid, EnteredOption.value"
"The wishlist item with ID ""%id"" does not belong to the wishlist","The wishlist item with ID ""%id"" does not belong to the wishlist"
"Could not find a wishlist item with ID ""%id""","Could not find a wishlist item with ID ""%id"""
"We can't delete the item with ID ""%id"" from the Wish List right now.","We can't delete the item with ID ""%id"" from the Wish List right now."
"Test Phrase","בחן ביטוי"
"message","הודעה"
"Message","הודעה"
"error-message","הודעת שגיאה"
"LocalizedException","שגיאת שפה"
"Product Exception.","מוצר חורג."
"Localized Exception.","חריגת שפה."
"Are you sure you want to remove this item?","האם אתה בטוח שברצונך להסיר פריט זה?"
"Special Price","Special Price"
"Regular Price","Regular Price"
"Share Wish List","שיתוף מועדפים"
"Add All to Cart","הוסף הכל לעגלה"
"Update Wish List","עדכון Wish List"
"Move to Wishlist","העברה למועדפים"
"Add to Wish List","הוספה למועדפים"
"View Product","הצג מוצר"
"Qty","כמות"
"Add to Cart","הוסף לסל"
"Availability","זמינות"
"In stock","במלאי"
"Out of stock","אזל מהמלאי"
"Edit","ערוך"
"Remove Item","הסר פריט"
"Remove item","הסר פריט"
"Add to Compare","הוסף להשוואה"
"This Wish List has no Items","ברשימת המועדפים הזו אין פריטים"
"%1 has been added to your Wish List.","%1 נוסף למועדפים."
