"Import failed: %1","Impor gagal: %1"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"%1 does not implement %2","%1 tidak menerapkan %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","File app/etc/%1 tidak dapat dibaca. Silakan periksa apakah ada dan telah membaca izin."
"There are no sensitive configurations to fill","Tidak ada konfigurasi yang sensitif untuk diisi"
"The value can't be empty. Enter the value and try again.","The value can't be empty. Enter the value and try again."
"A configuration with this path does not exist or is not sensitive","Konfigurasi dengan jalur ini tidak ada atau tidak sensitif"
"The mode can't be switched to ""%1"".","The mode can't be switched to ""%1""."
"Wrong logger interface specified.","Antar muka logger yang salah ditentukan."
"The hash isn't saved.","The hash isn't saved."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration."
"Wrong type specified: '%1'","Jenis yang salah ditentukan: '%1'"
"Wrong queue type specified.","Jenis antrian salah ditentukan."
"Compilation from source: ","Kompilasi dari sumber: "
"Wrong deploy strategy type: %1","Jenis strategi penggelaran yang salah: %1"
"Some error","Beberapa kesalahan"
"some message","beberapa pesan"
"Exception","Exception"
