"Import failed: %1","Import selhal: %1"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"%1 does not implement %2","%1 neimplementuje %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","Nelze číst soubor app/etc/%1. Zkontrolujte, zda existuje a má oprávnění ke čtení."
"There are no sensitive configurations to fill","Neexistují žádné platné konfigurace pro vyplnění"
"The value can't be empty. Enter the value and try again.","The value can't be empty. Enter the value and try again."
"A configuration with this path does not exist or is not sensitive","Konfigurace s touto cestou neexistuje nebo není důvěryhodná"
"The mode can't be switched to ""%1"".","The mode can't be switched to ""%1""."
"Wrong logger interface specified.","Specifikováno špatné rozhraní loggeru."
"The hash isn't saved.","The hash isn't saved."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration."
"Wrong type specified: '%1'","Zadán chybný typ: '%1'"
"Wrong queue type specified.","Zadán špatný typ fronty."
"Compilation from source: ","Kompilace ze zdroje: "
"Wrong deploy strategy type: %1","Špatný typ strategie nasazení: %1"
"Some error","Nějaká chyba"
"some message","nějaká zpráva"
"Exception","Exception"
