"Import failed: %1","Απέτυχε η εισαγωγή: %1"
"Class for type ""%1"" was not declared","Class for type ""%1"" was not declared"
"%1 does not implement %2","%1 δεν εφαρμόζει %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","Δεν είναι δυνατή η ανάγνωση του αρχείου app/etc/%1. Ελέγξτε αν υπάρχει και έχει δικαιώματα ανάγνωσης."
"There are no sensitive configurations to fill","Δεν υπάρχουν ευαίσθητες ρυθμίσεις για να τις συμπληρώσετε"
"Value can't be empty","Value can't be empty"
"A configuration with this path does not exist or is not sensitive","Μια διαμόρφωση με αυτή τη διαδρομή δεν υπάρχει ή δεν είναι ευαίσθητη"
"Cannot switch into given mode ""%1""","Cannot switch into given mode ""%1"""
"Wrong logger interface specified.","Λανθασμένη διεπαφή καταγραφέα."
"Hash has not been saved.","Hash has not been saved."
"Parameter ""importer_class"" must be present.","Parameter ""importer_class"" must be present."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration."
"Wrong type specified: '%1'","Προσδιορίστηκε λάθος τύπος: '%1'"
"Wrong queue type specified.","Έχει καθοριστεί λάθος τύπος ουράς."
"Compilation from source: ","Μεταγλώττιση από την πηγή: "
"Wrong deploy strategy type: %1","Λανθασμένος τύπος στρατηγικής ανάπτυξης: %1"
"Some error","Κάποιο λάθος"
"some message","κάποιο μήνυμα"
"Exception","Exception"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","The class for ""%1"" type wasn't declared. Enter the class and try again."
"The value can't be empty. Enter the value and try again.","The value can't be empty. Enter the value and try again."
"The mode can't be switched to ""%1"".","The mode can't be switched to ""%1""."
"The hash isn't saved.","The hash isn't saved."
"The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again.","The parameter ""importer_class"" is missing. Set the ""importer_class"" and try again."
"The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration.","The configuration file has changed. Run the ""app:config:import"" or the ""setup:upgrade"" command to synchronize the configuration."
