"Import failed: %1","L'import a échoué : %1"
"Class for type ""%1"" was not declared","Classe de type ""%1"" n'a pas été déclarée"
"%1 does not implement %2","%1 n'implémente pas %2"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","Le fichier app/etc/%1 ne peut pas être lu. Merci de vérifier s'il existe et a les permissions en lecture."
"There are no sensitive configurations to fill","Il n'y a aucune configuration sensible à remplir"
"Value can't be empty","La valeur ne peut pas être vide"
"A configuration with this path does not exist or is not sensitive","Une configuration ayant ce chemin n'existe pas ou n'est pas sensible"
"Cannot switch into given mode ""%1""","Vous ne pouvez pas passé dans le mode désiré ""%1"""
"Wrong logger interface specified.","L'interface 'logger' spécifiée est incorrecte."
"Hash has not been saved.","Le hachage n'a pas été enregistré."
"Parameter ""class"" must be present.","Parameter ""class"" must be present."
"The configuration file has changed. Run app:config:import or setup:upgrade command to synchronize configuration.","Le fichier de configuration a changé. Exécuter app:config:import ou setup:upgrade pour synchroniser la configuration."
"Wrong type specified: '%1'","Mauvais type spécifié : «%1»"
"Wrong queue type specified.","Mauvais type de file d'attente spécifié."
"Compilation from source: ","Compilation à partir de la source : "
"Wrong deploy strategy type: %1","Mauvais type de stratégie de déploiement : %1"
"Some error","Une erreur"
"some message","certain message"
