"Page not found.","Nie znaleziono strony."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Dziękujemy za skontaktowanie się z nami. Odpowiemy najszybciej jak to będzie możliwe."
"An error occurred while processing your form. Please try again later.","Wystąpił błąd podczas przetwarzania formularza. Prosimy spróbować później."
"Name is missing","Brakuje nazwy"
"Comment is missing","Brakuje komentarza"
"Invalid email address","Nieprawidłowy adres e-mail"
"* Required Fields","* pola wymagane"
"Write Us","Napisz do nas"
"Jot us a note and we’ll get back to you as quickly as possible.","Zostaw nam wiadomość, a my skontaktujemy się z Tobą tak szybko jak to możliwe."
"Name","Nazwa"
"Email","E-mail"
"Phone Number","Numer telefonu"
"What’s on your mind?","Co masz na myśli?"
"Submit","Wyślij"
"Contact Form","Formularz kontaktowy"
"Phone","Telefon"
"Message","Wiadomość"
"Contacts Section","Sekcja Kontaktu"
"Contacts","Kontakty"
"Contact Us","Skontaktuj się z nami"
"Enable Contact Us","Włącz formularz kontaktowy"
"Email Options","Opcje e-mail"
"Send Emails To","Wysyłaj e-maile do"
"Email Sender","Nadawca"
"Email Template","Szablon e-mail"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Wybrany szablon e-mail oparty na temacie fallback po wybraniu opcji ""Default""."
"We can't process your request right now. Sorry, that's all we know.","Nie możemy teraz przetworzyć Twojego zgłoszenia. Przepraszamy, to wszystko, co wiemy."
"Name: %name","Nazwa: %name"
"Email: %email","E-mail: %email"
"Phone Number: %telephone","Numer telefonu: %telefon"
"Comment: %comment","Komentarz: %komentarz"
"Enter the Name and try again.","Wprowadź nazwę i spróbuj ponownie."
"Enter the comment and try again.","Wprowadź komentarz i spróbuj ponownie."
"The email address is invalid. Verify the email address and try again.","Adres e-mail jest nieprawidłowy. Zweryfikuj adres e-mail i spróbuj ponownie."
