"Page not found.","Siden blev ikke fundet."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Tak for din besked. Vi vil besvare den snarest."
"An error occurred while processing your form. Please try again later.","Der opstod en fejl da vi behandlede din formular. Prøv igen senere."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Påkrævede felter"
"Write Us","Kontakt os"
"Jot us a note and we’ll get back to you as quickly as possible.","Skriv til os og vi vil vende tilbage hurtigst muligt."
"Name","Navn"
"Email","E-mail"
"Phone Number","Telefonnummer"
"What’s on your mind?","Hvad har du på hjertet?"
"Submit","Send"
"Contact Form","Kontaktformular"
"Phone","Phone"
"Message","Message"
"Contacts Section","Kontakter sektion"
"Contacts","Kontakter"
"Contact Us","Kontakt os"
"Enable Contact Us","Aktiver kontakt os"
"Email Options","E-mail indstillinger"
"Send Emails To","Send e-mails til"
"Email Sender","E-mail afsender"
"Email Template","Email skabelon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mail skabelon valgt baseret på temaets fallback når ""Standard"" indstilling er markeret."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
