"Page not found.","Az oldal nem található."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Köszönjük, hogy kapcsolatba léptél velünk! Hamarosan válaszolni fogunk."
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Érvénytelen e-mail cím"
"* Required Fields","* kitöltése kötelező"
"Write Us","Írj nekünk"
"Jot us a note and we’ll get back to you as quickly as possible.","Leírta nekünk megjegyzését, válaszunkkal a lehető leggyorsabban felkeressük Önt."
"Name","Név"
"Email","E-mail"
"Phone Number","Telefonszám"
"What’s on your mind?","Mi jár a fejedben?"
"Submit","Beküldés"
"Contact Form","Kapcsolatfelvételi űrlap"
"Name: %name","Név: %name"
"Email: %email","E-mail: %email"
"Phone Number: %telephone","Telefonszám: %telephone"
"Comment: %comment","Hozzászólás: %comment"
"Contacts Section","Névjegyek szekció"
"Contacts","Névjegyek"
"Contact Us","Lépj velünk kapcsolatba"
"Enable Contact Us","Lépj velünk kapcsolatba engedélyezése"
"Email Options","Email beállítások"
"Send Emails To","E-mailek küldése"
"Email Sender","Email feladója"
"Email Template","Email sablon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","A kiválasztott email sablon alapján a tartalék téma amikor az ""Alapértelmezett"" opció van kiválasztva."
