"Page not found.","ページが見つかりません。"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Comment: %comment"
"An error occurred while processing your form. Please try again later.","フォームの処理中にエラーが発生しました。後で再度お試し下さい。"
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* 必須項目"
"Write Us","ご連絡ください"
"Jot us a note and we’ll get back to you as quickly as possible.","お問い合わせいただければ、可能な限り早くお返事させていただきます。"
"Name","名前"
"Email","Eメール"
"Phone Number","電話番号"
"What’s on your mind?","お困りでしょうか？"
"Submit","送信"
"Contact Form","コンタクトフォーム"
"Phone","電話"
"Message","メッセージ"
"Contacts Section","連絡先セクション"
"Contacts","連絡先"
"Contact Us","お問い合わせ"
"Enable Contact Us","お問い合わせを有効にする"
"Email Options","Emailオプション"
"Send Emails To","Emailを次のアドレスに送信"
"Email Sender","メール送信者"
"Email Template","メールテンプレート"
"Email template chosen based on theme fallback when ""Default"" option is selected."," ""デフォルト""オプションが選択された時、Eメールのテンプレートはテーマの代替を元に選ばれます。 "
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","名前を入力して再度お試し下さい。"
"Enter the comment and try again.","コメントを入力して再度お試し下さい。"
"The email address is invalid. Verify the email address and try again.","メールアドレスが無効です。メールアドレスを確認して再度お試し下さい。"
