"Page not found.","ページが見つかりません。"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Comment: %comment"
"An error occurred while processing your form. Please try again later.","フォームの処理中にエラーが発生しました。後で再度お試し下さい。"
"Name is missing","名前がありません"
"Comment is missing","コメントがありません"
"Invalid email address","不正なメールアドレス"
"* Required Fields","* 必須項目"
"Write Us","ご連絡ください"
"Jot us a note and we’ll get back to you as quickly as possible.","お問い合わせいただければ、可能な限り早くお返事させていただきます。"
"Name","名前"
"Email","Eメール"
"Phone Number","電話番号"
"What’s on your mind?","お困りでしょうか？"
"Submit","送信"
"Contact Form","コンタクトフォーム"
"Name: %name","名前: %name"
"Email: %email","Eメール: %email"
"Phone Number: %telephone","電話番号: %telephone"
"Comment: %comment","コメント: %comment"
"Contacts Section","連絡先セクション"
"Contacts","連絡先"
"Contact Us","お問い合わせ"
"Enable Contact Us","お問い合わせを有効にする"
"Email Options","Emailオプション"
"Send Emails To","Emailを次のアドレスに送信"
"Email Sender","メール送信者"
"Email Template","メールテンプレート"
"Email template chosen based on theme fallback when ""Default"" option is selected."," ""デフォルト""オプションが選択された時、Eメールのテンプレートはテーマの代替を元に選ばれます。 "
