"Page not found.","Seite nicht gefunden."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Vielen Dank, dass Sie uns mit Ihren Kommentaren und Fragen kontaktieren. Wir werden uns schnellstmöglich mit Ihnen in Verbindung setzen."
"An error occurred while processing your form. Please try again later.","Während der Verarbeitung des Formulars ist ein Fehler aufgetreten. Bitte versuchen Sie es später erneut."
"Name is missing","Name fehlt"
"Comment is missing","Kommentar fehlt"
"Invalid email address","Ungültige E-Mail-Adresse"
"* Required Fields","* Pflichtfelder"
"Write Us","Schreiben Sie uns"
"Jot us a note and we’ll get back to you as quickly as possible.","Hinterlassen Sie uns eine Nachricht, und wir melden uns baldmöglichst bei Ihnen."
"Name","Name"
"Email","E-Mail"
"Phone Number","Telefonnummer"
"What’s on your mind?","Was ist Ihre Meinung?"
"Submit","Absenden"
"Contact Form","Kontaktformular"
"Name: %name","Name: %name"
"Email: %email","E-Mail: %email"
"Phone Number: %telephone","Telefonnummer: %telephone"
"Comment: %comment","Kommentar: %comment"
"Contacts Section","Abschnitt ""Kontakt"""
"Contacts","Kontakte"
"Contact Us","Kontaktieren Sie uns"
"Enable Contact Us","""Kontaktieren Sie uns"" aktivieren"
"Email Options","E-Mail-Optionen"
"Send Emails To","E-Mail senden an"
"Email Sender","E-Mail-Absender"
"Email Template","E-Mail-Vorlage"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Ausgewählte E-Mail-Vorlage basiert auf dem Fallback-Thema, wenn die Option ""Standard"" gewählt ist."
