"Page not found.","صفحه یافت نشد."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","بابت تماس با ما با نظرات و سوالات شما متشکریم. ما خیلی زود به شما پاسخ خواهیم داد."
"An error occurred while processing your form. Please try again later.","در هنگام پردازش فرم شما خطایی رخ داد. لطفا بعدا دوباره امتحان کنید."
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
"* Required Fields","* زمينه هاي مورد نياز"
"Write Us","برای ما بنویسید"
"Jot us a note and we’ll get back to you as quickly as possible.","برای ما بنویسید و ما در اسرع وقت به شما پاسخ خواهیم داد."
"Name","نام"
"Email","ايميل"
"Phone Number","شماره تلفن"
"What’s on your mind?","چه در ذهن دارید؟"
"Submit","ارسال"
"Contact Form","فرم تماس"
"Phone","Phone"
"Message","Message"
"Contacts Section","بخش تماس‌ ها"
"Contacts","مخاطبین"
"Contact Us","تماس با ما"
"Enable Contact Us","فعالسازی تماس با ما"
"Email Options","گزینه‌ های ایمیل"
"Send Emails To","ارسال ایمیل‌ ها به"
"Email Sender","فرستنده‌ی ایمیل"
"Email Template","قالب ایمیل"
"Email template chosen based on theme fallback when ""Default"" option is selected.","قالب ایمیل انتخاب شده بر اساس پشت زمینه تم هنگامی که گزینه "" پیش فرض"" انتخاب شده است."
