"Page not found.","Página não encontrada."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Obrigado por nos contactar com os seus comentários e perguntas. Iremos responder-lhe muito em breve."
"An error occurred while processing your form. Please try again later.","Ocorreu um erro ao processar o seu formulário. Por favor, tente novamente mais tarde."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* Campos Obrigatórios"
"Write Us","Escreva-nos"
"Jot us a note and we’ll get back to you as quickly as possible.","Escreva-nos um comentário e responderemos o assim que possível."
"Name","Nome"
"Email","Correio electrónico"
"Phone Number","Número de Telefone"
"What’s on your mind?","Em que está a pensar?"
"Submit","Submeter"
"Contact Form","Formulário de Contacto"
"Phone","Phone"
"Message","Message"
"Contacts Section","Secção de Contactos"
"Contacts","Contactos"
"Contact Us","Contacte-nos"
"Enable Contact Us","Ativar a opção Contacte-nos"
"Email Options","Opções de E-mail"
"Send Emails To","Enviar E-mails Para"
"Email Sender","Remetente de E-mail"
"Email Template","Template de Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","O template de email é escolhido com base no tema de recurso quando a opção ""Default"" está selecionada."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
