"Page not found.","Puslapis nerastas."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Dėkojame už užklausą. Mes jums atsakyme kaip galima greičiau."
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later."
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
"* Required Fields","* Privalomi laukai"
"Write Us","Parašykite mums"
"Jot us a note and we’ll get back to you as quickly as possible.","Parašykite mums! Atsakysime jums iškart, kai tik galėsime."
"Name","Vardas"
"Email","El. paštas"
"Phone Number","Telefono numeris"
"What’s on your mind?","Jūsų klausimas"
"Submit","Siųsti"
"Contact Form","Kontaktų Forma"
"Phone","Phone"
"Message","Message"
"Contacts Section","Contacts Section"
"Contacts","Kontaktai"
"Contact Us","Kontaktai"
"Enable Contact Us","Enable Contact Us"
"Email Options","El. pašto parinktys"
"Send Emails To","Send Emails To"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
