"Page not found.","找不到网页。"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","发送邮件至"
"An error occurred while processing your form. Please try again later.","发生错误，请稍后尝试."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","*必要字段"
"Write Us","给我们写信"
"Jot us a note and we’ll get back to you as quickly as possible.","我们会及时与您取得联系"
"Name","名字"
"Email","邮箱"
"Phone Number","电话号码"
"What’s on your mind?","您的留言"
"Submit","提交"
"Contact Form","邮件表单"
"Phone","Phone"
"Message","Message"
"Contacts Section","联系人部分"
"Contacts","联系人"
"Contact Us","联系我们"
"Enable Contact Us","启用与我们取得联系"
"Email Options","电子邮件选项"
"Send Emails To","发送电子邮件到"
"Email Sender","电子邮件发件人"
"Email Template","邮件模板"
"Email template chosen based on theme fallback when ""Default"" option is selected.","电子邮件模板选择基于主题的回退时，选择“默认”选项。"
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
