"Page not found.","Lapa nav atrasta."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Paldies ka sazinājāties ar mums. Mēs atbildēsim Jums visdrīzākajā laikā."
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later."
"Name is missing","Name is missing"
"Comment is missing","Comment is missing"
"Invalid email address","Invalid email address"
"* Required Fields","* obligātie lauki"
"Write Us","Rakstiet mums"
"Jot us a note and we’ll get back to you as quickly as possible.","Nosūtiet mums ziņu un mēs Jums atbildēsim visātrāk iespējamajā laikā."
"Name","Vārds"
"Email","E-pasts"
"Phone Number","Tālruņa numurs"
"What’s on your mind?","Ko vēlaties teikt?"
"Submit","Iesniegt"
"Contact Form","Contact Form"
"Phone","Phone"
"Message","Message"
"Contacts Section","Contacts Section"
"Contacts","Kontakti"
"Contact Us","Kontakti"
"Enable Contact Us","Ieslēgt Sazināties ar mums"
"Email Options","E-pasta opcijas"
"Send Emails To","Sūtīt e-pastus"
"Email Sender","E-pasta sūtītājs"
"Email Template","E-pasta šablons"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-pasta šablons izvēlēts balstoties uz iepriekšējās tēmas, ja ir izvēlēta ""noklusētā"" opcija."
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Comment: %comment","Comment: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
