"Page not found.","העמוד לא נמצא."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","תודה על פנייתך עם ההערות והשאלות שלך. נגיב לך על פנייתך בזמן הקרוב."
"An error occurred while processing your form. Please try again later.","An error occurred while processing your form. Please try again later."
"Name is missing","השם חסר"
"Comment is missing","תגובה חסר"
"Invalid email address","כתובת דואל לא חוקית"
"* Required Fields","* שדות חובה"
"Write Us","כתבו לנו"
"Jot us a note and we’ll get back to you as quickly as possible.","שלחו לנו הודעה באמצעות טופס זה ואנו נחזור אליכם בהקדם האפשרי."
"Name","שם"
"Email","דואר אלקטרוני"
"Phone Number","מספר טלפון"
"What’s on your mind?","תוכן הפנייה:"
"Submit","שליחה"
"Contact Form","טופס יצירת קשר"
"Phone","טלפון"
"Message","הודעה"
"Contacts Section","אזור אנשי קשר"
"Contacts","אנשי קשר"
"Contact Us","צור קשר"
"Enable Contact Us","אפשר יצירת קשר"
"Email Options","אפשרויות דואר אלקטרוני"
"Send Emails To","שלח מייל אל"
"Email Sender","שולח דוא""ל"
"Email Template","תבנית דואר אלקטרוני"
"Email template chosen based on theme fallback when ""Default"" option is selected.","תבנית המייל הנבחר בהתבסס על ירושת התבנית כשבוחרים באפשרות ""ברירת מחדל""."
"We can't process your request right now. Sorry, that's all we know.","איננו יכולים לעבד את הבקשה שלך עכשיו. מצטערים, זה כל מה שידוע לנו."
"Name: %name","שם: %name"
"Email: %email","דואר אלקטרוני: %email"
"Phone Number: %telephone","מספר טלפון: %telephone"
"Comment: %comment","הערה: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
