"Page not found.","Halaman tidak ditemukan."
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Terima kasih telah menghubungi kami dengan komentar dan pertanyaan Anda. Kami akan segera menanggapimu."
"An error occurred while processing your form. Please try again later.","Terjadi kesalahan saat memproses formulir Anda. Silakan coba lagi nanti."
"Name is missing","Nama hilang"
"Comment is missing","Komen hilang"
"Invalid email address","Alamat email tidak valid"
"* Required Fields","* Bidang yang harus diisi"
"Write Us","Tulis Kami"
"Jot us a note and we’ll get back to you as quickly as possible.","Jot kami catatan dan kami akan kembali kepada Anda secepat mungkin."
"Name","Nama"
"Email","E-mail"
"Phone Number","Nomor telepon"
"What’s on your mind?","Apa yang kamu maksud?"
"Submit","Menyerahkan"
"Contact Form","Formulir Kontak"
"Phone","Telepon"
"Message","Pesan"
"Contacts Section","Bagian Kontak"
"Contacts","Kontak"
"Contact Us","Hubungi Kami"
"Enable Contact Us","Aktifkan Hubungi Kami"
"Email Options","Pilihan Email"
"Send Emails To","Kirim Email Untuk"
"Email Sender","Pengirim email"
"Email Template","Template Email"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template email dipilih berdasarkan fallback tema saat opsi ""Default"" dipilih."
"We can't process your request right now. Sorry, that's all we know.","Kami tidak dapat memproses permintaan Anda sekarang juga. Maaf, hanya itu yang kita tahu."
"Name: %name","Nama: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Nomor Telepon: %telephone"
"Comment: %comment","Komentar: %comment"
"Enter the Name and try again.","Enter the Name and try again."
"Enter the comment and try again.","Enter the comment and try again."
"The email address is invalid. Verify the email address and try again.","The email address is invalid. Verify the email address and try again."
