"Back","Terug"
"Done","Gereed"
"Retry","Opnieuw proberen"
"'Action Details - #' .","'Actie Details - #'."
"%1 item(s) have been scheduled for update.""","%1 object(en) zijn gepland voor update."""
"Bulk Actions Log","Bulk acties Log"
"%1 item(s) are currently being updated.","%1 item(s) worden momenteel bijgewerkt."
"Task ""%1"": ","Taak ""%1"": "
"%1 item(s) have been scheduled for update.","%1 object(en) zijn gepland voor update."
"%1 item(s) have been successfully updated.","%1 object(en) zijn succesvol bijgewerkt."
"%1 item(s) failed to update","%1 object(en) niet gelukt om te updaten"
"Details","Gegevens"
"View Details","Bekijk details"
"Dismiss","Afwijzen"
"Pending, in queue...","In behandeling, in wachtrij..."
"%1 items selected for mass update","%1 items geselecteerd voor mass update"
", %1 successfully updated",", %1 bijgewerkt"
", %1 failed to update",", %1 bijwerken mislukt"
"Something went wrong.","Er is iets fout gegaan."
"Action Log","Actie logboek"
"Bulk Actions","Bulkacties"
"Days Saved in Log","Dagen opgeslagen in logboek"
"Description of Operation","Beschrijving van werking"
"Summary","Samenvatting"
"Start Time","Begin Tijd"
"Items to Retry","Items om opnieuw te proberen"
"To retry, select the items and click “Retry”.","Om de items nogmaals proberen te verwerken. Selecteer de items en klik op ""Opnieuw proberen""."
"Items That Can’t Be Updated.","Producten die niet kunnen worden bijgewerkt."
"ID","ID"
"Status","status"
"Meta Information","Meta informatie"
"Error","Foutmelding"
"Dismiss All Completed Tasks","Alle voltooide taken verwijderen"
"Action Details - #","Actie Details - #"
"Number of Records Affected","Aantal rijen aangedaan"
