"Back","Voltar"
"Done","Concluído"
"Retry","Tentar Novamente"
"'Action Details - #' .","'Detalhes da Ação - #'."
"%1 item(s) have been scheduled for update.""","%1 item(ns)  foram agendados para atualização."
"Bulk Actions Log","Log de ações em massa"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Tópico %1"
"Something went wrong while processing the request.","Problema ao processar a requisição/pedido."
"Error processing %key element of input data","Erro ao processar o elemento %key dos dados de entrada"
"Sorry, something went wrong during product prices update. Please see log for details.","Desculpa, algo deu errado durante a atualização de preços do produto. Por favor, veja o log para obter detalhes."
"%1 item(s) are currently being updated.","%1 Item (ns) estão sendo atualizados."
"Task ""%1"": ","Tarefa ""%1"": "
"%1 item(s) have been scheduled for update.","O(s) item(ns) %1 foram agendadas para atualização."
"%1 item(s) have been successfully updated.","%1 Item (ns) foram atualizados com êxito."
"%1 item(s) failed to update","%1 Item(ns) falharão ao atualizar"
"Details","Detalhes"
"View Details","Ver Detalhes"
"Dismiss","Ignorar"
"Pending, in queue...","Pendente, em fila..."
"%1 items selected for mass update","%1 itens selecionados para atualização em massa"
", %1 successfully updated",", %1 atualizado com sucesso"
", %1 failed to update",", %1 falha ao atualizar"
"Something went wrong.","Algo deu errado."
"Action Log","Log de Ações"
"Report","Relatório"
"Bulk Actions","Ações em massa"
"Action Logs","Logs de Ações"
"Days Saved in Log","Dias salvos em Log"
"Description of Operation","Descrição da operação"
"Summary","Resumo"
"Start Time","Hora de Início"
"Items to Retry","Itens de repetição"
"To retry, select the items and click “Retry”.","Para repetir, selecione os itens e clique em ""Repetir""."
"Items That Can’t Be Updated.","Itens que não podem ser atualizados."
"ID","ID"
"Status","Situação"
"Meta Information","Meta-informação"
"Error","Erro"
"Dismiss All Completed Tasks","Ignorar todas as tarefas completas"
"Action Details - #","Detalhes de ação - #"
"Number of Records Affected","Número de registros afetados"
