"Back","Indietro"
"Done","Fine"
"Retry","Riprova"
"'Action Details - #' .","'Dettagli dell'azione - #'."
"%1 item(s) have been scheduled for update.""","%1 elementi sono stati aggiunti per l'aggiornamento."""
"Bulk Actions Log","Log azioni di massa"
"Bulk uuid %bulkUuid not exist","Il bulk uuid %bulkUuid non esiste"
"Topic %1","Argomento %1"
"Something went wrong while processing the request.","Qualcosa è andato storto durante l'elaborazione della richiesta."
"Error processing %key element of input data","Errore durante l'elaborazione dell'elemento %key dei dati di input"
"Sorry, something went wrong during product prices update. Please see log for details.","Siamo spiacenti, qualcosa è andato storto durante l'aggiornamento dei prezzi del prodotto. Consultare il log per maggiori dettagli."
"%1 item(s) are currently being updated.","%1 elementi sono attualmente in fase di aggiornamento."
"Task ""%1"": ","Attività ""%1"": "
"%1 item(s) have been scheduled for update.","%1 elementi sono stati aggiunti per l'aggiornamento."
"%1 item(s) have been successfully updated.","%1 elementi sono stati aggiornati con successo."
"%1 item(s) failed to update","Impossibile aggiornare gli elementi di %1"
"Details","Dettagli"
"View Details","Visualizza dettagli"
"Dismiss","Chiudi"
"Pending, in queue...","In attesa, in coda..."
"%1 items selected for mass update","%1 elementi selezionati per l'aggiornamento di massa"
", %1 successfully updated",", aggiornato correttamente %1"
", %1 failed to update",", impossibile aggiornare %1"
"Something went wrong.","Qualcosa è andato storto."
"Action Log","Log delle Azioni"
"Report","Rapporto"
"Bulk Actions","Azioni di massa"
"Action Logs","Log delle Azioni"
"Days Saved in Log","Giorni salvati nel registro"
"Description of Operation","Descrizione dell'operazione"
"Summary","Riepilogo"
"Start Time","Ora di inizio"
"Items to Retry","Elementi da riprovare"
"To retry, select the items and click “Retry”.","Per riprovare, seleziona gli elementi e clicca su ""Riprova""."
"Items That Can’t Be Updated.","Elementi che non possono essere aggiornati."
"ID","ID"
"Status","Stato"
"Meta Information","Meta informazioni"
"Error","Errore"
"Dismiss All Completed Tasks","Chiudere tutte le attività completate"
"Action Details - #","Dettagli dell'azione - #"
"Number of Records Affected","Numero di record influenzati"
