"Back","ಹಿಂದೆ"
"Done","ಮುಗಿದಿದೆ"
"Retry","ಮರುಪ್ರಯತ್ನಿಸಿ"
"'Action Details - #' .","'ಕ್ರಿಯಗಳ ವಿವರ - #' ."
"%1 item(s) have been scheduled for update.""","%1 item(s) have been scheduled for update."""
"Bulk Actions Log","ಸಾಮೂಹಿಕ ಕ್ರಿಯೆಗಳ ಲಾಗ್"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","ವಿಷಯ %1"
"Something went wrong while processing the request.","ಈ ವಿನಂತಿಯನ್ನು ಸಂಸ್ಕರಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","ಕ್ಷಮಿಸಿ, ಉತ್ಪನ್ನದ ಬೆಲೆಗಳನ್ನು ಪರಿಷ್ಕರಿಸುವಲ್ಲಿ ಯಾವುದೋ ತೊಂದರೆಯುಂಟಾಗಿದೆ, ದಯವಿಟ್ಟು ವಿವರಗಳಿಗಾಗಿ ಲಾಗ್ ಅನ್ನು ವೀಕ್ಷಿಸಿ."
"%1 item(s) are currently being updated.","%1 item(s) are currently being updated."
"Task ""%1"": ","ಕೆಲಸ ""%1"": "
"%1 item(s) have been scheduled for update.","%1 item(s) have been scheduled for update."
"%1 item(s) have been successfully updated.","%1 item(s) have been successfully updated."
"%1 item(s) failed to update","%1 item(s) failed to update"
"Details","ವಿವರಗಳು"
"View Details","ವಿವರಗಳನ್ನು ವೀಕ್ಷಿಸಿ"
"Dismiss","ವಜಾಗೊಳಿಸಿ"
"Pending, in queue...","Pending, in queue..."
"%1 items selected for mass update","%1 items selected for mass update"
", %1 successfully updated",", %1 successfully updated"
", %1 failed to update",", %1 failed to update"
"System Messages","System Messages"
"Something went wrong.","ಯಾವುದೋ ತಪ್ಪು ಸಂಭವಿಸಿದೆ."
"Action Log","Action Log"
"Report","ವರದಿ"
"Bulk Actions","ಸಾಮೂಹಿಕ ಕ್ರಿಯೆಗಳು"
"Action Logs","Action Logs"
"Days Saved in Log","Days Saved in Log"
"Description of Operation","ಕಾರ್ಯಾಚರಣೆಯ ವಿವರಣೆ"
"Summary","ಸಾರಾಂಶ"
"Start Time","ಪ್ರಾರಂಭದ ಸಮಯ"
"Items to Retry","Items to Retry"
"To retry, select the items and click “Retry”.","To retry, select the items and click “Retry”."
"Items That Can’t Be Updated.","Items That Can’t Be Updated."
"ID","ID"
"Status","ಸ್ಥಿತಿ"
"Action","ಕ್ರಿಯೆ"
"Meta Information","ಮೆಟಾ ಮಾಹಿತಿ"
"Error","ದೋಷ"
"Dismiss All Completed Tasks","ಪೂರ್ಣಗೊಂಡ ಎಲ್ಲಾ ಕೆಲಸಗಳನ್ನು ವಜಾಗೊಳಿಸಿ"
"Action Details - #","ಕ್ರಿಯಗಳ ವಿವರ - #"
"Number of Records Affected","Number of Records Affected"
