"Back","Назад"
"Done","Выполнено"
"Retry","Повторить"
"'Action Details - #' .","«Подробности действия - #»."
"%1 item(s) have been scheduled for update.""","Количество элементов запланированных для обновления: %1."""
"Bulk Actions Log","Журнал Массовых Операций"
"%1 item(s) are currently being updated.","%1 элемент(ов) в настоящее время обновляется."
"Task ""%1"": ","Задача «%1»: "
"%1 item(s) have been scheduled for update.","%1 элемент(ов) было запланировано обновление."
"%1 item(s) have been successfully updated.","%1 элемент(ов) был успешно обновлен."
"%1 item(s) failed to update","%1 элемент(ов) не удалось обновить"
"Details","Подробнее"
"View Details","Смотреть подробности"
"Dismiss","Отменить"
"Pending, in queue...","В ожидании, на хвосте..."
"%1 items selected for mass update","%1 элементов, выбранных для массового обновления"
", %1 successfully updated",", %1 успешно обновлено"
", %1 failed to update",", %1 не успешно обновлено"
"Something went wrong.","Что-то пошло не так."
"Action Log","Журнал Транзакций"
"Bulk Actions","Массовые Операции"
"Days Saved in Log","Дни, сохранённые в журнале"
"Description of Operation","Описание операции"
"Summary","Резюме"
"Start Time","Время начала"
"Items to Retry","Элементы для повтора"
"To retry, select the items and click “Retry”.","Чтобы повторить, выберите элементы и нажмите кнопку «Повторить»."
"Items That Can’t Be Updated.","Элементы, которые не могут быть обновлены."
"ID","Идентификатор"
"Status","Статус"
"Meta Information","Дополнительная информация"
"Error","Ошибка"
"Dismiss All Completed Tasks","Скрыть все завершенные задачи"
"Action Details - #","Детали действия - #"
"Number of Records Affected","Количество зарегистрированных записей"
