"Back","رجوع"
"Done","انتهى"
"Retry","إعادة المحاولة"
"'Action Details - #' .","'تفاصيل العملية - #' ."
"%1 item(s) have been scheduled for update.""","%1 صنف (أصناف) على جدول التحديث."""
"Bulk Actions Log","سجل الإجراءات"
"Bulk uuid %bulkUuid not exist","Bulk uuid %bulkUuid not exist"
"Topic %1","Topic %1"
"Something went wrong while processing the request.","حدث خطأ أثناء معالجة الطلب."
"Error processing %key element of input data","Error processing %key element of input data"
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"%1 item(s) are currently being updated.","يجري حاليا تحديث %1 صنف (أصناف)."
"Task ""%1"": ","المهمة ""%1"": "
"%1 item(s) have been scheduled for update.","%1 صنف (أصناف) على جدول التحديث."
"%1 item(s) have been successfully updated.","%1 تم تحديث صنف (أصناف)."
"%1 item(s) failed to update","فشل تحديث %1 صنف (أصناف)"
"Details","التفاصيل"
"View Details","عرض التفاصيل"
"Dismiss","استبعاد"
"Pending, in queue...","معلقة، في انتظار..."
"%1 items selected for mass update","%1 أصناف محددة لتحديث شامل"
", %1 successfully updated","تم تحديث %1 بنجاح"
", %1 failed to update","لم يتم تحديث %1"
"Something went wrong.","حدث خطأ ما."
"Action Log","سجل الإجراءات"
"Report","تقرير"
"Bulk Actions","مجموعة إجراءات"
"Action Logs","Action Logs"
"Days Saved in Log","أيام محفوظة في سجل"
"Description of Operation","وصف العملية"
"Summary","خلاصة"
"Start Time","زمن البداية"
"Items to Retry","أصناف لإعادة المحاولة"
"To retry, select the items and click “Retry”.","لإعادة المحاولة، قم بتحديد الأصناف والنقر فوق ""إعادة المحاولة""."
"Items That Can’t Be Updated.","الأصناف التي لا يمكن تحديثها."
"ID","التعريف"
"Status","الحاله"
"Meta Information","المعلومات الوصفية"
"Error","خطأ"
"Dismiss All Completed Tasks","إستبعاد جميع المهام المكتملة"
"Action Details - #","تفاصيل العملية - #"
"Number of Records Affected","عدد السجلات التي تأثرت"
