"The search failed because of a search engine misconfiguration.","The search failed because of a search engine misconfiguration."
"There is no such data mapper ""%1"" for interface %2","Няма data mapper ""%1"" за интерфейса %2"
"Data mapper ""%1"" must implement interface %2","Data mapper ""%1"" трябва да има реализиран интерфейс %2"
"Could not ping search engine: %1","Не може да пингне търсачката: %1"
"Value for the field ""%1"" was not saved because of the incorrect format.","Value for the field ""%1"" was not saved because of the incorrect format."
"Created indexer handler must be instance of %1.","Created indexer handler must be instance of %1."
"Elasticsearch Server Hostname","Elasticsearch сървър хост"
"Elasticsearch Server Port","Elasticsearch порт на сървъра"
"Elasticsearch Index Prefix","Elasticsearch индекс префикс"
"Enable Elasticsearch HTTP Auth","Разреши Elasticsearch за HTTP удостоверяване"
"Elasticsearch HTTP Username","Elasticsearch HTTP потребителско име"
"Elasticsearch HTTP Password","Elasticsearch HTTP парола"
"Elasticsearch Server Timeout","Elasticsearch сървър изчакване"
"Test Connection","Тест връзка"
"Minimum Terms to Match","Minimum Terms to Match"
