"Shopping Cart","Alışveriş Sepeti"
"Invalid method: %1","Geçersiz yöntem: %1"
"City","Şehir"
"Country","Ülke"
"State/Province","Eyalet/Şehir"
"Zip/Postal Code","Zip/Posta Kodu"
"My Cart (1 item)","Sepetim (1 ürün)"
"My Cart (%1 items)","Sepetim (%1 ürün)"
"My Cart","Sepetim"
"For delivery questions.","Teslimat ile ilgili sorularınız için."
"Customer is already registered","Kayıtlı Müşteri"
"Your session has expired","Oturumunuzun süresi doldu"
"A letter with further instructions will be sent to your email.","Daha ayrıntılı talimatlar e-posta ile gönderilecektir."
"You added %1 to your shopping cart.","%1 alışveriş sepetinize eklendi."
"We can't add this item to your shopping cart right now.","Şu anda alışveriş sepetinize bu öğe ekleyemezsiniz."
"Out of stock","Stok mevcut değil"
"We can't find the quote item.","Öğe bulunamıyor."
"We cannot configure the product.","Ürün yapılandırılamıyor."
"You used coupon code ""%1"".","Kupon kodu ""%1"" kullanılır."
"The coupon code ""%1"" is not valid.","Kupon kodu ""%1"" geçerli değil."
"You canceled the coupon code.","Kupon kodunu iptal ettiniz."
"We cannot apply the coupon code.","Kupon kodu uygulanamıyor."
"We can't remove the item.","Öğe kaldırılamıyor."
"%1 was updated in your shopping cart.","%1 alışveriş sepeti güncellendi."
"We can't update the item right now.","Öğe şu anda güncellenemiyor."
"We can't update the shopping cart.","Alışveriş sepeti güncellenemiyor."
"One-page checkout is turned off.","Tek sayfalık bir ödeme kapalı."
"Guest checkout is disabled.","Misafir hesabı ile ödeme devredışı."
"Checkout","Alışveriş"
"Page not found.","Sayfa bulunamadı."
"Please agree to all the terms and conditions before placing the order.","Siparişi tamamlamak için Satış Şartları ve Koşullarını kabul etmeniz gerekmektedir."
"Something went wrong while processing your order. Please try again later.","Siparişiniz işleme sırasında bir şeyler ters gitti. Lütfen daha sonra yeniden deneyin."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 \Magento\Checkout\CustomerData\ItemInterface genişletilemiyor"
"Payment Method","Tahsilat Yöntemi"
"Payment Page","Ödeme sayfası"
"We can't find the product.","Ürün bulunamıyor."
"We found an invalid request for adding product to quote.","Ürüne teklif eklemek için geçersiz bir istek bulduk."
"The product does not exist.","Ürüne kaydına ulaşılamıyor."
"We don't have some of the products you want.","İstediğiniz ürünlerden bazıları yok."
"We don't have as many of some products as you want.","İstediğiniz kadar birçok bazı ürünler yok."
"Quantity was recalculated from %1 to %2","Miktar%1'den%2'ye yeniden hesaplandı"
"We adjusted product quantities to fit the required increments.","Ürün miktarları gerekli artışlarla sığacak şekilde ayarlanır."
"This quote item does not exist.","Böyle bir ürün yok."
"Display number of items in cart","Sepetteki ürün sayısını göster"
"Display item quantities","Ürün miktarlarını göster"
