"Shopping Cart","Количка"
"City","Град"
"Country","Държава"
"State/Province","Област / Провинция"
"Zip/Postal Code","Пощенски код"
"My Cart (1 item)","Моята количка (1 артикул)"
"My Cart (%1 items)","Моята количка (%1 артикули)"
"My Cart","Моята количка"
"%1: Line %2","%1: Line %2"
"For delivery questions.","Въпроси за доставка."
"Customer is already registered","Потребителят вече е регистриран"
"Your session has expired","Сесията ви изтече"
"A letter with further instructions will be sent to your email.","Допълнителни инструкции ще бъдат изпратени на посоченият имейл"
"You added %1 to your shopping cart.","Добавихте %1 към вашата количка."
"We can't add this item to your shopping cart right now.","Не може да добавите този елемент към вашата пазарска количка точно сега."
"Out of stock","Изчерпано количество"
"Please select at least one product to add to cart","Please select at least one product to add to cart"
"The quote item isn't found. Verify the item and try again.","The quote item isn't found. Verify the item and try again."
"We cannot configure the product.","Не можем да конфигурираме продукта"
"You used coupon code ""%1"".","Използватех код от купон ""%1""."
"The coupon code ""%1"" is not valid.","Този код ""%1"" не е валиден."
"You canceled the coupon code.","Анулирахме кода от купона."
"We cannot apply the coupon code.","Не можем да приложим този код."
"We can't remove the item.","Не може да премахнете елемента."
"%1 was updated in your shopping cart.","%1 беше актуализиран във вашата количка."
"We can't update the item right now.","Не може да актуализира елемента точно сега."
"Page Not Found","Page Not Found"
"Something went wrong while saving the page. Please refresh the page and try again.","Нещо се обърка при запис на страницата. Моля обновете страницата и опитайте отново."
"We can't update the shopping cart.","Не може да актуализирате вашата кошница."
"One-page checkout is turned off.","Бързият Чек-аут е изключен."
"Guest checkout is disabled.","Поръчката като гост е забранена."
"Checkout","Поръчай"
"Page not found.","Страницата не е намерена."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
"Something went wrong while processing your order. Please try again later.","Нещо се обърка докато подавахте поръчката си. Моля опитайте по-късно."
"An unspecified error occurred. Please contact us for assistance.","An unspecified error occurred. Please contact us for assistance."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 не се разпростира \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Метод на плащане"
"Payment Page","Плащане страница"
"Could not store billing/shipping information at the moment but you can proceed with the checkout","Could not store billing/shipping information at the moment but you can proceed with the checkout"
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"Please provide CAPTCHA code and try again","Please provide CAPTCHA code and try again"
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
"We found an invalid request for adding product to quote.","Намерихме Невалидно искане за добавяне на продукт към оферта."
"The product does not exist.","Този продукт не съществува."
"We don't have some of the products you want.","Нямаме някои от продуктите, които желаете."
"We don't have as many of some products as you want.","Нямаме достатъчна наличност от някои от продуктите, които искате."
"Quantity was recalculated from %1 to %2","Количеството беше прекалкулирано от %1 до %2"
"We adjusted product quantities to fit the required increments.","Регулирахме продуктовите количества за да отговарят на изисканите увеличения."
"This quote item does not exist.","Тази продуктова квота не съществува."
"Display number of items in cart","Покажи броя артикули в количката."
"Display item quantities","Покажи наличности по артикул"
"An error occurred on the server. Please try to place the order again.","Възникна грешка в сървъра. Моля опитайте се да поставите поръчката отново."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The shipping information was unable to be saved. Error: ""%message""","The shipping information was unable to be saved. Error: ""%message"""
"The shipping information was unable to be saved. Verify the input data and try again.","The shipping information was unable to be saved. Verify the input data and try again."
"Carrier with such method not found: %1, %2","Не е намерен носител с такъв метод: %1, %2"
"The shipping method is missing. Select the shipping method and try again.","Не е посочен начин на доставка. Посочете и опитайте отново."
"The shipping address is missing. Set the address and try again.","The shipping address is missing. Set the address and try again."
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","The shipping method can't be set for an empty cart. Add an item to cart and try again."
" item"," артикул"
" items"," артикули"
"Totals calculation is not applicable to empty cart","Калкулация на общата стойност не е приложима за празна количка."
"Invalid data","Невалидни данни"
"The customer address is not valid.","Адреса на клиента не е валиден."
"Invalid shipping method","Невалиден метод за доставка"
"There are more than one shipping addresses.","Има повече от един адреса за доставка."
"Sorry, guest checkout is not available.","Съжаляваме, поръчката като гост не е възможна."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Трябва да потвърдите вашия профил. Моля проверете имейла си за линк за потвърждение или <a href=""%1"">кликнете тук</a> за да получите нов линк."
"Load customer quote error","Грешка при зареждане на потребителска квота"
"Invalid method: %1","Невалиден метод: %1"
"Error!","Грешка!"
"Error","Error"
"DB exception","Изключение в DB"
"Message","Съобщение"
"Print receipt","Отпечатване на разписка"
"Apply Discount Code","Приложи код за отстъпка"
"Enter discount code","Въведи код за отстъпка"
"Apply Discount","Приложи отстъпка"
"Cancel Coupon","Откажи купона"
"Shopping Cart Items","Продукти в количката"
"Item","Артикул"
"Price","Цена"
"Qty","Кол-во"
"Subtotal","Сума"
"Continue Shopping","Продължи с пазаруването"
"Clear Shopping Cart","Изчисти количката"
"Update Shopping Cart","Актуализирай количката"
"Update Cart","Актуализирай количката"
"See price before order confirmation.","Вижте цената преди потвърждение на поръчката."
"What's this?","Какво е това?"
