"Shopping Cart","Cesta"
"Invalid method: %1","Método inválido: %1"
"City","Ciudad"
"Country","País"
"State/Province","Estado/provincia"
"Zip/Postal Code","Código Postal"
"My Cart (1 item)","Mi carrito (1 producto)"
"My Cart (%1 items)","Mi carrito (%1 artículos)"
"My Cart","Mi cesta"
"For delivery questions.","Para preguntas de entrega."
"Customer is already registered","Cliente ya está registrado"
"Your session has expired","Tu sesión ha caducado"
"A letter with further instructions will be sent to your email.","Se enviara un correo con mas instrucciones a su cuenta de correo."
"You added %1 to your shopping cart.","Añadiste %1 a tu cesta."
"We can't add this item to your shopping cart right now.","No podemos añadir este artículo a tu carrito de compras ahora mismo."
"Out of stock","No está disponible"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","No se puede configurar el artículo."
"You used coupon code ""%1"".","Se utiliza el código de cupón ""%1""."
"The coupon code ""%1"" is not valid.","El cupón ""%1"" no es válido."
"You canceled the coupon code.","Usted canceló el código del cupón."
"We cannot apply the coupon code.","No se puede aplicar el código de cupón."
"We can't remove the item.","No se puede quitar el producto."
"%1 was updated in your shopping cart.","%1 fueron actualizados en su carrito de la compra."
"We can't update the item right now.","No se puede actualizar el artículo ahora mismo."
"We can't update the shopping cart.","No podemos actualizar el carrito."
"One-page checkout is turned off.","Pago en una página está desactivado."
"Guest checkout is disabled.","Pago de invitado está deshabilitado."
"Checkout","Realizar pedido"
"Page not found.","Página no encontrada."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Algo salió mal durante el procesamiento de su pedido. Por favor, inténtalo más tarde."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 no extiende \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Método de pago"
"Payment Page","Página de pago"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","Encontramos una solicitud no válida para agregar un producto a la cotización."
"The product does not exist.","El producto no existe."
"We don't have some of the products you want.","No tenemos algunos de los productos que desea."
"We don't have as many of some products as you want.","No tenemos la cantidad de algunos productos que desea."
"Quantity was recalculated from %1 to %2","Cantidad se recalculó de %1 a %2"
"We adjusted product quantities to fit the required increments.","Ajustamos las cantidades de producto para adaptarse a los incrementos necesarios."
"This quote item does not exist.","Este elemento cotizado no existe."
"Display number of items in cart","Mostrar el número de artículos en el carrito"
"Display item quantities","Mostrar las cantidades de artículo"
"An error occurred on the server. Please try to place the order again.","Se ha producido un error en el servidor. Intente realizar el pedido de nuevo."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Portador con tal método no encontrado: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," artículo"
" items"," artículos"
"Totals calculation is not applicable to empty cart","Cálculo total no es aplicable a un carrito vacío"
"Invalid data","Fecha inválida"
"The customer address is not valid.","La dirección del cliente no es válida."
"Invalid shipping method","Método de envío no válido"
"There are more than one shipping addresses.","Hay más de una dirección de envío."
"Sorry, guest checkout is not available.","Lo sentimos, la compra por invitados no esta disponible."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Debes confirmar tu cuenta. Por favor compruebe su correo electrónico para el enlace de confirmación o <a href=""%1"">haga clic aquí</a> para un nuevo enlace."
"Load customer quote error","Error al cargar la oferta al cliente"
"Error message!","Error message!"
"Error!","¡Fallo!"
"DB exception","Excepción de la base de datos"
"Message","Mensaje"
"Print receipt","Imprimir recibo"
"Apply Discount Code","Aplicar código de descuento"
"Enter discount code","Introducir código de descuento"
"Apply Discount","Aplicar descuento"
"Cancel Coupon","Cancelar el cupón"
"Shopping Cart Items","Artículos del carrito de compras"
"Item","Articulo"
"Price","Precio"
"Qty","Cantidad"
"Subtotal","Subtotal"
"Continue Shopping","Continuar comprando"
"Clear Shopping Cart","Vaciar el carrito"
"Update Shopping Cart","Actualizar carrito"
"Update Cart","Actualizar carrito"
"See price before order confirmation.","Consulta el precio antes de la confirmación del pedido."
"What's this?","¿Qué es esto?"
"Edit item parameters","Editar los parámetros del artículo"
"Edit","Editar"
"Remove item","Quitar artículo"
"You have no items in your shopping cart.","No tienes ningún artículo en tu carrito."
"Click <a href=""%1"">here</a> to continue shopping.","Haga clic <a href=""%1""> aquí</a> para continuar comprando."
"Estimate Tax","Calcular impuestos"
"Estimate Shipping and Tax","Estimación de envío e impuestos"
"Excl. Tax","Impuestos NO Incl."
"Loading...","Cargando..."
"Order #","Pedido nº "
"Proceed to Checkout","Tramitar pedido"
"Product Name","Nombre del producto"
"Incl. Tax","Impuestos incl."
"Your order number is: %1.","Su número de pedido es: %1."
"Your order # is: <span>%1</span>.","Su nº de pedido es: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Te enviaremos un email de confirmación con los detalles y información del envío."
"Payment Transaction Failed Reminder","Recordatorio de error de transacción de pago"
"Payment Transaction Failed","Ha fallado la operación de pago"
"Reason","Razón: "
"Checkout Type","Tipo de pago"
"Customer:","Cliente:"
"Items","Artículos"
"Total:","Total:"
"Billing Address:","Dirección de facturación:"
"Shipping Address:","Direccion de envio:"
"Shipping Method:","Método de envío:"
"Payment Method:","Forma de pago "
"Date & Time:","Fecha y hora:"
"Sign In","Iniciar sesión"
"Email Address","Dirección de email"
"Password","Contraseña"
"Forgot Your Password?","¿Olvidó su contraseña?"
"My billing and shipping address are the same","Mi dirección de facturación y de envío son las mismas"
"Update","Actualizar"
"Cancel","Cancelar"
"Save in address book","Guardar en libreta de direcciones"
"Estimated Total","Total estimado"
"You can create an account after checkout.","Puede crear una cuenta después del cobro."
"You already have an account with us. Sign in or continue as guest.","Ya tienes una cuenta con nosotros. Ingresar o continuar como invitado."
"Login","Entrar"
"See Details","Ver información"
"Options Details","Detalles de las opciones"
"Remove","Eliminar"
"Cart Subtotal","Subtotal del carrito"
"Payment Information","Información de pago"
"No Payment method available.","Ningún método de pago está disponible."
